_id,nome_centralina,indirizzo,netcd,statcd,nome_comune,nome_provincia,sigla_provincia,coordinate,longitude,latitude,sigla,nome,unita_misura,soglia,soglia_alert
17,Bari - Kennedy,Piazza R. Kennedy,111,6,Bari,Bari,BA,"E: 656105
N: 4551478",16.858905,41.099593,NO2,Biossido di azoto,µg/m³,200.0,300.0
49, Brindisi - Terminal Passeggeri,presso Terninal Passeggeri sulla banchina portuale di Costa Morena,222,3,Brindisi,Brindisi,BR,E: 750422 N: 4503838,17.961687,40.647432,SO2,Biossido di zolfo,µg/m³,350.0,125.0
19,Bari - Kennedy,Piazza R. Kennedy,111,6,Bari,Bari,BA,"E: 656105
N: 4551478",16.858905,41.099593,PM10,Polveri inalabili,µg/m³,50.0,150.0
94,Casamassima - LaPenna,Via Lapenna,111,41,Casamassima,Bari,BA,"E: 661589
N: 4535223",16.920731,40.953154,PM10,Polveri inalabili,µg/m³,50.0,150.0
25,Bari - CUS,Lungomare Starita presso CUS BARI,111,32,Bari,Bari,BA,"E: 654877.9
N: 4555353.6",16.845277,41.134722,NO2,Biossido di azoto,µg/m³,200.0,300.0
27,Bari - CUS,Lungomare Starita presso CUS BARI,111,32,Bari,Bari,BA,"E: 654877.9
N: 4555353.6",16.845277,41.134722,PM10,Polveri inalabili,µg/m³,50.0,150.0
43, Brindisi - Terminal Passeggeri,presso Terninal Passeggeri sulla banchina portuale di Costa Morena,222,3,Brindisi,Brindisi,BR,E: 750422 N: 4503838,17.961687,40.647432,C6H6,Benzene,µg/m³,5.0,10.0
9,Andria - Via Vaccina,Via Vaccina,111,44,Andria,BAT,BT,"E: 609209
N: 4565364",16.303939,41.233278,PM10,Polveri inalabili,µg/m³,50.0,150.0
20,Bari - Cavour,Corso Cavour,111,15,Bari,Bari,BA,"E: 657197
N: 4554020",16.872552,41.122269,C6H6,Benzene,µg/m³,5.0,10.0
29,Bari - Carbonara,via Loguercio,111,35,Bari,Bari,BA,"E:656834.6
N:4548947",16.866944,41.076666,NO2,Biossido di azoto,µg/m³,200.0,300.0
45, Brindisi - Terminal Passeggeri,presso Terninal Passeggeri sulla banchina portuale di Costa Morena,222,3,Brindisi,Brindisi,BR,E: 750422 N: 4503838,17.961687,40.647432,NO2,Biossido di azoto,µg/m³,200.0,300.0
10,Andria - Via Vaccina,Via Vaccina,111,44,Andria,BAT,BT,"E: 609209
N: 4565364",16.303939,41.233278,PM2.5,Polveri respirabili,µg/m³,,
23,Bari - Cavour,Corso Cavour,111,15,Bari,Bari,BA,"E: 657197
N: 4554020",16.872552,41.122269,PM10,Polveri inalabili,µg/m³,50.0,150.0
54,Brindisi -Via Taranto,Via Taranto,222,6,Brindisi,Brindisi,BR,,17.947777,40.634166,PM2.5,Polveri respirabili,µg/m³,,
24,Bari - Cavour,Corso Cavour,111,15,Bari,Bari,BA,"E: 657197
N: 4554020",16.872552,41.122269,PM2.5,Polveri respirabili,µg/m³,,
28,Bari - Carbonara,via Loguercio,111,35,Bari,Bari,BA,"E:656834.6
N:4548947",16.866944,41.076666,CO,Monossido di carbonio,mg/m³,10.0,12.0
32,Barletta - Casardi,via Casardi,111,57,Barletta,BAT,BT,"E: 607646
N: 4574709",16.286111,41.316666,NO2,Biossido di azoto,µg/m³,200.0,300.0
53,Brindisi -Via Taranto,Via Taranto,222,6,Brindisi,Brindisi,BR,,17.947777,40.634166,PM10,Polveri inalabili,µg/m³,50.0,150.0
1,Altamura - Via Santeramo,"Via Golgota, Altamura",111,43,Altamura,Bari,BA,"E: 631558
N: 4520820",16.561015,40.828848,CO,Monossido di carbonio,mg/m³,10.0,12.0
6,Andria - Via Vaccina,Via Vaccina,111,44,Andria,BAT,BT,"E: 609209
N: 4565364",16.303939,41.233278,C6H6,Benzene,µg/m³,5.0,10.0
22,Bari - Cavour,Corso Cavour,111,15,Bari,Bari,BA,"E: 657197
N: 4554020",16.872552,41.122269,NO2,Biossido di azoto,µg/m³,200.0,300.0
71,Brindisi - Perrino,Via Crati,222,59,Brindisi,Brindisi,BR,"E:749892.93
N:4502036.97",17.954778,40.631361,NO2,Biossido di azoto,µg/m³,200.0,300.0
85,Candela - Scuola,,111,53,Candela,Foggia,FG,"E:
N:",15.519444,41.133055,O3,Ozono,µg/m³,120.0,180.0
13,Bari - Caldarola,Via Caldarola,111,3,Bari,Bari,BA,"E: 658520          
N:4553079",16.888064,41.113542,CO,Monossido di carbonio,mg/m³,10.0,12.0
37,Barletta - MM Ipercoop,,111,58,Barletta,BAT,BT,"E:
N:",16.293055,41.318333,H2S,H2S,µg/m³,,
57,Brindisi - Via dei Mille,Via dei Mille,222,35,Brindisi,Brindisi,BR,,17.938152,40.638748,NO2,Biossido di azoto,µg/m³,200.0,300.0
77,Brindisi - Cappuccini,Via Cappuccini,222,60,Brindisi,Brindisi,BR,"E:747098.96
N:4501881.83 ",17.921778,40.630917,SO2,Biossido di zolfo,µg/m³,350.0,125.0
80,Campi S.na - I.T.C.  Costa ,Via Napoli,222,46,Campi Salentina,Lecce,LE,E: 756857; N: 4476277,18.026509,40.397507,PM10,Polveri inalabili,µg/m³,50.0,150.0
81,Campi S.na - I.T.C.  Costa ,Via Napoli,222,46,Campi Salentina,Lecce,LE,E: 756857; N: 4476277,18.026509,40.397507,PM2.5,Polveri respirabili,µg/m³,,
5,Altamura - Via Santeramo,"Via Golgota, Altamura",111,43,Altamura,Bari,BA,"E: 631558
N: 4520820",16.561015,40.828848,PM2.5,Polveri respirabili,µg/m³,,
12,Bari - Caldarola,Via Caldarola,111,3,Bari,Bari,BA,"E: 658520          
N:4553079",16.888064,41.113542,C6H6,Benzene,µg/m³,5.0,10.0
1878752,Galatina-Colacem,Contrada Piani,83,83,Galatina,Lecce,LE,,18.192856,40.163964,CO,Monossido di carbonio,mg/m³,10.0,12.0
30,Bari - Carbonara,via Loguercio,111,35,Bari,Bari,BA,"E:656834.6
N:4548947",16.866944,41.076666,PM10,Polveri inalabili,µg/m³,50.0,150.0
40,Barletta - MM Ipercoop,,111,58,Barletta,BAT,BT,"E:
N:",16.293055,41.318333,PM10,Polveri inalabili,µg/m³,50.0,150.0
48, Brindisi - Terminal Passeggeri,presso Terninal Passeggeri sulla banchina portuale di Costa Morena,222,3,Brindisi,Brindisi,BR,E: 750422 N: 4503838,17.961687,40.647432,PM2.5,Polveri respirabili,µg/m³,,
