_id;nome_centralina;indirizzo;netcd;statcd;nome_comune;nome_provincia;sigla_provincia;longitude;latitude
1;Altamura - Via Santeramo;Via Golgota, Altamura;111;43;Altamura;Bari;BA;16.561015;40.828848
7;Andria - Via Vaccina;Via Vaccina;111;44;Andria;BAT;BT;16.303939;41.233278
11;Arnesano - Riesci;Zona Riesci;222;14;Arnesano;Lecce;LE;18.095074;40.34627
13;Bari - Caldarola;Via Caldarola;111;3;Bari;Bari;BA;16.888064;41.113542
;Bari - Carbonara;Via Loguercio;111;99;Bari;Bari;BA;16.867134;41.077223
21;Bari - Cavour;Corso Cavour;111;15;Bari;Bari;BA;16.872552;41.122269
25;Bari - CUS;Lungomare Starita presso CUS BARI;111;32;Bari;Bari;BA;16.845277;41.134722
18;Bari - Kennedy;Piazza R. Kennedy;111;6;Bari;Bari;BA;16.858905;41.099593
32;Barletta - Casardi;via Casardi;111;57;Barletta;BAT;BT;16.286111;41.316666
39;Barletta - MM Ipercoop;;111;58;Barletta;BAT;BT;16.293055;41.318333
77;Brindisi - Cappuccini;Via Cappuccini;222;60;Brindisi;Brindisi;BR;17.921778;40.630917
63;Brindisi - Casale;Via San Giusto;222;37;Brindisi;Brindisi;BR;17.942569;40.650083
71;Brindisi - Perrino;Via Crati;222;59;Brindisi;Brindisi;BR;17.954778;40.631361
65;Brindisi - SISRI;Via Curie;222;38;Brindisi;Brindisi;BR;17.975041;40.624738
49;Brindisi - Terminal Passeggeri;presso Terninal Passeggeri sulla banchina portuale di Costa Morena;222;3;Brindisi;Brindisi;BR;17.961687;40.647432
59;Brindisi - Via dei Mille;Via dei Mille;222;35;Brindisi;Brindisi;BR;17.938152;40.638748
54;Brindisi -Via Taranto;Via Taranto;222;6;Brindisi;Brindisi;BR;17.947777;40.634166
79;Campi S.na - I.T.C.  Costa ;Via Napoli;222;46;Campi Salentina;Lecce;LE;18.026509;40.397507
89;Candela - Ex Comes;;111;54;Candela;Foggia;FG;15.523055;41.173055
82;Candela - Scuola;;111;53;Candela;Foggia;FG;15.519444;41.133055
94;Casamassima - LaPenna;Via Lapenna;111;41;Casamassima;Bari;BA;16.920731;40.953154
98;Ceglie Messapica - Via Martina;via Martina  (Scuola Elementare Papa Giovanni XXIII );222;55;Ceglie Messapica;Brindisi;BR;17.5125;40.649166
103;Cisternino - Via Croce;via Benedetto Croce;222;56;Cisternino;Brindisi;BR;17.415833;40.742777
