nome_centralina;nome_comune;sigla;nome;unita_misura;soglia;soglia_alert
Altamura - Via Santeramo;Altamura;CO;Monossido di carbonio;mg/m³;10.0;12.0
Altamura - Via Santeramo;Altamura;PM2.5;Polveri respirabili;µg/m³;50.0;100.0
Altamura - Via Santeramo;Altamura;PM10;Polveri inalabili;µg/m³;50.0;150.0
Altamura - Via Santeramo;Altamura;O3;Ozono;µg/m³;120.0;180.0
Altamura - Via Santeramo;Altamura;NO2;Biossido di azoto;µg/m³;200.0;300.0
Andria - Via Vaccina;Andria;PM10;Polveri inalabili;µg/m³;50.0;150.0
Andria - Via Vaccina;Andria;PM2.5;Polveri respirabili;µg/m³;50.0;100.0
Andria - Via Vaccina;Andria;C6H6;Benzene;µg/m³;5.0;10.0
Andria - Via Vaccina;Andria;NO2;Biossido di azoto;µg/m³;200.0;300.0
Andria - Via Vaccina;Andria;CO;Monossido di carbonio;mg/m³;10.0;12.0
Arnesano - Riesci;Arnesano;PM10;Polveri inalabili;µg/m³;50.0;150.0
Bari - Caldarola;Bari;CO;Monossido di carbonio;mg/m³;10.0;12.0
Bari - Caldarola;Bari;C6H6;Benzene;µg/m³;5.0;10.0
Bari - Caldarola;Bari;PM10;Polveri inalabili;µg/m³;50.0;150.0
Bari - Caldarola;Bari;PM2.5;Polveri respirabili;µg/m³;50.0;100.0
Bari - Caldarola;Bari;NO2;Biossido di azoto;µg/m³;200.0;300.0
Bari - Carbonara;Bari;NO2;Biossido di azoto;µg/m³;200.0;300.0
Bari - Carbonara;Bari;CO;Monossido di carbonio;mg/m³;10.0;12.0
Bari - Carbonara;Bari;PM10;Polveri inalabili;µg/m³;50.0;150.0
Bari - Cavour;Bari;C6H6;Benzene;µg/m³;5.0;10.0
Bari - Cavour;Bari;PM10;Polveri inalabili;µg/m³;50.0;150.0
Bari - Cavour;Bari;PM2.5;Polveri respirabili;µg/m³;50.0;100.0
Bari - Cavour;Bari;NO2;Biossido di azoto;µg/m³;200.0;300.0
Bari - Cavour;Bari;CO;Monossido di carbonio;mg/m³;10.0;12.0
Bari - CUS;Bari;NO2;Biossido di azoto;µg/m³;200.0;300.0
Bari - CUS;Bari;PM10;Polveri inalabili;µg/m³;50.0;150.0
