Data;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;Benzene
01/01/20 01:00;Altamura - Via Santeramo;;14;10;4.54;35.51;28.41;;36.96;
01/01/20 02:00;Altamura - Via Santeramo;;14;10;3.46;29.33;23.90;;49.97;
01/01/20 03:00;Altamura - Via Santeramo;;14;10;2.93;25.67;21.07;;51.17;
01/01/20 04:00;Altamura - Via Santeramo;;14;10;3.71;29.95;24.14;;47.74;
01/01/20 05:00;Altamura - Via Santeramo;;14;10;1.25;14.87;12.89;;59.76;
01/01/20 06:00;Altamura - Via Santeramo;;14;10;0.52;9.70;8.86;;62.52;
01/01/20 07:00;Altamura - Via Santeramo;;14;10;0.88;13.58;12.17;;58.58;
01/01/20 08:00;Altamura - Via Santeramo;;14;10;1.12;16.74;14.95;;54.28;
01/01/20 09:00;Altamura - Via Santeramo;;14;10;1.93;19.87;16.82;;51.84;
01/01/20 10:00;Altamura - Via Santeramo;;14;10;2.93;21.98;17.40;;54.26;
01/01/20 11:00;Altamura - Via Santeramo;;14;10;3.15;22.61;17.69;;57.47;
01/01/20 12:00;Altamura - Via Santeramo;;14;10;4.95;28.84;21.14;;55.26;
01/01/20 13:00;Altamura - Via Santeramo;;14;10;7.29;38.56;27.23;;52.87;
01/01/20 14:00;Altamura - Via Santeramo;;14;10;4.72;28.70;21.34;;59.32;
01/01/20 15:00;Altamura - Via Santeramo;;14;10;1.07;13.58;11.88;;66.37;
01/01/20 16:00;Altamura - Via Santeramo;;14;10;1.02;14.96;13.33;;64.28;
01/01/20 17:00;Altamura - Via Santeramo;;14;10;2.61;26.34;22.23;;55.82;
01/01/20 18:00;Altamura - Via Santeramo;;14;10;4.31;34.72;27.97;;50.38;
01/01/20 19:00;Altamura - Via Santeramo;;14;10;5.72;41.71;32.77;;47.15;
01/01/20 20:00;Altamura - Via Santeramo;;14;10;7.41;49.08;37.51;;43.70;
01/01/20 21:00;Altamura - Via Santeramo;;14;10;9.16;59.03;44.75;;37.45;
