Parm;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 02:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 03:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 04:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 05:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 06:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 07:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 08:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 09:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 10:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 11:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 12:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 13:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 14:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 15:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 16:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 17:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 18:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 19:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 20:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 21:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 22:00;Andria - Via Vaccina;;;;;;;;;;
01/01/20 23:00;Andria - Via Vaccina;;;;;;;;;;
02/01/20 00:00;Andria - Via Vaccina;;;;;;;;;;
02/01/20 01:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 02:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 03:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 04:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 05:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 06:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 07:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 08:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 09:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 10:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 11:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 12:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 13:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 14:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 15:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 16:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 17:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 18:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 19:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 20:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 21:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 22:00;Andria - Via Vaccina;;31;22;;;;;;;
02/01/20 23:00;Andria - Via Vaccina;;31;22;;;;;;;
03/01/20 00:00;Andria - Via Vaccina;;31;22;;;;;;;
03/01/20 01:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 02:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 03:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 04:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 05:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 06:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 07:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 08:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 09:00;Andria - Via Vaccina;;26;19;;;;;;;
03/01/20 10:00;Andria - Via Vaccina;0.74;26;19;;;;;;1.47;
03/01/20 11:00;Andria - Via Vaccina;0.64;26;19;;;;;;1.54;
03/01/20 12:00;Andria - Via Vaccina;0.58;26;19;;;;;;1.05;
03/01/20 13:00;Andria - Via Vaccina;0.54;26;19;;;;;;0.88;
03/01/20 14:00;Andria - Via Vaccina;0.56;26;19;;;;;;0.88;
03/01/20 15:00;Andria - Via Vaccina;0.5;26;19;;;;;;0.84;
03/01/20 16:00;Andria - Via Vaccina;0.5;26;19;;;;;;0.64;
03/01/20 17:00;Andria - Via Vaccina;0.59;26;19;;;;;;0.55;
03/01/20 18:00;Andria - Via Vaccina;0.81;26;19;;;;;;0.92;
03/01/20 19:00;Andria - Via Vaccina;0.83;26;19;;;;;;1.61;
03/01/20 20:00;Andria - Via Vaccina;0.75;26;19;;;;;;1.84;
03/01/20 21:00;Andria - Via Vaccina;0.67;26;19;;;;;;1.69;
03/01/20 22:00;Andria - Via Vaccina;0.64;26;19;;;;;;1.41;
03/01/20 23:00;Andria - Via Vaccina;0.6;26;19;;;;;;1.1;
04/01/20 00:00;Andria - Via Vaccina;0.6;26;19;;;;;;0.89;
04/01/20 01:00;Andria - Via Vaccina;0.54;29;24;;;;;;0.78;
04/01/20 02:00;Andria - Via Vaccina;0.5;29;24;;;;;;0.79;
04/01/20 03:00;Andria - Via Vaccina;0.49;29;24;;;;;;0.59;
04/01/20 04:00;Andria - Via Vaccina;0.47;29;24;;;;;;0.54;
04/01/20 05:00;Andria - Via Vaccina;;29;24;;;;;;0.45;
04/01/20 06:00;Andria - Via Vaccina;0.48;29;24;;;;;;0.81;
04/01/20 07:00;Andria - Via Vaccina;0.46;29;24;;;;;;0.71;
04/01/20 08:00;Andria - Via Vaccina;0.52;29;24;;;;;;0.81;
04/01/20 09:00;Andria - Via Vaccina;0.59;29;24;;;;;;1.26;
04/01/20 10:00;Andria - Via Vaccina;0.61;29;24;;;;;;1.17;
04/01/20 11:00;Andria - Via Vaccina;0.59;29;24;;;;;;1.22;
04/01/20 12:00;Andria - Via Vaccina;0.56;29;24;;;;;;1.17;
04/01/20 13:00;Andria - Via Vaccina;0.54;29;24;;;;;;0.99;
04/01/20 14:00;Andria - Via Vaccina;0.52;29;24;;;;;;1.09;
04/01/20 15:00;Andria - Via Vaccina;0.43;29;24;;;;;;0.87;
04/01/20 16:00;Andria - Via Vaccina;0.48;29;24;;;;;;0.76;
04/01/20 17:00;Andria - Via Vaccina;0.44;29;24;;;;;;0.62;
04/01/20 18:00;Andria - Via Vaccina;0.6;29;24;;;;;;0.58;
04/01/20 19:00;Andria - Via Vaccina;0.77;29;24;;;;;;1.42;
04/01/20 20:00;Andria - Via Vaccina;0.69;29;24;;;;;;1.44;
04/01/20 21:00;Andria - Via Vaccina;0.68;29;24;;;;;;1.44;
04/01/20 22:00;Andria - Via Vaccina;0.63;29;24;;;;;;1.36;
04/01/20 23:00;Andria - Via Vaccina;0.6;29;24;;;;;;1.2;
05/01/20 00:00;Andria - Via Vaccina;0.5;29;24;;;;;;0.92;
05/01/20 01:00;Andria - Via Vaccina;0.49;17;12;;;;;;0.73;
05/01/20 02:00;Andria - Via Vaccina;0.44;17;12;;;;;;0.64;
05/01/20 03:00;Andria - Via Vaccina;0.42;17;12;;;;;;0.53;
05/01/20 04:00;Andria - Via Vaccina;0.41;17;12;;;;;;0.53;
05/01/20 05:00;Andria - Via Vaccina;0.42;17;12;;;;;;0.47;
05/01/20 06:00;Andria - Via Vaccina;0.42;17;12;;;;;;0.65;
05/01/20 07:00;Andria - Via Vaccina;0.44;17;12;;;;;;0.65;
05/01/20 08:00;Andria - Via Vaccina;0.44;17;12;;;;;;0.57;
05/01/20 09:00;Andria - Via Vaccina;0.51;17;12;;;;;;0.7;
05/01/20 10:00;Andria - Via Vaccina;0.44;17;12;;;;;;0.96;
05/01/20 11:00;Andria - Via Vaccina;0.31;17;12;;;;;;0.59;
05/01/20 12:00;Andria - Via Vaccina;0.32;17;12;;;;;;0.35;
05/01/20 13:00;Andria - Via Vaccina;0.32;17;12;;;;;;0.43;
05/01/20 14:00;Andria - Via Vaccina;0.3;17;12;;;;;;0.42;
05/01/20 15:00;Andria - Via Vaccina;0.26;17;12;;;;;;0.37;
05/01/20 16:00;Andria - Via Vaccina;0.23;17;12;;;;;;0.26;
05/01/20 17:00;Andria - Via Vaccina;0.24;17;12;;;;;;0.22;
05/01/20 18:00;Andria - Via Vaccina;0.24;17;12;;;;;;0.24;
05/01/20 19:00;Andria - Via Vaccina;0.25;17;12;;;;;;0.24;
05/01/20 20:00;Andria - Via Vaccina;0.25;17;12;;;;;;0.25;
05/01/20 21:00;Andria - Via Vaccina;0.26;17;12;;;;;;0.28;
05/01/20 22:00;Andria - Via Vaccina;0.25;17;12;;;;;;0.3;
05/01/20 23:00;Andria - Via Vaccina;0.26;17;12;;;;;;0.27;
06/01/20 00:00;Andria - Via Vaccina;0.23;17;12;;;;;;0.28;
06/01/20 01:00;Andria - Via Vaccina;0.23;11;5;;;;;;0.24;
06/01/20 02:00;Andria - Via Vaccina;0.22;11;5;;;;;;0.25;
06/01/20 03:00;Andria - Via Vaccina;0.22;11;5;;;;;;0.25;
06/01/20 04:00;Andria - Via Vaccina;0.23;11;5;;;;;;0.23;
06/01/20 05:00;Andria - Via Vaccina;;11;5;;;;;;0.23;
06/01/20 06:00;Andria - Via Vaccina;0.23;11;5;;;;;;0.31;
06/01/20 07:00;Andria - Via Vaccina;0.23;11;5;;;;;;0.3;
06/01/20 08:00;Andria - Via Vaccina;0.26;11;5;;;;;;0.32;
06/01/20 09:00;Andria - Via Vaccina;0.28;11;5;;;;;;0.4;
06/01/20 10:00;Andria - Via Vaccina;0.28;11;5;;;;;;0.37;
06/01/20 11:00;Andria - Via Vaccina;0.31;11;5;;;;;;0.43;
06/01/20 12:00;Andria - Via Vaccina;0.32;11;5;;;;;;0.57;
06/01/20 13:00;Andria - Via Vaccina;0.3;11;5;;;;;;0.56;
06/01/20 14:00;Andria - Via Vaccina;0.29;11;5;;;;;;0.47;
06/01/20 15:00;Andria - Via Vaccina;0.27;11;5;;;;;;0.45;
06/01/20 16:00;Andria - Via Vaccina;0.26;11;5;;;;;;0.32;
06/01/20 17:00;Andria - Via Vaccina;0.27;11;5;;;;;;0.34;
06/01/20 18:00;Andria - Via Vaccina;0.27;11;5;;;;;;0.33;
06/01/20 19:00;Andria - Via Vaccina;0.29;11;5;;;;;;0.34;
06/01/20 20:00;Andria - Via Vaccina;0.36;11;5;;;;;;0.35;
06/01/20 21:00;Andria - Via Vaccina;0.41;11;5;;;;;;0.56;
06/01/20 22:00;Andria - Via Vaccina;0.34;11;5;;;;;;0.71;
06/01/20 23:00;Andria - Via Vaccina;0.37;11;5;;;;;;0.5;
07/01/20 00:00;Andria - Via Vaccina;0.45;11;5;;;;;;0.83;
07/01/20 01:00;Andria - Via Vaccina;0.37;21;13;;;;;;0.86;
07/01/20 02:00;Andria - Via Vaccina;0.31;21;13;;;;;;0.46;
07/01/20 03:00;Andria - Via Vaccina;0.32;21;13;;;;;;0.34;
07/01/20 04:00;Andria - Via Vaccina;0.32;21;13;;;;;;0.36;
07/01/20 05:00;Andria - Via Vaccina;0.33;21;13;;;;;;0.38;
07/01/20 06:00;Andria - Via Vaccina;0.35;21;13;;;;;;0.5;
07/01/20 07:00;Andria - Via Vaccina;0.4;21;13;;;;;;0.49;
07/01/20 08:00;Andria - Via Vaccina;0.48;21;13;;;;;;0.62;
07/01/20 09:00;Andria - Via Vaccina;0.62;21;13;;;;;;1;
07/01/20 10:00;Andria - Via Vaccina;0.64;21;13;;;;;;1.29;
07/01/20 11:00;Andria - Via Vaccina;0.6;21;13;;;;;;1.38;
07/01/20 12:00;Andria - Via Vaccina;0.56;21;13;;;;;;1.14;
07/01/20 13:00;Andria - Via Vaccina;0.42;21;13;11.64;68.98;53.05;;;0.97;
07/01/20 14:00;Andria - Via Vaccina;0.35;21;13;4.94;29.2;21.62;;;0.73;
07/01/20 15:00;Andria - Via Vaccina;0.35;21;13;4.91;29.49;21.97;;;0.65;
07/01/20 16:00;Andria - Via Vaccina;0.36;21;13;3.83;30.2;24.32;;;0.65;
07/01/20 17:00;Andria - Via Vaccina;0.52;21;13;5.71;52.58;43.83;;;0.74;
07/01/20 18:00;Andria - Via Vaccina;0.88;21;13;21.37;104.09;71.34;;;1.57;
07/01/20 19:00;Andria - Via Vaccina;0.76;21;13;20.51;97.46;66.02;;;2.54;
07/01/20 20:00;Andria - Via Vaccina;0.66;21;13;18.54;91.48;63.06;;;2.06;
07/01/20 21:00;Andria - Via Vaccina;0.65;21;13;16.48;84.84;59.57;;;1.8;
07/01/20 22:00;Andria - Via Vaccina;0.57;21;13;10.48;67.12;51.04;;;1.41;
07/01/20 23:00;Andria - Via Vaccina;0.46;21;13;4.79;43.29;35.94;;;1.27;
08/01/20 00:00;Andria - Via Vaccina;0.39;21;13;2.27;29.22;25.73;;;0.99;
08/01/20 01:00;Andria - Via Vaccina;0.35;28;19;1.37;21.2;19.1;;;0.85;
08/01/20 02:00;Andria - Via Vaccina;0.33;28;19;1.13;16.34;14.6;;;0.69;
08/01/20 03:00;Andria - Via Vaccina;0.33;28;19;0.93;16.24;14.8;;;0.62;
08/01/20 04:00;Andria - Via Vaccina;0.34;28;19;1.11;15.84;14.14;;;0.62;
08/01/20 05:00;Andria - Via Vaccina;;28;19;1.54;19.68;17.32;;;;
08/01/20 06:00;Andria - Via Vaccina;0.34;28;19;3.18;34.92;30.05;;;;
08/01/20 07:00;Andria - Via Vaccina;0.4;28;19;9.22;56.66;42.53;;;0.89;
08/01/20 08:00;Andria - Via Vaccina;0.5;28;19;14.59;65.25;42.88;;;1.04;
08/01/20 09:00;Andria - Via Vaccina;0.56;28;19;17.2;70.74;44.37;;;1.68;
08/01/20 10:00;Andria - Via Vaccina;0.58;28;19;19.61;73.33;43.26;;;1.62;
08/01/20 11:00;Andria - Via Vaccina;0.48;28;19;12.01;54.05;35.63;;;1.71;
08/01/20 12:00;Andria - Via Vaccina;0.37;28;19;7.11;38.12;27.21;;;1.27;
08/01/20 13:00;Andria - Via Vaccina;0.26;28;19;3.07;22.75;18.03;;;0.98;
08/01/20 14:00;Andria - Via Vaccina;0.24;28;19;2.79;20.06;15.77;;;0.6;
08/01/20 15:00;Andria - Via Vaccina;0.26;28;19;1.83;16.04;13.24;;;0.57;
08/01/20 16:00;Andria - Via Vaccina;0.31;28;19;2.15;22.65;19.35;;;0.58;
08/01/20 17:00;Andria - Via Vaccina;0.61;28;19;35.71;114.5;59.75;;;0.78;
08/01/20 18:00;Andria - Via Vaccina;2.39;28;19;247.78;510.65;130.74;;;2.74;
08/01/20 19:00;Andria - Via Vaccina;0.93;28;19;43.59;139.67;72.82;;;6.31;
08/01/20 20:00;Andria - Via Vaccina;0.68;28;19;20.2;87.71;56.73;;;3;
08/01/20 21:00;Andria - Via Vaccina;0.66;28;19;18.03;82.93;55.27;;;2.3;
08/01/20 22:00;Andria - Via Vaccina;0.6;28;19;11.38;64.7;47.26;;;2.04;
08/01/20 23:00;Andria - Via Vaccina;0.5;28;19;6.31;45.81;36.14;;;1.72;
09/01/20 00:00;Andria - Via Vaccina;0.46;28;19;4.09;35.73;29.46;;;1.37;
09/01/20 01:00;Andria - Via Vaccina;0.39;33;24;2.24;26.57;23.13;;;1.13;
09/01/20 02:00;Andria - Via Vaccina;0.36;33;24;1.89;21.5;18.61;;;0.92;
09/01/20 03:00;Andria - Via Vaccina;0.33;33;24;1.7;19.04;16.44;;;0.79;
09/01/20 04:00;Andria - Via Vaccina;0.32;33;24;1.91;19.57;16.64;;;0.74;
09/01/20 05:00;Andria - Via Vaccina;0.33;33;24;1.52;20.58;18.25;;;0.72;
09/01/20 06:00;Andria - Via Vaccina;0.35;33;24;3.02;31.06;26.42;;;0.72;
09/01/20 07:00;Andria - Via Vaccina;0.42;33;24;6.43;57.63;47.77;;;0.79;
09/01/20 08:00;Andria - Via Vaccina;0.49;33;24;15.65;74.24;50.24;;;1.07;
09/01/20 09:00;Andria - Via Vaccina;0.59;33;24;14.45;70.66;48.51;;;1.47;
09/01/20 10:00;Andria - Via Vaccina;0.59;33;24;15.61;69.13;45.19;;;1.62;
09/01/20 11:00;Andria - Via Vaccina;0.5;33;24;8.56;44.07;30.95;;;1.5;
09/01/20 12:00;Andria - Via Vaccina;0.43;33;24;5.64;34.18;25.53;;;1.25;
09/01/20 13:00;Andria - Via Vaccina;0.38;33;24;4.1;29.44;23.15;;;1.06;
09/01/20 14:00;Andria - Via Vaccina;0.35;33;24;3.46;27.27;21.97;;;0.97;
