ts;station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/2020 01:00;Arnesano - Riesci;;19.50;;;;;;22.99;;
01/01/2020 02:00;Arnesano - Riesci;;19.50;;;;;;13.72;;
01/01/2020 03:00;Arnesano - Riesci;;19.50;;;;;;14.26;;
01/01/2020 04:00;Arnesano - Riesci;;19.50;;;;;;46.75;;
01/01/2020 05:00;Arnesano - Riesci;;19.50;;;;;;58.08;;
01/01/2020 06:00;Arnesano - Riesci;;19.50;;;;;;58.59;;
01/01/2020 07:00;Arnesano - Riesci;;19.50;;;;;;58.38;;
01/01/2020 08:00;Arnesano - Riesci;;19.50;;;;;;59.32;;
01/01/2020 09:00;Arnesano - Riesci;;19.50;;;;;;58.48;;
01/01/2020 10:00;Arnesano - Riesci;;19.50;;;;;;58.43;;
01/01/2020 11:00;Arnesano - Riesci;;19.50;;;;;;68.32;;
01/01/2020 12:00;Arnesano - Riesci;;19.50;;;;;;77.70;;
01/01/2020 13:00;Arnesano - Riesci;;19.50;;;;;;75.73;;
01/01/2020 14:00;Arnesano - Riesci;;19.50;;;;;;80.49;;
01/01/2020 15:00;Arnesano - Riesci;;19.50;;;;;;81.86;;
01/01/2020 16:00;Arnesano - Riesci;;19.50;;;;;;82.12;;
01/01/2020 17:00;Arnesano - Riesci;;19.50;;;;;;79.66;;
01/01/2020 18:00;Arnesano - Riesci;;19.50;;;;;;77.75;;
01/01/2020 19:00;Arnesano - Riesci;;19.50;;;;;;74.65;;
01/01/2020 20:00;Arnesano - Riesci;;19.50;;;;;;75.21;;
01/01/2020 21:00;Arnesano - Riesci;;19.50;;;;;;74.48;;
01/01/2020 22:00;Arnesano - Riesci;;19.50;;;;;;73.36;;
01/01/2020 23:00;Arnesano - Riesci;;19.50;;;;;;74.87;;
02/01/2020 00:00;Arnesano - Riesci;;19.50;;;;;;75.26;;
02/01/2020 01:00;Arnesano - Riesci;;25.70;;;;;;75.01;;
02/01/2020 02:00;Arnesano - Riesci;;25.70;;;;;;;;
02/01/2020 03:00;Arnesano - Riesci;;25.70;;;;;;73.14;;
02/01/2020 04:00;Arnesano - Riesci;;25.70;;;;;;72.82;;
02/01/2020 05:00;Arnesano - Riesci;;25.70;;;;;;72.30;;
02/01/2020 06:00;Arnesano - Riesci;;25.70;;;;;;71.75;;
02/01/2020 07:00;Arnesano - Riesci;;25.70;;;;;;71.24;;
02/01/2020 08:00;Arnesano - Riesci;;25.70;;;;;;68.05;;
02/01/2020 09:00;Arnesano - Riesci;;25.70;;;;;;69.56;;
02/01/2020 10:00;Arnesano - Riesci;;25.70;;;;;;74.04;;
02/01/2020 11:00;Arnesano - Riesci;;25.70;;;;;;78.45;;
02/01/2020 12:00;Arnesano - Riesci;;25.70;;;;;;80.27;;
02/01/2020 13:00;Arnesano - Riesci;;25.70;;;;;;80.62;;
02/01/2020 14:00;Arnesano - Riesci;;25.70;;;;;;81.72;;
02/01/2020 15:00;Arnesano - Riesci;;25.70;;;;;;80.94;;
02/01/2020 16:00;Arnesano - Riesci;;25.70;;;;;;79.54;;
02/01/2020 17:00;Arnesano - Riesci;;25.70;;;;;;74.48;;
02/01/2020 18:00;Arnesano - Riesci;;25.70;;;;;;63.00;;
02/01/2020 19:00;Arnesano - Riesci;;25.70;;;;;;48.89;;
02/01/2020 20:00;Arnesano - Riesci;;25.70;;;;;;33.09;;
02/01/2020 21:00;Arnesano - Riesci;;25.70;;;;;;27.68;;
02/01/2020 22:00;Arnesano - Riesci;;25.70;;;;;;58.17;;
02/01/2020 23:00;Arnesano - Riesci;;25.70;;;;;;43.62;;
03/01/2020 00:00;Arnesano - Riesci;;25.70;;;;;;42.49;;
03/01/2020 01:00;Arnesano - Riesci;;39.00;;;;;;31.08;;
03/01/2020 02:00;Arnesano - Riesci;;39.00;;;;;;37.54;;
03/01/2020 03:00;Arnesano - Riesci;;39.00;;;;;;34.13;;
03/01/2020 04:00;Arnesano - Riesci;;39.00;;;;;;34.32;;
03/01/2020 05:00;Arnesano - Riesci;;39.00;;;;;;18.24;;
03/01/2020 06:00;Arnesano - Riesci;;39.00;;;;;;15.63;;
03/01/2020 07:00;Arnesano - Riesci;;39.00;;;;;;29.90;;
03/01/2020 08:00;Arnesano - Riesci;;39.00;;;;;;20.96;;
03/01/2020 09:00;Arnesano - Riesci;;39.00;;;;;;21.98;;
03/01/2020 10:00;Arnesano - Riesci;;39.00;;;;;;38.13;;
03/01/2020 11:00;Arnesano - Riesci;;39.00;;;;;;55.02;;
03/01/2020 12:00;Arnesano - Riesci;;39.00;;;;;;62.44;;
03/01/2020 13:00;Arnesano - Riesci;;39.00;;;;;;66.68;;
03/01/2020 14:00;Arnesano - Riesci;;39.00;;;;;;69.72;;
03/01/2020 15:00;Arnesano - Riesci;;39.00;;;;;;71.43;;
03/01/2020 16:00;Arnesano - Riesci;;39.00;;;;;;70.73;;
03/01/2020 17:00;Arnesano - Riesci;;39.00;;;;;;68.22;;
03/01/2020 18:00;Arnesano - Riesci;;39.00;;;;;;61.62;;
03/01/2020 19:00;Arnesano - Riesci;;39.00;;;;;;39.28;;
03/01/2020 20:00;Arnesano - Riesci;;39.00;;;;;;26.02;;
03/01/2020 21:00;Arnesano - Riesci;;39.00;;;;;;26.02;;
03/01/2020 22:00;Arnesano - Riesci;;39.00;;;;;;18.66;;
03/01/2020 23:00;Arnesano - Riesci;;39.00;;;;;;19.63;;
04/01/2020 00:00;Arnesano - Riesci;;39.00;;;;;;12.05;;
04/01/2020 01:00;Arnesano - Riesci;;46.00;;;;;;8.96;;
04/01/2020 02:00;Arnesano - Riesci;;46.00;;;;;;;;
04/01/2020 03:00;Arnesano - Riesci;;46.00;;;;;;27.12;;
04/01/2020 04:00;Arnesano - Riesci;;46.00;;;;;;25.16;;
04/01/2020 05:00;Arnesano - Riesci;;46.00;;;;;;16.51;;
04/01/2020 06:00;Arnesano - Riesci;;46.00;;;;;;30.71;;
04/01/2020 07:00;Arnesano - Riesci;;46.00;;;;;;37.55;;
04/01/2020 08:00;Arnesano - Riesci;;46.00;;;;;;37.63;;
04/01/2020 09:00;Arnesano - Riesci;;46.00;;;;;;33.41;;
04/01/2020 10:00;Arnesano - Riesci;;46.00;;;;;;37.24;;
04/01/2020 11:00;Arnesano - Riesci;;46.00;;;;;;51.08;;
04/01/2020 12:00;Arnesano - Riesci;;46.00;;;;;;62.29;;
04/01/2020 13:00;Arnesano - Riesci;;46.00;;;;;;66.59;;
04/01/2020 14:00;Arnesano - Riesci;;46.00;;;;;;73.06;;
04/01/2020 15:00;Arnesano - Riesci;;46.00;;;;;;74.29;;
04/01/2020 16:00;Arnesano - Riesci;;46.00;;;;;;70.69;;
04/01/2020 17:00;Arnesano - Riesci;;46.00;;;;;;67.44;;
04/01/2020 18:00;Arnesano - Riesci;;46.00;;;;;;58.02;;
04/01/2020 19:00;Arnesano - Riesci;;46.00;;;;;;39.35;;
04/01/2020 20:00;Arnesano - Riesci;;46.00;;;;;;18.57;;
04/01/2020 21:00;Arnesano - Riesci;;46.00;;;;;;19.75;;
04/01/2020 22:00;Arnesano - Riesci;;46.00;;;;;;19.09;;
04/01/2020 23:00;Arnesano - Riesci;;46.00;;;;;;24.20;;
05/01/2020 00:00;Arnesano - Riesci;;46.00;;;;;;21.52;;
05/01/2020 01:00;Arnesano - Riesci;;9.40;;;;;;31.15;;
05/01/2020 02:00;Arnesano - Riesci;;9.40;;;;;;37.08;;
05/01/2020 03:00;Arnesano - Riesci;;9.40;;;;;;45.99;;
05/01/2020 04:00;Arnesano - Riesci;;9.40;;;;;;47.20;;
05/01/2020 05:00;Arnesano - Riesci;;9.40;;;;;;46.42;;
05/01/2020 06:00;Arnesano - Riesci;;9.40;;;;;;47.78;;
05/01/2020 07:00;Arnesano - Riesci;;9.40;;;;;;49.72;;
05/01/2020 08:00;Arnesano - Riesci;;9.40;;;;;;65.34;;
05/01/2020 09:00;Arnesano - Riesci;;9.40;;;;;;67.13;;
05/01/2020 10:00;Arnesano - Riesci;;9.40;;;;;;65.64;;
05/01/2020 11:00;Arnesano - Riesci;;9.40;;;;;;72.01;;
05/01/2020 12:00;Arnesano - Riesci;;9.40;;;;;;74.44;;
05/01/2020 13:00;Arnesano - Riesci;;9.40;;;;;;73.78;;
05/01/2020 14:00;Arnesano - Riesci;;9.40;;;;;;76.90;;
05/01/2020 15:00;Arnesano - Riesci;;9.40;;;;;;82.48;;
05/01/2020 16:00;Arnesano - Riesci;;9.40;;;;;;82.56;;
05/01/2020 17:00;Arnesano - Riesci;;9.40;;;;;;80.47;;
05/01/2020 18:00;Arnesano - Riesci;;9.40;;;;;;78.63;;
05/01/2020 19:00;Arnesano - Riesci;;9.40;;;;;;77.90;;
05/01/2020 20:00;Arnesano - Riesci;;9.40;;;;;;77.15;;
05/01/2020 21:00;Arnesano - Riesci;;9.40;;;;;;75.49;;
05/01/2020 22:00;Arnesano - Riesci;;9.40;;;;;;75.08;;
05/01/2020 23:00;Arnesano - Riesci;;9.40;;;;;;75.11;;
06/01/2020 00:00;Arnesano - Riesci;;9.40;;;;;;75.15;;
06/01/2020 01:00;Arnesano - Riesci;;6.50;;;;;;74.85;;
06/01/2020 02:00;Arnesano - Riesci;;6.50;;;;;;;;
06/01/2020 03:00;Arnesano - Riesci;;6.50;;;;;;73.45;;
06/01/2020 04:00;Arnesano - Riesci;;6.50;;;;;;73.73;;
06/01/2020 05:00;Arnesano - Riesci;;6.50;;;;;;73.44;;
06/01/2020 06:00;Arnesano - Riesci;;6.50;;;;;;73.70;;
06/01/2020 07:00;Arnesano - Riesci;;6.50;;;;;;73.87;;
06/01/2020 08:00;Arnesano - Riesci;;6.50;;;;;;73.70;;
06/01/2020 09:00;Arnesano - Riesci;;6.50;;;;;;73.22;;
06/01/2020 10:00;Arnesano - Riesci;;6.50;;;;;;72.30;;
06/01/2020 11:00;Arnesano - Riesci;;6.50;;;;;;72.13;;
06/01/2020 12:00;Arnesano - Riesci;;6.50;;;;;;72.21;;
06/01/2020 13:00;Arnesano - Riesci;;6.50;;;;;;73.06;;
06/01/2020 14:00;Arnesano - Riesci;;6.50;;;;;;74.75;;
06/01/2020 15:00;Arnesano - Riesci;;6.50;;;;;;76.21;;
06/01/2020 16:00;Arnesano - Riesci;;6.50;;;;;;77.64;;
06/01/2020 17:00;Arnesano - Riesci;;6.50;;;;;;77.49;;
06/01/2020 18:00;Arnesano - Riesci;;6.50;;;;;;77.80;;
06/01/2020 19:00;Arnesano - Riesci;;6.50;;;;;;77.80;;
06/01/2020 20:00;Arnesano - Riesci;;6.50;;;;;;76.60;;
06/01/2020 21:00;Arnesano - Riesci;;6.50;;;;;;75.77;;
06/01/2020 22:00;Arnesano - Riesci;;6.50;;;;;;74.82;;
