Data;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Bari - Caldarola;0.33;20;13;;;;;;;
01/01/20 02:00;Bari - Caldarola;0.26;20;13;;;;;;;
01/01/20 03:00;Bari - Caldarola;0.23;20;13;;;;;;;
01/01/20 04:00;Bari - Caldarola;0.29;20;13;;;;;;;
01/01/20 05:00;Bari - Caldarola;0.25;20;13;;;;;;;
01/01/20 06:00;Bari - Caldarola;0.25;20;13;;;;;;;
01/01/20 07:00;Bari - Caldarola;0.29;20;13;;;;;;;
01/01/20 08:00;Bari - Caldarola;0.32;20;13;;;;;;;
01/01/20 09:00;Bari - Caldarola;0.23;20;13;;;;;;;
01/01/20 10:00;Bari - Caldarola;0.23;20;13;;;;;;;
01/01/20 11:00;Bari - Caldarola;0.23;20;13;;;;;;;
01/01/20 12:00;Bari - Caldarola;0.24;20;13;;;;;;;
01/01/20 13:00;Bari - Caldarola;0.24;20;13;;;;;;;
01/01/20 14:00;Bari - Caldarola;0.23;20;13;;;;;;;
01/01/20 15:00;Bari - Caldarola;0.21;20;13;;;;;;;
01/01/20 16:00;Bari - Caldarola;0.18;20;13;;;;;;;
01/01/20 17:00;Bari - Caldarola;0.17;20;13;;;;;;;
01/01/20 18:00;Bari - Caldarola;0.17;20;13;;;;;;;
01/01/20 19:00;Bari - Caldarola;0.18;20;13;;;;;;;
01/01/20 20:00;Bari - Caldarola;0.20;20;13;;;;;;;
01/01/20 21:00;Bari - Caldarola;0.20;20;13;;;;;;;
01/01/20 22:00;Bari - Caldarola;0.18;20;13;;;;;;;
01/01/20 23:00;Bari - Caldarola;0.18;20;13;;;;;;;
02/01/20 00:00;Bari - Caldarola;0.20;20;13;;;;;;;
02/01/20 01:00;Bari - Caldarola;0.22;25;16;;;;;;;
02/01/20 02:00;Bari - Caldarola;0.21;25;16;;;;;;;
02/01/20 03:00;Bari - Caldarola;;25;16;;;;;;;
02/01/20 04:00;Bari - Caldarola;0.22;25;16;;;;;;;
02/01/20 05:00;Bari - Caldarola;0.31;25;16;;;;;;;
02/01/20 06:00;Bari - Caldarola;0.33;25;16;;;;;;;
02/01/20 07:00;Bari - Caldarola;0.38;25;16;;;;;;;
02/01/20 08:00;Bari - Caldarola;0.40;25;16;;;;;;;
02/01/20 09:00;Bari - Caldarola;0.54;25;16;;;;;;;
02/01/20 10:00;Bari - Caldarola;0.52;25;16;;;;;;;
02/01/20 11:00;Bari - Caldarola;0.47;25;16;;;;;;;
02/01/20 12:00;Bari - Caldarola;0.39;25;16;;;;;;;
02/01/20 13:00;Bari - Caldarola;0.34;25;16;;;;;;;
02/01/20 14:00;Bari - Caldarola;0.27;25;16;;;;;;;
02/01/20 15:00;Bari - Caldarola;0.24;25;16;;;;;;;
02/01/20 16:00;Bari - Caldarola;0.23;25;16;;;;;;;
02/01/20 17:00;Bari - Caldarola;0.26;25;16;;;;;;;
02/01/20 18:00;Bari - Caldarola;0.31;25;16;;;;;;;
02/01/20 19:00;Bari - Caldarola;0.53;25;16;;;;;;;
02/01/20 20:00;Bari - Caldarola;0.56;25;16;;;;;;;
02/01/20 21:00;Bari - Caldarola;0.57;25;16;;;;;;;
02/01/20 22:00;Bari - Caldarola;0.56;25;16;;;;;;;
02/01/20 23:00;Bari - Caldarola;0.53;25;16;;;;;;;
03/01/20 00:00;Bari - Caldarola;0.46;25;16;;;;;;;
03/01/20 01:00;Bari - Caldarola;0.39;37;25;;;;;;;
03/01/20 02:00;Bari - Caldarola;0.38;37;25;;;;;;;
03/01/20 03:00;Bari - Caldarola;0.34;37;25;;;;;;;
03/01/20 04:00;Bari - Caldarola;0.33;37;25;;;;;;;
03/01/20 05:00;Bari - Caldarola;0.33;37;25;;;;;;;
03/01/20 06:00;Bari - Caldarola;0.33;37;25;;;;;;;
