Data;Station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;Benzene
01/01/20 01:00;Bari - Carbonara;;;;2.46;14.47;10.23;;;
01/01/20 02:00;;;20;;2.40;18.25;14.10;;;
01/01/20 03:00;;;;;1.71;17.01;13.93;;;
01/01/20 04:00;;;32;;1.28;11.31;8.88;;;
01/01/20 05:00;;;;;1.43;10.46;7.80;;;
01/01/20 06:00;;;20;;1.46;8.03;5.32;;;
01/01/20 07:00;;;;;1.46;10.44;7.74;;;
01/01/20 08:00;;;18;;1.76;13.90;10.73;;;
01/01/20 09:00;;;;;1.83;12.24;8.97;;;
01/01/20 10:00;;;14;;2.13;11.15;7.41;;;
01/01/20 11:00;;;;;2.82;15.42;10.63;;;
01/01/20 12:00;;;13;;3.97;17.22;10.67;;;
01/01/20 13:00;;;;;5.62;21.91;12.83;;;
01/01/20 14:00;;;11;;5.11;20.74;12.44;;;
01/01/20 15:00;;;;;5.51;24.38;15.47;;;
01/01/20 16:00;;;9;;2.87;16.45;11.59;;;
01/01/20 17:00;;;;;2.54;17.33;12.97;;;
01/01/20 18:00;;;46;;3.29;20.41;14.89;;;
01/01/20 19:00;;;;;5.14;30.29;21.95;;;
01/01/20 20:00;;;23;;8.74;46.15;32.29;;;
01/01/20 21:00;;;;;4.16;30.57;23.73;;;
01/01/20 22:00;;;11;;3.61;34.64;28.64;;;
01/01/20 23:00;;;;;3.99;29.35;22.77;;;
02/01/20 00:00;;;6;;2.65;28.03;23.50;;;
02/01/20 01:00;;;;;2.16;23.37;19.60;;;
02/01/20 02:00;;;3;;2.09;17.33;13.65;;;
02/01/20 03:00;;;;;;;;;;
02/01/20 04:00;;;1;;1.48;13.99;11.26;;;
02/01/20 05:00;;;;;1.52;14.97;12.17;;;
02/01/20 06:00;;;10;;1.62;14.20;11.25;;;
02/01/20 07:00;;;;;4.25;26.62;19.64;;;
02/01/20 08:00;;;19;;6.67;40.09;29.40;;;
02/01/20 09:00;;;;;17.53;66.30;38.96;;;
02/01/20 10:00;;;35;;15.06;58.88;35.33;;;
02/01/20 11:00;;;;;11.53;48.23;30.10;;;
02/01/20 12:00;;;28;;11.50;41.83;23.74;;;
02/01/20 13:00;;;;;7.91;30.84;18.25;;;
02/01/20 14:00;;;20;;6.69;26.00;15.28;;;
02/01/20 15:00;;;;;4.67;21.04;13.41;;;
02/01/20 16:00;;;13;;5.27;25.28;16.74;;;
02/01/20 17:00;;;;;5.77;33.19;23.89;;;
02/01/20 18:00;;;7;;3.59;41.32;35.35;;;
02/01/20 19:00;;;;;7.76;65.28;52.92;;;
02/01/20 20:00;;;12;;8.74;69.59;55.74;;;
02/01/20 21:00;;;;;14.64;76.20;53.30;;;
02/01/20 22:00;;;20;;6.17;38.16;28.25;;;
02/01/20 23:00;;;;;2.30;19.23;15.24;;;
03/01/20 00:00;;;30;;1.98;16.34;12.84;;;
03/01/20 01:00;;;;;1.40;11.68;9.07;;;
03/01/20 02:00;;;27;;1.44;11.50;8.82;;;
03/01/20 03:00;;;;;1.33;9.32;6.82;;;
03/01/20 04:00;;;23;;1.14;7.85;5.63;;;
03/01/20 05:00;;;;;1.15;7.37;5.14;;;
03/01/20 06:00;;;18;;1.55;9.80;6.96;;;
03/01/20 07:00;;;;;3.49;19.41;13.60;;;
03/01/20 08:00;;;13;;5.34;33.33;24.68;;;
03/01/20 09:00;;;;;14.69;66.22;43.24;;;
03/01/20 10:00;;;11;;11.96;54.41;35.62;;;
03/01/20 11:00;;;;;10.33;47.13;30.83;;;
03/01/20 12:00;;;28;;9.40;41.41;26.54;;;
03/01/20 13:00;;;;;7.43;30.99;19.14;;;
03/01/20 14:00;;;28;;7.35;31.00;19.27;;;
03/01/20 15:00;;;;;8.07;36.46;23.62;;;
03/01/20 16:00;;;23;;6.99;34.14;22.97;;;
03/01/20 17:00;;;;;17.17;70.97;44.19;;;
03/01/20 18:00;;;17;;49.65;145.80;69.22;;;
03/01/20 19:00;;;;;43.84;136.22;68.55;;;
03/01/20 20:00;;;24;;36.31;111.50;55.37;;;
03/01/20 21:00;;;;;21.56;80.04;46.53;;;
03/01/20 22:00;;;55;;19.11;78.93;49.18;;;
03/01/20 23:00;;;;;8.31;56.17;42.97;;;
04/01/20 00:00;;;53;;6.17;41.17;31.25;;;
04/01/20 01:00;;;;;6.20;37.75;27.78;;;
04/01/20 02:00;;;40;;2.17;24.40;20.61;;;
04/01/20 03:00;;;;;;;;;;
04/01/20 04:00;;;44;;1.38;16.74;14.16;;;
04/01/20 05:00;;;;;1.41;14.73;12.11;;;
04/01/20 06:00;;;24;;1.57;15.92;13.05;;;
04/01/20 07:00;;;;;3.25;26.68;21.24;;;
04/01/20 08:00;;;22;;7.13;44.42;33.03;;;
04/01/20 09:00;;;;;7.99;48.65;35.94;;;
04/01/20 10:00;;;30;;8.78;47.26;33.35;;;
04/01/20 11:00;;;;;7.52;39.32;27.33;;;
04/01/20 12:00;;;43;;4.35;25.15;18.01;;;
04/01/20 13:00;;;;;3.49;23.08;17.26;;;
04/01/20 14:00;;;43;;3.16;26.15;20.84;;;
04/01/20 15:00;;;;;2.69;22.33;17.74;;;
04/01/20 16:00;;;20;;3.36;28.76;23.16;;;
04/01/20 17:00;;;;;8.61;51.99;38.33;;;
04/01/20 18:00;;;25;;3.96;44.76;38.24;;;
04/01/20 19:00;;;;;5.80;46.65;37.31;;;
04/01/20 20:00;;;30;;11.23;57.88;40.21;;;
04/01/20 21:00;;;;;8.78;50.19;36.28;;;
04/01/20 22:00;;;29;;6.21;41.31;31.33;;;
04/01/20 23:00;;;;;2.46;23.12;18.87;;;
05/01/20 00:00;;;31;;2.09;20.18;16.51;;;
05/01/20 01:00;;;;;3.08;21.22;16.02;;;
05/01/20 02:00;;;28;;2.12;16.66;12.95;;;
05/01/20 03:00;;;;;1.35;14.35;11.82;;;
05/01/20 04:00;;;19;;1.47;12.13;9.41;;;
05/01/20 05:00;;;;;1.23;10.49;8.14;;;
05/01/20 06:00;;;18;;1.22;11.03;8.69;;;
05/01/20 07:00;;;;;1.53;12.24;9.43;;;
05/01/20 08:00;;;29;;3.97;22.46;15.91;;;
05/01/20 09:00;;;;;2.60;13.30;8.85;;;
05/01/20 10:00;;;15;;3.35;14.83;9.24;;;
05/01/20 11:00;;;;;5.07;20.65;12.41;;;
05/01/20 12:00;;;41;;4.51;17.26;9.89;;;
05/01/20 13:00;;;;;4.64;16.31;8.73;;;
05/01/20 14:00;;;41;;4.85;16.75;8.86;;;
05/01/20 15:00;;;;;2.54;10.29;5.93;;;
05/01/20 16:00;;;15;;2.47;8.55;4.30;;;
05/01/20 17:00;;;;;2.01;9.14;5.59;;;
05/01/20 18:00;;;15;;2.91;13.39;8.46;;;
05/01/20 19:00;;;;;3.51;16.15;10.31;;;
05/01/20 20:00;;;18;;3.55;15.67;9.76;;;
05/01/20 21:00;;;;;4.24;17.94;10.97;;;
05/01/20 22:00;;;41;;2.75;13.52;8.83;;;
05/01/20 23:00;;;;;2.72;11.84;7.21;;;
06/01/20 00:00;;;20;;2.55;10.44;6.06;;;
06/01/20 01:00;;;;;2.32;8.00;3.98;;;
06/01/20 02:00;;;10;;1.59;5.89;2.98;;;
06/01/20 03:00;;;;;;;;;;
06/01/20 04:00;;;5;;;;;;;
06/01/20 05:00;;;;;;;;;;
06/01/20 06:00;;;2;;;;;;;
06/01/20 07:00;;;;;;;;;;
06/01/20 08:00;;;1;;;;;;;
06/01/20 09:00;;;;;;;;;;
06/01/20 10:00;;;;;;;;;;
06/01/20 11:00;;;;;;;;;;
06/01/20 12:00;;;7;;;;;;;
06/01/20 13:00;;;;;;;;;;
06/01/20 14:00;;;7;;;;;;;
06/01/20 15:00;;;;;;;;;;
06/01/20 16:00;;;13;;;;;;;
06/01/20 17:00;;;;;;;;;;
06/01/20 18:00;;;33;;;;;;;
06/01/20 19:00;;;;;;;;;;
06/01/20 20:00;;;16;;;;;;;
06/01/20 21:00;;;;;;;;;;
06/01/20 22:00;;;8;;;;;;;
06/01/20 23:00;;;;;;;;;;
07/01/20 00:00;;;4;;;;;;;
07/01/20 01:00;;;;;;;;;;
07/01/20 02:00;;;2;;;;;;;
07/01/20 03:00;;;;;;;;;;
07/01/20 04:00;;;1;;;;;;;
07/01/20 05:00;;;;;;;;;;
07/01/20 06:00;;;5;;;;;;;
07/01/20 07:00;;;;;;;;;;
07/01/20 08:00;;;9;;;;;;;
07/01/20 09:00;;;;;;;;;;
07/01/20 10:00;;;13;;;;;;;
07/01/20 11:00;;;;;;;;;;
07/01/20 12:00;;;16;;;;;;;
07/01/20 13:00;;;;;;;;;;
07/01/20 14:00;;;16;;;;;;;
07/01/20 15:00;;;;;;;;;;
07/01/20 16:00;;;42;;;;;;;
07/01/20 17:00;;;;;;;;;;
07/01/20 18:00;;;21;;;;;;;
07/01/20 19:00;;;;;;;;;;
07/01/20 20:00;;;11;;;;;;;
07/01/20 21:00;;;;;;;;;;
07/01/20 22:00;;;6;;;;;;;
07/01/20 23:00;;;;;;;;;;
08/01/20 00:00;;;19;;;;;;;
08/01/20 01:00;;;;;;;;;;
08/01/20 02:00;;;21;;;;;;;
08/01/20 03:00;;;;;;;;;;
08/01/20 04:00;;;23;;1.31;20.36;17.88;;;
08/01/20 05:00;;;;;1.33;15.94;13.44;;;
08/01/20 06:00;;;23;;2.75;19.48;14.80;;;
08/01/20 07:00;;;;;2.81;24.66;19.88;;;
08/01/20 08:00;;;25;;13.77;61.39;39.81;;;
08/01/20 09:00;;;;;47.89;127.80;53.92;;;
08/01/20 10:00;;;26;;28.79;92.80;48.20;;;
08/01/20 11:00;;;;;11.30;51.54;33.75;;;
08/01/20 12:00;;;35;;7.84;34.89;22.41;;;
08/01/20 13:00;;;;;8.29;33.90;20.72;;;
08/01/20 14:00;;;35;;12.96;46.62;26.28;;;
08/01/20 15:00;;;;;12.80;46.44;26.36;;;
08/01/20 16:00;;;33;;9.29;42.07;27.36;;;
08/01/20 17:00;;;;;11.24;54.21;36.52;;;
08/01/20 18:00;;;21;;33.42;119.03;67.34;;;
08/01/20 19:00;;;;;38.64;140.91;81.23;;;
08/01/20 20:00;;;19;;20.13;95.67;64.36;;;
08/01/20 21:00;;;;;8.85;56.83;42.79;;;
08/01/20 22:00;;;26;;5.09;38.96;30.70;;;
08/01/20 23:00;;;;;3.03;25.37;20.26;;;
09/01/20 00:00;;;38;;2.37;17.55;13.44;;;
09/01/20 01:00;;;;;1.64;15.24;12.26;;;
09/01/20 02:00;;;32;;1.74;13.89;10.76;;;
09/01/20 03:00;;;;;1.34;12.74;10.21;;;
09/01/20 04:00;;;30;;1.22;11.55;9.22;;;
09/01/20 05:00;;;;;1.22;11.16;8.83;;;
09/01/20 06:00;;;25;;1.33;13.17;10.67;;;
09/01/20 07:00;;;;;2.32;18.01;13.99;;;
09/01/20 08:00;;;23;;9.94;46.27;30.56;;;
09/01/20 09:00;;;;;18.55;68.97;40.07;;;
09/01/20 10:00;;;26;;13.99;54.78;32.86;;;
09/01/20 11:00;;;;;8.52;38.14;24.62;;;
09/01/20 12:00;;;32;;5.26;27.45;18.92;;;
09/01/20 13:00;;;;;6.74;28.56;17.76;;;
09/01/20 14:00;;;18;;9.70;37.62;22.28;;;
09/01/20 15:00;;;;;14.71;54.02;30.99;;;
09/01/20 16:00;;;14;;9.71;43.93;28.58;;;
09/01/20 17:00;;;;;24.17;92.28;54.77;;;
09/01/20 18:00;;;14;;30.80;116.99;69.32;;;
09/01/20 19:00;;;;;61.61;174.83;79.92;;;
09/01/20 20:00;;;25;;44.77;137.54;68.45;;;
09/01/20 21:00;;;;;30.95;102.66;54.74;;;
09/01/20 22:00;;;37;;24.93;84.20;45.52;;;
09/01/20 23:00;;;;;7.30;41.38;29.73;;;
10/01/20 00:00;;;57;;2.95;24.97;19.99;;;
10/01/20 01:00;;;;;2.59;23.41;18.98;;;
10/01/20 02:00;;;63;;2.05;18.34;14.74;;;
10/01/20 03:00;;;;;;;;;;
10/01/20 04:00;;;38;;1.31;14.22;11.75;;;
10/01/20 05:00;;;;;1.22;13.04;10.71;;;
10/01/20 06:00;;;30;;1.64;14.47;11.50;;;
10/01/20 07:00;;;;;4.60;29.93;22.43;;;
10/01/20 08:00;;;26;;15.41;62.86;38.77;;;
10/01/20 09:00;;;;;41.41;114.73;50.78;;;
10/01/20 10:00;;;30;;45.35;124.26;54.28;;;
10/01/20 11:00;;;;;54.32;136.66;52.92;;;
10/01/20 12:00;;;38;;26.70;93.75;52.36;;;
10/01/20 13:00;;;;;11.34;54.58;36.74;;;
10/01/20 14:00;;;38;;15.17;63.24;39.52;;;
10/01/20 15:00;;;;;8.27;45.83;32.69;;;
10/01/20 16:00;;;30;;9.31;48.88;34.14;;;
10/01/20 17:00;;;;;10.64;63.28;46.51;;;
10/01/20 18:00;;;29;;27.16;125.16;83.07;;;
10/01/20 19:00;;;;;20.43;112.13;80.37;;;
10/01/20 20:00;;;34;;12.93;84.14;63.86;;;
10/01/20 21:00;;;;;9.43;67.57;52.65;;;
10/01/20 22:00;;;49;;6.01;55.31;45.64;;;
10/01/20 23:00;;;;;3.33;39.08;33.51;;;
11/01/20 00:00;;;66;;2.56;31.78;27.38;;;
11/01/20 01:00;;;;;2.86;26.40;21.56;;;
11/01/20 02:00;;;53;;2.09;19.03;15.36;;;
11/01/20 03:00;;;;;1.53;13.77;10.96;;;
11/01/20 04:00;;;48;;2.06;13.13;9.51;;;
11/01/20 05:00;;;;;1.21;10.43;8.11;;;
11/01/20 06:00;;;32;;1.07;12.32;10.22;;;
11/01/20 07:00;;;;;2.36;19.51;15.44;;;
11/01/20 08:00;;;24;;6.51;38.28;27.83;;;
11/01/20 09:00;;;;;9.19;51.16;36.61;;;
11/01/20 10:00;;;18;;5.81;39.45;30.09;;;
11/01/20 11:00;;;;;5.78;39.29;29.97;;;
11/01/20 12:00;;;25;;4.14;26.09;19.29;;;
11/01/20 13:00;;;;;3.84;20.44;14.08;;;
11/01/20 14:00;;;17;;7.10;33.80;22.45;;;
11/01/20 15:00;;;;;3.16;20.09;14.78;;;
11/01/20 16:00;;;51;;2.64;18.79;14.28;;;
11/01/20 17:00;;;;;2.45;21.87;17.64;;;
11/01/20 18:00;;;25;;2.24;31.74;27.85;;;
11/01/20 19:00;;;;;4.97;43.78;35.70;;;
11/01/20 20:00;;;13;;6.75;50.23;39.43;;;
11/01/20 21:00;;;;;4.19;40.98;34.10;;;
11/01/20 22:00;;;6;;7.77;50.96;38.58;;;
11/01/20 23:00;;;;;3.32;37.00;31.45;;;
12/01/20 00:00;;;12;;3.05;37.50;32.37;;;
12/01/20 01:00;;;;;2.39;33.44;29.32;;;
12/01/20 02:00;;;29;;2.97;34.13;29.12;;;
12/01/20 03:00;;;;;;;;;;
12/01/20 04:00;;;36;;2.90;34.23;29.33;;;
12/01/20 05:00;;;;;2.70;30.49;25.88;;;
12/01/20 06:00;;;52;;2.04;25.15;21.56;;;
12/01/20 07:00;;;;;2.32;25.05;21.02;;;
12/01/20 08:00;;;49;;2.21;24.67;20.82;;;
12/01/20 09:00;;;;;2.51;25.79;21.49;;;
12/01/20 10:00;;;52;;2.99;23.65;18.60;;;
12/01/20 11:00;;;;;4.78;33.78;25.99;;;
12/01/20 12:00;;;38;;5.60;33.82;24.77;;;
12/01/20 13:00;;;;;8.15;37.55;24.60;;;
12/01/20 14:00;;;27;;6.39;32.59;22.33;;;
12/01/20 15:00;;;;;4.23;27.02;20.07;;;
12/01/20 16:00;;;30;;6.59;37.27;26.71;;;
12/01/20 17:00;;;;;5.93;35.34;25.78;;;
12/01/20 18:00;;;21;;5.21;40.32;31.87;;;
12/01/20 19:00;;;;;8.90;62.70;48.60;;;
12/01/20 20:00;;;26;;12.92;76.15;55.89;;;
12/01/20 21:00;;;;;14.75;75.01;51.94;;;
12/01/20 22:00;;;23;;11.98;64.00;45.17;;;
12/01/20 23:00;;;;;4.88;43.25;35.32;;;
13/01/20 00:00;;;29;;4.83;35.61;27.75;;;
13/01/20 01:00;;;;;3.05;23.90;18.76;;;
13/01/20 02:00;;;28;;1.78;14.98;11.79;;;
13/01/20 03:00;;;;;1.45;12.28;9.60;;;
13/01/20 04:00;;;25;;1.20;9.49;7.18;;;
13/01/20 05:00;;;;;1.20;8.99;6.69;;;
13/01/20 06:00;;;14;;1.66;12.92;9.90;;;
13/01/20 07:00;;;;;4.11;25.32;18.56;;;
13/01/20 08:00;;;8;;11.62;57.73;39.45;;;
13/01/20 09:00;;;;;49.04;134.56;58.92;;;
13/01/20 10:00;;;9;;37.69;112.81;54.57;;;
13/01/20 11:00;;;;;36.75;110.12;53.32;;;
13/01/20 12:00;;;21;;38.32;111.04;51.84;;;
13/01/20 13:00;;;;;10.82;50.45;33.41;;;
13/01/20 14:00;;;39;;13.25;53.25;32.47;;;
13/01/20 15:00;;;;;15.19;57.66;33.91;;;
13/01/20 16:00;;;29;;9.08;43.94;29.55;;;
13/01/20 17:00;;;;;7.75;56.49;44.15;;;
13/01/20 18:00;;;27;;15.52;81.78;57.53;;;
13/01/20 19:00;;;;;26.70;100.41;59.02;;;
13/01/20 20:00;;;26;;38.21;119.63;60.59;;;
13/01/20 21:00;;;;;49.23;134.51;58.58;;;
13/01/20 22:00;;;35;;18.78;76.79;47.54;;;
13/01/20 23:00;;;;;9.61;55.52;40.33;;;
14/01/20 00:00;;;45;;6.89;43.54;32.53;;;
14/01/20 01:00;;;;;7.91;40.43;27.84;;;
14/01/20 02:00;;;42;;3.72;29.29;23.12;;;
14/01/20 03:00;;;;;;;;;;
14/01/20 04:00;;;33;;3.21;18.51;13.12;;;
14/01/20 05:00;;;;;1.22;12.43;10.10;;;
14/01/20 06:00;;;31;;1.31;13.49;11.01;;;
14/01/20 07:00;;;;;2.09;19.12;15.45;;;
14/01/20 08:00;;;26;;6.75;42.99;32.18;;;
14/01/20 09:00;;;;;25.72;82.91;43.03;;;
14/01/20 10:00;;;21;;34.40;99.53;46.32;;;
14/01/20 11:00;;;;;13.35;50.36;29.42;;;
14/01/20 12:00;;;23;;17.26;60.25;33.32;;;
14/01/20 13:00;;;;;37.93;117.67;59.06;;;
14/01/20 14:00;;;46;;16.32;61.44;35.95;;;
14/01/20 15:00;;;;;19.36;66.72;36.57;;;
14/01/20 16:00;;;33;;13.75;55.26;33.73;;;
14/01/20 17:00;;;;;24.56;82.12;44.00;;;
14/01/20 18:00;;;25;;29.01;97.55;52.61;;;
14/01/20 19:00;;;;;73.19;177.58;64.91;;;
14/01/20 20:00;;;34;;51.49;137.01;57.61;;;
14/01/20 21:00;;;;;53.64;131.94;49.24;;;
14/01/20 22:00;;;48;;30.82;91.57;43.85;;;
14/01/20 23:00;;;;;13.21;58.95;38.23;;;
15/01/20 00:00;;;58;;6.47;40.06;29.69;;;
15/01/20 01:00;;;;;3.04;24.19;19.07;;;
15/01/20 02:00;;;69;;1.86;16.47;13.15;;;
15/01/20 03:00;;;;;1.31;13.45;10.98;;;
15/01/20 04:00;;;67;;1.22;10.17;7.84;;;
15/01/20 05:00;;;;;1.22;9.87;7.53;;;
15/01/20 06:00;;;62;;1.22;10.92;8.59;;;
15/01/20 07:00;;;;;2.17;21.60;17.82;;;
15/01/20 08:00;;;43;;8.65;50.56;36.84;;;
15/01/20 09:00;;;;;31.69;104.25;55.22;;;
15/01/20 10:00;;;41;;34.33;108.04;54.94;;;
15/01/20 11:00;;;;;26.02;87.01;46.65;;;
15/01/20 12:00;;;47;;17.13;69.71;42.99;;;
15/01/20 13:00;;;;;8.38;38.95;25.65;;;
15/01/20 14:00;;;41;;12.47;45.48;25.91;;;
15/01/20 15:00;;;;;7.87;34.96;22.43;;;
15/01/20 16:00;;;25;;6.24;32.35;22.31;;;
15/01/20 17:00;;;;;14.94;63.27;39.92;;;
15/01/20 18:00;;;14;;19.92;99.41;68.42;;;
15/01/20 19:00;;;;;37.02;134.40;77.20;;;
15/01/20 20:00;;;27;;36.90;128.32;71.29;;;
15/01/20 21:00;;;;;24.37;93.17;55.35;;;
15/01/20 22:00;;;38;;14.79;70.90;47.77;;;
15/01/20 23:00;;;;;3.75;38.49;32.27;;;
16/01/20 00:00;;;50;;3.03;29.42;24.31;;;
16/01/20 01:00;;;;;1.81;17.50;14.25;;;
16/01/20 02:00;;;45;;1.77;16.94;13.76;;;
16/01/20 03:00;;;;;;;;;;
16/01/20 04:00;;;29;;1.22;13.79;11.46;;;
16/01/20 05:00;;;;;1.22;13.85;11.51;;;
16/01/20 06:00;;;26;;1.95;19.12;15.67;;;
16/01/20 07:00;;;;;3.58;29.56;23.61;;;
16/01/20 08:00;;;23;;7.53;45.70;33.70;;;
16/01/20 09:00;;;;;15.00;69.90;46.45;;;
16/01/20 10:00;;;16;;12.13;58.70;39.65;;;
16/01/20 11:00;;;;;6.83;41.06;30.14;;;
16/01/20 12:00;;;28;;4.68;26.98;19.34;;;
16/01/20 13:00;;;;;5.05;24.96;16.75;;;
16/01/20 14:00;;;22;;6.16;28.54;18.62;;;
16/01/20 15:00;;;;;6.54;29.93;19.44;;;
16/01/20 16:00;;;17;;2.67;19.15;14.59;;;
16/01/20 17:00;;;;;6.17;36.24;26.31;;;
16/01/20 18:00;;;46;;15.10;77.73;54.12;;;
16/01/20 19:00;;;;;21.34;110.28;77.11;;;
16/01/20 20:00;;;23;;11.93;81.52;62.78;;;
16/01/20 21:00;;;;;6.38;51.11;40.87;;;
16/01/20 22:00;;;11;;5.81;43.90;34.53;;;
16/01/20 23:00;;;;;3.47;32.33;26.55;;;
17/01/20 00:00;;;14;;2.09;22.43;18.76;;;
17/01/20 01:00;;;;;2.58;26.45;22.03;;;
17/01/20 02:00;;;41;;2.52;24.49;20.17;;;
17/01/20 03:00;;;;;1.57;19.48;16.61;;;
17/01/20 04:00;;;52;;1.51;18.12;15.35;;;
17/01/20 05:00;;;;;1.43;16.00;13.35;;;
17/01/20 06:00;;;53;;2.04;18.95;15.37;;;
17/01/20 07:00;;;;;4.37;29.17;22.00;;;
17/01/20 08:00;;;50;;7.27;41.58;29.97;;;
17/01/20 09:00;;;;;15.09;62.08;38.47;;;
17/01/20 10:00;;;43;;8.90;43.02;28.91;;;
17/01/20 11:00;;;;;7.65;41.08;28.89;;;
