Parm;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE
01/01/20 01:00;Bari - Cavour;0.40;26;16;7.29;47.33;36.15;;;1.44
01/01/20 02:00;Bari - Cavour;0.49;26;16;21.05;80.30;48.02;;;1.72
01/01/20 03:00;Bari - Cavour;0.44;26;16;17.76;75.28;48.05;;;1.68
01/01/20 04:00;Bari - Cavour;0.35;26;16;13.71;62.88;41.82;;;1.57
01/01/20 05:00;Bari - Cavour;0.31;26;16;5.35;33.61;25.41;;;1.17
01/01/20 06:00;Bari - Cavour;0.28;26;16;5.32;34.96;26.81;;;0.93
01/01/20 07:00;Bari - Cavour;0.30;26;16;5.83;40.68;31.74;;;0.90
01/01/20 08:00;Bari - Cavour;0.29;26;16;4.58;38.07;31.05;;;0.96
01/01/20 09:00;Bari - Cavour;0.27;26;16;5.52;38.07;29.62;;;0.76
01/01/20 10:00;Bari - Cavour;0.28;26;16;5.04;34.85;27.13;;;0.80
01/01/20 11:00;Bari - Cavour;0.27;26;16;4.23;28.93;22.44;;;0.88
01/01/20 12:00;Bari - Cavour;0.30;26;16;4.10;29.53;23.25;;;0.82
01/01/20 13:00;Bari - Cavour;0.35;26;16;5.10;32.69;24.88;;;0.90
01/01/20 14:00;Bari - Cavour;0.36;26;16;5.12;35.15;27.29;;;1.07
01/01/20 15:00;Bari - Cavour;0.30;26;16;4.64;33.83;26.72;;;0.94
01/01/20 16:00;Bari - Cavour;0.25;26;16;4.07;30.10;23.87;;;0.64
01/01/20 17:00;Bari - Cavour;0.28;26;16;6.24;39.96;30.38;;;0.63
01/01/20 18:00;Bari - Cavour;0.32;26;16;7.05;49.18;38.38;;;0.78
01/01/20 19:00;Bari - Cavour;0.34;26;16;9.40;57.47;43.06;;;0.93
01/01/20 20:00;Bari - Cavour;0.37;26;16;19.21;86.53;57.03;;;1.11
01/01/20 21:00;Bari - Cavour;0.33;26;16;11.40;69.00;51.53;;;0.87
01/01/20 22:00;Bari - Cavour;0.37;26;16;14.32;73.12;51.16;;;1.02
01/01/20 23:00;Bari - Cavour;0.42;26;16;12.69;66.66;47.20;;;1.02
02/01/20 00:00;Bari - Cavour;0.35;26;16;4.45;38.23;31.41;;;1.17
02/01/20 01:00;Bari - Cavour;0.35;26;16;8.37;47.36;34.53;;;0.86
02/01/20 02:00;Bari - Cavour;;26;16;5.76;40.38;31.55;;;1.03
02/01/20 03:00;Bari - Cavour;0.26;26;16;3.11;25.61;20.82;;;0.73
02/01/20 04:00;Bari - Cavour;0.26;26;16;2.47;19.09;15.29;;;0.65
02/01/20 05:00;Bari - Cavour;0.28;26;16;2.42;21.12;17.41;;;0.77
02/01/20 06:00;Bari - Cavour;0.32;26;16;;;;;;0.90
02/01/20 07:00;Bari - Cavour;0.40;26;16;11.75;55.96;37.94;;;1.03
02/01/20 08:00;Bari - Cavour;0.53;26;16;40.83;115.16;52.56;;;1.32
02/01/20 09:00;Bari - Cavour;0.74;26;16;61.39;153.41;59.28;;;2.17
02/01/20 10:00;Bari - Cavour;0.53;26;16;26.22;87.15;46.96;;;2.80
02/01/20 11:00;Bari - Cavour;0.52;26;16;17.45;71.70;44.94;;;1.99
02/01/20 12:00;Bari - Cavour;0.46;26;16;11.84;58.07;39.92;;;1.69
02/01/20 13:00;Bari - Cavour;0.44;26;16;9.78;52.02;37.02;;;1.45
02/01/20 14:00;Bari - Cavour;0.45;26;16;13.78;65.19;44.05;;;1.47
02/01/20 15:00;Bari - Cavour;0.35;26;16;9.63;58.03;43.27;;;1.32
02/01/20 16:00;Bari - Cavour;0.33;26;16;9.98;63.48;48.17;;;1.00
02/01/20 17:00;Bari - Cavour;0.33;26;16;9.93;62.87;47.67;;;0.89
02/01/20 18:00;Bari - Cavour;0.38;26;16;9.64;62.09;47.31;;;0.97
02/01/20 19:00;Bari - Cavour;0.83;26;16;48.72;149.10;74.41;;;2.02
02/01/20 20:00;Bari - Cavour;0.88;26;16;50.36;153.24;76.03;;;3.16
02/01/20 21:00;Bari - Cavour;0.85;26;16;56.23;160.53;74.32;;;3.65
02/01/20 22:00;Bari - Cavour;0.70;26;16;43.14;127.52;61.38;;;3.48
02/01/20 23:00;Bari - Cavour;0.51;26;16;21.98;83.35;49.64;;;2.50
03/01/20 00:00;Bari - Cavour;0.43;26;16;13.32;63.77;43.36;;;1.93
03/01/20 01:00;Bari - Cavour;0.42;38;28;11.38;57.33;39.88;;;1.42
03/01/20 02:00;Bari - Cavour;0.37;38;28;;;;;;1.36
03/01/20 03:00;Bari - Cavour;0.32;38;28;4.65;33.30;26.17;;;1.29
03/01/20 04:00;Bari - Cavour;0.29;38;28;3.42;25.17;19.92;;;0.97
03/01/20 05:00;Bari - Cavour;0.28;38;28;2.40;20.47;16.79;;;0.93
03/01/20 06:00;Bari - Cavour;0.31;38;28;5.10;37.29;29.49;;;0.94
03/01/20 07:00;Bari - Cavour;0.36;38;28;11.95;62.21;43.89;;;1.06
03/01/20 08:00;Bari - Cavour;0.43;38;28;33.14;108.36;57.54;;;1.27
03/01/20 09:00;Bari - Cavour;0.66;38;28;75.38;182.34;66.75;;;1.62
03/01/20 10:00;Bari - Cavour;0.93;38;28;71.61;174.37;64.56;;;3.80
03/01/20 11:00;Bari - Cavour;0.61;38;28;21.48;81.41;48.48;;;3.28
