Data;Station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;Benzene;SO2
01/01/20 01:00;Bari - CUS;;22;;0.71;18.45;17.35;;50.66;;
01/01/20 02:00;Bari - CUS;;22;;0.17;8.98;8.71;;64.36;;
01/01/20 03:00;Bari - CUS;;22;;0.11;7.91;7.76;;65.00;;
01/01/20 04:00;Bari - CUS;;22;;0.13;5.87;5.68;;65.34;;
01/01/20 05:00;Bari - CUS;;22;;0.02;4.52;4.51;;66.03;;
01/01/20 06:00;Bari - CUS;;22;;0.04;5.31;5.27;;64.90;;
01/01/20 07:00;Bari - CUS;;22;;0.16;7.97;7.76;;59.03;;
01/01/20 08:00;Bari - CUS;;22;;0.36;9.17;8.61;;56.33;;
01/01/20 09:00;Bari - CUS;;22;;0.55;7.88;7.03;;59.09;;
01/01/20 10:00;Bari - CUS;;22;;0.83;7.02;5.76;;62.03;;
01/01/20 11:00;Bari - CUS;;22;;0.91;7.15;5.75;;63.99;;
01/01/20 12:00;Bari - CUS;;22;;0.91;7.63;6.24;;64.47;;
01/01/20 13:00;Bari - CUS;;22;;1.20;8.76;6.90;;63.31;;
01/01/20 14:00;Bari - CUS;;22;;0.90;7.65;6.26;;68.11;;
01/01/20 15:00;Bari - CUS;;22;;0.10;3.62;3.49;;79.29;;
01/01/20 16:00;Bari - CUS;;22;;0.09;2.18;2.05;;81.38;;
01/01/20 17:00;Bari - CUS;;22;;0.10;2.82;2.67;;81.12;;
01/01/20 18:00;Bari - CUS;;22;;0.05;3.04;2.98;;80.46;;
01/01/20 19:00;Bari - CUS;;22;;0.15;3.90;3.68;;78.89;;
01/01/20 20:00;Bari - CUS;;22;;0.20;4.09;3.80;;79.33;;
01/01/20 21:00;Bari - CUS;;22;;0.12;3.32;3.14;;79.70;;
01/01/20 22:00;Bari - CUS;;22;;0.09;1.90;1.77;;81.82;;
01/01/20 23:00;Bari - CUS;;22;;0.23;5.07;4.79;;69.84;;
02/01/20 00:00;Bari - CUS;;22;;0.16;8.12;7.90;;62.51;;
02/01/20 01:00;Bari - CUS;;25;;0.13;11.48;11.28;;56.30;;
02/01/20 02:00;Bari - CUS;;25;;;;;;58.14;;
02/01/20 03:00;Bari - CUS;;25;;0.02;6.27;6.30;;;;
02/01/20 04:00;Bari - CUS;;25;;0.06;6.87;6.79;;49.78;;
02/01/20 05:00;Bari - CUS;;25;;0.38;10.25;9.67;;42.61;;
02/01/20 06:00;Bari - CUS;;25;;4.52;31.25;24.33;;25.14;;
02/01/20 07:00;Bari - CUS;;25;;18.49;66.62;38.27;;19.47;;
02/01/20 08:00;Bari - CUS;;25;;6.08;37.04;27.71;;27.90;;
02/01/20 09:00;Bari - CUS;;25;;4.65;28.38;21.24;;35.86;;
02/01/20 10:00;Bari - CUS;;25;;4.54;25.80;18.83;;41.16;;
02/01/20 11:00;Bari - CUS;;25;;2.61;15.85;11.86;;53.13;;
02/01/20 12:00;Bari - CUS;;25;;2.35;14.33;10.72;;57.88;;
02/01/20 13:00;Bari - CUS;;25;;0.54;5.12;4.30;;73.03;;
02/01/20 14:00;Bari - CUS;;25;;0.51;4.93;4.16;;76.15;;
02/01/20 15:00;Bari - CUS;;25;;0.43;4.65;4.00;;77.81;;
02/01/20 16:00;Bari - CUS;;25;;0.49;6.78;6.03;;76.76;;
02/01/20 17:00;Bari - CUS;;25;;0.62;8.97;8.03;;74.90;;
02/01/20 18:00;Bari - CUS;;25;;5.73;45.85;37.05;;39.18;;
02/01/20 19:00;Bari - CUS;;25;;7.62;55.21;43.53;;33.08;;
02/01/20 20:00;Bari - CUS;;25;;25.98;97.54;57.71;;18.37;;
02/01/20 21:00;Bari - CUS;;25;;21.90;93.87;60.27;;5.63;;
02/01/20 22:00;Bari - CUS;;25;;10.79;62.45;45.90;;10.25;;
02/01/20 23:00;Bari - CUS;;25;;5.09;45.25;37.46;;15.91;;
03/01/20 00:00;Bari - CUS;;25;;0.97;23.89;22.40;;30.23;;
03/01/20 01:00;Bari - CUS;;37;;0.81;21.57;20.33;;33.17;;
03/01/20 02:00;Bari - CUS;;37;;0.20;14.99;14.69;;39.93;;
03/01/20 03:00;Bari - CUS;;37;;0.56;15.62;14.76;;38.13;;
03/01/20 04:00;Bari - CUS;;37;;1.59;18.70;16.28;;34.27;;
03/01/20 05:00;Bari - CUS;;37;;0.53;17.64;16.83;;38.07;;
03/01/20 06:00;Bari - CUS;;37;;0.68;12.12;11.11;;50.84;;
03/01/20 07:00;Bari - CUS;;37;;21.09;74.97;42.70;;18.78;;
03/01/20 08:00;Bari - CUS;;37;;64.43;161.02;62.19;;3.01;;
03/01/20 09:00;Bari - CUS;;37;;11.90;54.43;36.18;;25.62;;
03/01/20 10:00;Bari - CUS;;37;;3.72;23.88;18.17;;48.92;;
03/01/20 11:00;Bari - CUS;;37;;2.29;15.50;11.98;;58.56;;
03/01/20 12:00;Bari - CUS;;37;;2.67;17.33;13.24;;60.36;;
03/01/20 13:00;Bari - CUS;;37;;2.24;15.33;11.89;;64.64;;
03/01/20 14:00;Bari - CUS;;37;;1.99;15.36;12.30;;64.43;;
03/01/20 15:00;Bari - CUS;;37;;1.99;17.57;14.51;;63.09;;
03/01/20 16:00;Bari - CUS;;37;;0.91;14.09;12.70;;68.12;;
03/01/20 17:00;Bari - CUS;;37;;14.48;57.25;35.10;;45.69;;
03/01/20 18:00;Bari - CUS;;37;;246.63;483.78;105.67;;2.80;;
03/01/20 19:00;Bari - CUS;;37;;202.10;404.92;95.04;;3.45;;
03/01/20 20:00;Bari - CUS;;37;;73.94;173.31;59.93;;4.14;;
03/01/20 21:00;Bari - CUS;;37;;77.33;176.62;58.08;;2.09;;
03/01/20 22:00;Bari - CUS;;37;;57.53;145.45;57.24;;1.39;;
03/01/20 23:00;Bari - CUS;;37;;40.09;115.15;53.66;;1.89;;
04/01/20 00:00;Bari - CUS;;37;;8.90;58.01;44.37;;5.05;;
04/01/20 01:00;Bari - CUS;;27;;6.03;53.49;44.25;;5.18;;
04/01/20 02:00;Bari - CUS;;27;;;;;;10.47;;
04/01/20 03:00;Bari - CUS;;27;;1.15;20.24;18.47;;;;
04/01/20 04:00;Bari - CUS;;27;;0.76;24.48;23.32;;13.81;;
04/01/20 05:00;Bari - CUS;;27;;3.78;35.85;30.06;;11.20;;
04/01/20 06:00;Bari - CUS;;27;;10.60;57.16;40.91;;5.13;;
04/01/20 07:00;Bari - CUS;;27;;25.80;86.07;46.48;;18.13;;
04/01/20 08:00;Bari - CUS;;27;;1.02;20.93;19.37;;49.41;;
04/01/20 09:00;Bari - CUS;;27;;1.49;19.39;17.10;;54.03;;
04/01/20 10:00;Bari - CUS;;27;;2.36;19.12;15.51;;55.62;;
04/01/20 11:00;Bari - CUS;;27;;2.53;18.36;14.47;;57.70;;
04/01/20 12:00;Bari - CUS;;27;;2.08;17.53;14.34;;59.30;;
04/01/20 13:00;Bari - CUS;;27;;1.60;15.99;13.53;;64.48;;
04/01/20 14:00;Bari - CUS;;27;;1.71;17.14;14.51;;61.43;;
04/01/20 15:00;Bari - CUS;;27;;1.05;11.61;10.00;;66.62;;
04/01/20 16:00;Bari - CUS;;27;;0.61;9.90;8.96;;64.83;;
04/01/20 17:00;Bari - CUS;;27;;4.94;44.42;36.83;;31.04;;
04/01/20 18:00;Bari - CUS;;27;;1.86;32.24;29.38;;37.21;;
04/01/20 19:00;Bari - CUS;;27;;1.46;26.43;24.19;;40.03;;
