Data;Station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;Benzene;SO2
01/01/20 01:00;Bari - Kennedy;;19;;4.23;22.39;15.90;;48.12;;
01/01/20 02:00;Bari - Kennedy;;19;;1.56;15.20;12.81;;55.27;;
01/01/20 03:00;Bari - Kennedy;;19;;1.63;13.02;10.53;;57.39;;
01/01/20 04:00;Bari - Kennedy;;19;;1.22;14.04;12.17;;54.95;;
01/01/20 05:00;Bari - Kennedy;;19;;3.73;19.90;14.19;;53.49;;
01/01/20 06:00;Bari - Kennedy;;19;;1.43;13.81;11.61;;52.75;;
01/01/20 07:00;Bari - Kennedy;;19;;1.16;17.54;15.76;;45.42;;
01/01/20 08:00;Bari - Kennedy;;19;;1.73;17.77;15.11;;45.06;;
01/01/20 09:00;Bari - Kennedy;;19;;1.68;12.72;10.15;;49.46;;
01/01/20 10:00;Bari - Kennedy;;19;;2.60;13.58;9.60;;53.09;;
01/01/20 11:00;Bari - Kennedy;;19;;2.54;13.30;9.41;;57.37;;
01/01/20 12:00;Bari - Kennedy;;19;;2.88;15.11;10.69;;58.69;;
01/01/20 13:00;Bari - Kennedy;;19;;3.60;17.47;11.95;;58.41;;
01/01/20 14:00;Bari - Kennedy;;19;;2.73;17.21;13.02;;57.95;;
01/01/20 15:00;Bari - Kennedy;;19;;2.84;22.94;18.58;;60.46;;
01/01/20 16:00;Bari - Kennedy;;19;;2.66;17.69;13.62;;66.45;;
01/01/20 17:00;Bari - Kennedy;;19;;4.72;28.50;21.26;;60.58;;
01/01/20 18:00;Bari - Kennedy;;19;;12.74;50.82;31.29;;52.32;;
01/01/20 19:00;Bari - Kennedy;;19;;3.72;35.37;29.68;;50.71;;
01/01/20 20:00;Bari - Kennedy;;19;;2.46;24.69;20.93;;59.31;;
01/01/20 21:00;Bari - Kennedy;;19;;2.50;24.48;20.64;;59.48;;
01/01/20 22:00;Bari - Kennedy;;19;;2.67;28.70;24.61;;54.94;;
01/01/20 23:00;Bari - Kennedy;;19;;1.64;21.09;18.58;;49.65;;
02/01/20 00:00;Bari - Kennedy;;19;;1.61;19.64;17.18;;45.37;;
02/01/20 01:00;Bari - Kennedy;;24;;1.81;26.91;24.12;;;;
02/01/20 02:00;Bari - Kennedy;;24;;;;;;45.81;;
02/01/20 03:00;Bari - Kennedy;;24;;;;;;40.36;;
02/01/20 04:00;Bari - Kennedy;;24;;;;;;40.21;;
02/01/20 05:00;Bari - Kennedy;;24;;;;;;28.77;;
02/01/20 06:00;Bari - Kennedy;;24;;;;;;17.75;;
02/01/20 07:00;Bari - Kennedy;;24;;;;;;6.23;;
02/01/20 08:00;Bari - Kennedy;;24;;;;;;8.33;;
02/01/20 09:00;Bari - Kennedy;;24;;;;;;8.43;;
02/01/20 10:00;Bari - Kennedy;;24;;;;;;29.71;;
02/01/20 11:00;Bari - Kennedy;;24;;;;;;41.62;;
02/01/20 12:00;Bari - Kennedy;;24;;;;;;53.50;;
02/01/20 13:00;Bari - Kennedy;;24;;;;;;60.79;;
