ts;Station;CO;PM10;PM2.5;NO;NOx;NO2;NO3;O3;BENZENE
01/01/20 01:00;Barletta - Casardi;;35;28;9.75;50.51;35.57;;30.01;0.71
01/01/20 02:00;Barletta - Casardi;;35;28;1.37;27.66;25.56;;42.03;0.77
01/01/20 03:00;Barletta - Casardi;;35;28;1.25;28.31;26.38;;43.75;0.59
01/01/20 04:00;Barletta - Casardi;;35;28;0.65;19.88;18.88;;49.51;0.49
01/01/20 05:00;Barletta - Casardi;;35;28;0.46;11.03;10.33;;57.20;0.39
01/01/20 06:00;Barletta - Casardi;;35;28;0.58;11.25;10.35;;56.17;0.32
01/01/20 07:00;Barletta - Casardi;;35;28;0.45;12.44;11.75;;54.73;0.33
01/01/20 08:00;Barletta - Casardi;;35;28;0.58;13.40;12.53;;54.43;0.34
01/01/20 09:00;Barletta - Casardi;;35;28;1.11;13.49;11.79;;54.99;0.34
01/01/20 10:00;Barletta - Casardi;;35;28;2.29;17.24;13.73;;51.54;0.41
01/01/20 11:00;Barletta - Casardi;;35;28;3.50;20.53;15.17;;47.85;0.55
01/01/20 12:00;Barletta - Casardi;;35;28;3.87;22.54;16.60;;48.81;0.59
01/01/20 13:00;Barletta - Casardi;;35;28;3.31;22.22;17.14;;53.47;0.53
01/01/20 14:00;Barletta - Casardi;;35;28;3.29;22.22;17.17;;56.00;0.52
01/01/20 15:00;Barletta - Casardi;;35;28;1.36;14.73;12.65;;62.92;0.45
01/01/20 16:00;Barletta - Casardi;;35;28;0.59;9.49;8.58;;74.20;0.31
01/01/20 17:00;Barletta - Casardi;;35;28;0.30;7.81;7.33;;75.26;0.20
01/01/20 18:00;Barletta - Casardi;;35;28;0.59;13.18;12.28;;71.93;0.22
01/01/20 19:00;Barletta - Casardi;;35;28;0.74;14.89;13.75;;69.87;0.24
01/01/20 20:00;Barletta - Casardi;;35;28;1.56;30.00;27.61;;45.74;0.30
01/01/20 21:00;Barletta - Casardi;;35;28;2.80;38.39;34.09;;32.76;0.62
01/01/20 22:00;Barletta - Casardi;;35;28;2.46;36.40;32.63;;35.70;0.50
01/01/20 23:00;Barletta - Casardi;;35;28;1.90;30.32;27.41;;36.89;0.49
02/01/20 00:00;Barletta - Casardi;;35;28;1.48;24.73;22.46;;40.43;0.41
02/01/20 01:00;Barletta - Casardi;;30;20;0.82;18.45;17.19;;41.39;0.38
02/01/20 02:00;Barletta - Casardi;;30;20;0.76;14.04;12.87;;42.05;0.46
02/01/20 03:00;Barletta - Casardi;;30;20;;;;;42.15;0.48
02/01/20 04:00;Barletta - Casardi;;30;20;0.69;15.12;14.06;;39.06;0.58
