ts;station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Brindisi - Cappuccini;0.32;;;;15.86;11.46;;;;3.02
01/01/20 02:00;Brindisi - Cappuccini;0.30;20.29;;;16.58;12.09;;;;3.17
01/01/20 03:00;Brindisi - Cappuccini;0.26;;;;10.64;8.68;;;;2.98
01/01/20 04:00;Brindisi - Cappuccini;0.25;18.58;;;8.10;7.16;;;;2.92
01/01/20 05:00;Brindisi - Cappuccini;0.23;;;;7.79;7.03;;;;2.99
01/01/20 06:00;Brindisi - Cappuccini;0.26;19.80;;;8.22;6.92;;;;2.97
01/01/20 07:00;Brindisi - Cappuccini;0.26;;;;9.16;7.37;;;;2.98
01/01/20 08:00;Brindisi - Cappuccini;0.24;17.84;;;7.98;6.77;;;;2.84
01/01/20 09:00;Brindisi - Cappuccini;0.22;;;;6.20;5.37;;;;2.99
01/01/20 10:00;Brindisi - Cappuccini;0.17;23.96;;;5.52;4.06;;;;3.08
01/01/20 11:00;Brindisi - Cappuccini;0.19;;;;8.21;6.21;;;;3.10
01/01/20 12:00;Brindisi - Cappuccini;0.23;14.18;;;9.49;6.23;;;;2.91
01/01/20 13:00;Brindisi - Cappuccini;0.27;;;;11.27;7.51;;;;3.09
01/01/20 14:00;Brindisi - Cappuccini;0.24;8.31;;;8.12;5.64;;;;2.90
01/01/20 15:00;Brindisi - Cappuccini;0.21;;;;5.14;4.31;;;;2.99
01/01/20 16:00;Brindisi - Cappuccini;0.19;6.84;;;4.96;4.39;;;;2.92
01/01/20 17:00;Brindisi - Cappuccini;0.20;;;;6.26;5.58;;;;2.94
01/01/20 18:00;Brindisi - Cappuccini;0.23;5.87;;;7.70;6.15;;;;2.88
01/01/20 19:00;Brindisi - Cappuccini;0.25;;;;8.72;7.28;;;;2.87
01/01/20 20:00;Brindisi - Cappuccini;0.24;14.42;;;14.02;11.32;;;;3.06
01/01/20 21:00;Brindisi - Cappuccini;0.26;;;;12.63;10.39;;;;3.05
01/01/20 22:00;Brindisi - Cappuccini;0.24;14.18;;;12.49;10.54;;;;3.03
01/01/20 23:00;Brindisi - Cappuccini;0.26;;;;12.00;9.93;;;;2.82
01/02/20 00:00;Brindisi - Cappuccini;0.23;21.76;;;8.38;7.46;;;;2.92
01/02/20 01:00;Brindisi - Cappuccini;0.21;;;;6.53;5.80;;;;2.92
01/02/20 02:00;Brindisi - Cappuccini;0.19;14.18;;;;;;;;2.92
01/02/20 03:00;Brindisi - Cappuccini;0.22;;;;5.26;4.67;;;;3.07
01/02/20 04:00;Brindisi - Cappuccini;0.19;16.87;;;;;;;;
01/02/20 05:00;Brindisi - Cappuccini;0.20;;;;5.12;4.67;;;;2.88
01/02/20 06:00;Brindisi - Cappuccini;0.20;21.51;;;7.44;6.59;;;;2.80
01/02/20 07:00;Brindisi - Cappuccini;0.20;;;;8.72;6.65;;;;2.92
01/02/20 08:00;Brindisi - Cappuccini;0.24;11.73;;;16.36;11.42;;;;2.90
01/02/20 09:00;Brindisi - Cappuccini;0.25;;;;16.99;12.21;;;;3.00
