ts;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Brindisi - Casale;;19;;;8.12;6.65;;55.3;;
01/01/20 02:00;Brindisi - Casale;;19;;;5.29;4.86;;60.66;;
01/01/20 03:00;Brindisi - Casale;;19;;;4.65;4.59;;62.71;;
01/01/20 04:00;Brindisi - Casale;;19;;;4.06;3.87;;66.35;;
01/01/20 05:00;Brindisi - Casale;;19;;;;;;66.53;;
01/01/20 06:00;Brindisi - Casale;;19;;;4.33;4.12;;64.53;;
01/01/20 07:00;Brindisi - Casale;;19;;;4.35;4.04;;63.7;;
01/01/20 08:00;Brindisi - Casale;;19;;;4;3.68;;64.26;;
01/01/20 09:00;Brindisi - Casale;;19;;;2.87;2.37;;67.83;;
01/01/20 10:00;Brindisi - Casale;;19;;;1.62;1.16;;77.33;;
01/01/20 11:00;Brindisi - Casale;;19;;;3.42;2.56;;74.87;;
01/01/20 12:00;Brindisi - Casale;;19;;;2.24;1.75;;75.93;;
01/01/20 13:00;Brindisi - Casale;;19;;;2.31;1.74;;77.39;;
01/01/20 14:00;Brindisi - Casale;;19;;;2.75;2.04;;79.06;;
01/01/20 15:00;Brindisi - Casale;;19;;;2.65;2.07;;79.4;;
01/01/20 16:00;Brindisi - Casale;;19;;;3.28;2.77;;79;;
01/01/20 17:00;Brindisi - Casale;;19;;;3.18;2.79;;79.97;;
01/01/20 18:00;Brindisi - Casale;;19;;;1.09;1.52;;80.85;;
01/01/20 19:00;Brindisi - Casale;;19;;;3.04;2.07;;80.15;;
01/01/20 20:00;Brindisi - Casale;;19;;;3.54;3.05;;80.19;;
01/01/20 21:00;Brindisi - Casale;;19;;;3.12;2.39;;77.29;;
01/01/20 22:00;Brindisi - Casale;;19;;;2.24;1.86;;76.72;;
01/01/20 23:00;Brindisi - Casale;;19;;;1.68;1.48;;76.56;;
02/01/20 00:00;Brindisi - Casale;;19;;;1.93;1.59;;77.31;;
02/01/20 01:00;Brindisi - Casale;;15.01;;;1.34;1.06;;77.25;;
02/01/20 02:00;Brindisi - Casale;;15.01;;;1.26;1.09;;77.13;;
02/01/20 03:00;Brindisi - Casale;;15.01;;;;;;76.4;;
02/01/20 04:00;Brindisi - Casale;;15.01;;;1.62;1.55;;;;
02/01/20 05:00;Brindisi - Casale;;15.01;;;1.74;1.61;;74.69;;
02/01/20 06:00;Brindisi - Casale;;15.01;;;2.05;1.79;;74.63;;
02/01/20 07:00;Brindisi - Casale;;15.01;;;3.04;3;;75.08;;
