NetC;Bari-Barletta;;;;;;
Stat;Via Casardi;;;;;;
Parm;PM10;PM2.5;NOx;NO;NO2;O3;BENZENE
PtId;10;11;1,00;2,00;3,00;4,00;20,00
Unit;ug/m3;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3 293K
Field;Aver;Aver;Aver;Aver;Aver;Aver;Aver
01/01/20 01:00;35;28;50,51;9,75;35,57;30,01;0,71
01/01/20 02:00;35;28;27,66;1,37;25,56;42,03;0,77
01/01/20 03:00;35;28;28,31;1,25;26,38;43,75;0,59
01/01/20 04:00;35;28;19,88;0,65;18,88;49,51;0,49
01/01/20 05:00;35;28;11,03;0,46;10,33;57,20;0,39
01/01/20 06:00;35;28;11,25;0,58;10,35;56,17;0,32
01/01/20 07:00;35;28;12,44;0,45;11,75;54,73;0,33
01/01/20 08:00;35;28;13,40;0,58;12,53;54,43;0,34
01/01/20 09:00;35;28;13,49;1,11;11,79;54,99;0,34
01/01/20 10:00;35;28;17,24;2,29;13,73;51,54;0,41
01/01/20 11:00;35;28;20,53;3,50;15,17;47,85;0,55
01/01/20 12:00;35;28;22,54;3,87;16,60;48,81;0,59
01/01/20 13:00;35;28;22,22;3,31;17,14;53,47;0,53
01/01/20 14:00;35;28;22,22;3,29;17,17;56,00;0,52
01/01/20 15:00;35;28;14,73;1,36;12,65;62,92;0,45
01/01/20 16:00;35;28;9,49;0,59;8,58;74,20;0,31
01/01/20 17:00;35;28;7,81;0,30;7,33;75,26;0,20
01/01/20 18:00;35;28;13,18;0,59;12,28;71,93;0,22
01/01/20 19:00;35;28;14,89;0,74;13,75;69,87;0,24
01/01/20 20:00;35;28;30,00;1,56;27,61;45,74;0,30
01/01/20 21:00;35;28;38,39;2,80;34,09;32,76;0,62
01/01/20 22:00;35;28;36,40;2,46;32,63;35,70;0,50
01/01/20 23:00;35;28;30,32;1,90;27,41;36,89;0,49
02/01/20 00:00;35;28;24,73;1,48;22,46;40,43;0,41
02/01/20 01:00;30;20;18,45;0,82;17,19;41,39;0,38
02/01/20 02:00;30;20;14,04;0,76;12,87;42,05;0,46
02/01/20 03:00;30;20;;;;42,15;0,48
02/01/20 04:00;30;20;15,12;0,69;14,06;39,06;0,58
02/01/20 05:00;30;20;11,61;0,50;10,85;;0,56
02/01/20 06:00;30;20;18,10;1,14;16,36;34,50;0,56
02/01/20 07:00;30;20;27,29;1,85;24,46;25,63;0,72
02/01/20 08:00;30;20;35,18;3,60;29,67;20,91;0,76
02/01/20 09:00;30;20;48,53;9,81;33,49;20,26;0,90
02/01/20 10:00;30;20;49,26;12,16;30,61;25,24;1,35
02/01/20 11:00;30;20;39,90;8,64;26,65;35,58;0,97
02/01/20 12:00;30;20;31,77;5,88;22,76;49,58;0,81
02/01/20 13:00;30;20;21,52;3,12;16,73;63,41;0,57
02/01/20 14:00;30;20;19,56;2,50;15,71;67,12;0,49
02/01/20 15:00;30;20;16,57;1,75;13,89;67,86;0,44
02/01/20 16:00;30;20;32,32;2,60;28,33;54,48;0,32
02/01/20 17:00;30;20;113,06;25,34;74,20;10,41;0,62
02/01/20 18:00;30;20;168,87;52,40;88,52;4,26;1,50
02/01/20 19:00;30;20;96,93;20,53;65,44;7,25;1,38
02/01/20 20:00;30;20;79,52;14,07;57,94;9,63;1,08
02/01/20 21:00;30;20;70,20;10,56;54,00;11,78;0,93
02/01/20 22:00;30;20;49,65;4,72;42,43;21,82;0,85
02/01/20 23:00;30;20;32,21;1,98;29,18;33,82;0,72
03/01/20 00:00;30;20;24,48;1,20;22,63;38,80;0,60
03/01/20 01:00;26;20;17,17;0,89;15,82;46,37;0,56
03/01/20 02:00;26;20;12,80;0,47;12,06;49,79;0,45
03/01/20 03:00;26;20;10,64;0,45;9,95;51,37;0,41
03/01/20 04:00;26;20;13,54;0,51;12,75;47,47;0,42
03/01/20 05:00;26;20;11,96;0,43;11,32;48,76;0,38
03/01/20 06:00;26;20;16,95;0,57;16,08;45,55;0,46
03/01/20 07:00;26;20;34,27;1,86;31,42;30,91;0,43
03/01/20 08:00;26;20;50,58;4,38;43,86;19,65;0,70
03/01/20 09:00;26;20;84,39;20,10;53,57;16,19;1,17
03/01/20 10:00;26;20;66,76;15,33;43,25;29,04;2,37
03/01/20 11:00;26;20;32,52;5,77;23,67;46,39;1,14
03/01/20 12:00;26;20;36,61;7,33;25,36;44,38;0,89
03/01/20 13:00;26;20;31,56;5,64;22,91;50,29;0,84
03/01/20 14:00;26;20;33,71;4,98;26,07;55,26;0,69
03/01/20 15:00;26;20;29,84;3,33;24,74;56,50;0,64
03/01/20 16:00;26;20;33,37;2,35;29,76;50,80;0,67
03/01/20 17:00;26;20;51,49;2,39;47,83;31,97;0,74
03/01/20 18:00;26;20;84,82;9,37;70,45;14,03;0,92
03/01/20 19:00;26;20;70,46;6,83;59,99;18,94;1,11
03/01/20 20:00;26;20;73,36;8,09;60,94;18,85;0,92
