NetC;;;Brindisi;;;;
Stat;;;Via Cappuccini;;;;
Parm;SO2;NO2;NOX;CO;PM10;;
;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3;;
;;;;;;;
;;;;;;;
01/01/20 01:00;3,02;11,46;15,86;0,32;;;
01/01/20 02:00;3,17;12,09;16,58;0,30;20,29;;
01/01/20 03:00;2,98;8,68;10,64;0,26;;;
01/01/20 04:00;2,92;7,16;8,10;0,25;18,58;;
01/01/20 05:00;2,99;7,03;7,79;0,23;;;
01/01/20 06:00;2,97;6,92;8,22;0,26;19,80;;
01/01/20 07:00;2,98;7,37;9,16;0,26;;;
01/01/20 08:00;2,84;6,77;7,98;0,24;17,84;;
01/01/20 09:00;2,99;5,37;6,20;0,22;;;
01/01/20 10:00;3,08;4,06;5,52;0,17;23,96;;
01/01/20 11:00;3,10;6,21;8,21;0,19;;;
01/01/20 12:00;2,91;6,23;9,49;0,23;14,18;;
01/01/20 13:00;3,09;7,51;11,27;0,27;;;
01/01/20 14:00;2,90;5,64;8,12;0,24;8,31;;
01/01/20 15:00;2,99;4,31;5,14;0,21;;;
01/01/20 16:00;2,92;4,39;4,96;0,19;6,84;;
01/01/20 17:00;2,94;5,58;6,26;0,20;;;
01/01/20 18:00;2,88;6,15;7,70;0,23;5,87;;
01/01/20 19:00;2,87;7,28;8,72;0,25;;;
01/01/20 20:00;3,06;11,32;14,02;0,24;14,42;;
01/01/20 21:00;3,05;10,39;12,63;0,26;;;
01/01/20 22:00;3,03;10,54;12,49;0,24;14,18;;
01/01/20 23:00;2,82;9,93;12,00;0,26;;;
01/02/20 00:00;2,92;7,46;8,38;0,23;21,76;;
01/02/20 01:00;2,92;5,80;6,53;0,21;;;
01/02/20 02:00;2,92;;;0,19;14,18;;
01/02/20 03:00;3,07;4,67;5,26;0,22;;;
01/02/20 04:00;;;;0,19;16,87;;
01/02/20 05:00;2,88;4,67;5,12;0,20;;;
01/02/20 06:00;2,80;6,59;7,44;0,20;21,51;;
01/02/20 07:00;2,92;6,65;8,72;0,20;;;
01/02/20 08:00;2,90;11,42;16,36;0,24;11,73;;
01/02/20 09:00;3,00;12,21;16,99;0,25;;;
01/02/20 10:00;3,09;10,63;17,49;0,26;12,22;;
01/02/20 11:00;3,08;8,02;12,74;0,25;;;
01/02/20 12:00;3,00;8,99;14,16;0,24;19,80;;
01/02/20 13:00;3,04;6,27;9,82;0,24;;;
01/02/20 14:00;2,92;5,95;8,66;0,23;15,64;;
01/02/20 15:00;3,11;6,41;8,27;0,23;;;
01/02/20 16:00;2,91;8,68;10,68;0,23;18,09;;
01/02/20 17:00;2,91;13,82;18,31;0,29;;;
01/02/20 18:00;2,91;24,22;34,60;0,31;12,96;;
01/02/20 19:00;2,83;16,58;23,23;0,24;;;
