NetC;;Brindisi;;;;
Stat;;P.zza San Giusto Casale;;;;
Parm;NO2;NOX;O3;PM10;BENZENE;PM2.5
;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;
;;;;;;
01/01/20 01:00;6,65;8,12;55,3;19;;
01/01/20 02:00;4,86;5,29;60,66;19;;
01/01/20 03:00;4,59;4,65;62,71;19;;
01/01/20 04:00;3,87;4,06;66,35;19;;
01/01/20 05:00;;;66,53;19;;
01/01/20 06:00;4,12;4,33;64,53;19;;
01/01/20 07:00;4,04;4,35;63,7;19;;
01/01/20 08:00;3,68;4;64,26;19;;
01/01/20 09:00;2,37;2,87;67,83;19;;
01/01/20 10:00;1,16;1,62;77,33;19;;
01/01/20 11:00;2,56;3,42;74,87;19;;
01/01/20 12:00;1,75;2,24;75,93;19;;
01/01/20 13:00;1,74;2,31;77,39;19;;
01/01/20 14:00;2,04;2,75;79,06;19;;
01/01/20 15:00;2,07;2,65;79,4;19;;
01/01/20 16:00;2,77;3,28;79;19;;
01/01/20 17:00;2,79;3,18;79,97;19;;
01/01/20 18:00;1,52;1,9;80,85;19;;
01/01/20 19:00;2,7;3,04;80,15;19;;
01/01/20 20:00;3,05;3,54;80,19;19;;
01/01/20 21:00;2,39;3,12;77,29;19;;
01/01/20 22:00;1,86;2,24;76,72;19;;
01/01/20 23:00;1,48;1,68;76,56;19;;
02/01/20 00:00;1,59;1,93;77,31;19;;
02/01/20 01:00;1,06;1,34;77,25;15,1;;
02/01/20 02:00;1,09;1,26;77,13;15,1;;
02/01/20 03:00;;;76,4;15,1;;
02/01/20 04:00;1,55;1,62;;15,1;;
02/01/20 05:00;1,61;1,74;74,69;15,1;;
02/01/20 06:00;1,79;2,05;74,63;15,1;;
02/01/20 07:00;3;3,4;75,08;15,1;;
02/01/20 08:00;2,32;3,12;74,41;15,1;;
02/01/20 09:00;2,74;3,55;74,56;15,1;;
02/01/20 10:00;6,54;9,2;70,74;15,1;;
02/01/20 11:00;4,05;5,82;73,42;15,1;;
02/01/20 12:00;3,61;5,03;74,19;15,1;;
02/01/20 13:00;2,53;3,33;76,12;15,1;;
02/01/20 14:00;2,73;3,61;77,61;15,1;;
02/01/20 15:00;2,33;2,94;77,58;15,1;;
02/01/20 16:00;3,33;4,23;75,92;15,1;;
02/01/20 17:00;3,88;4,49;73,34;15,1;;
02/01/20 18:00;7,28;7,74;70,67;15,1;;
02/01/20 19:00;4,65;4,9;77,84;15,1;;
02/01/20 20:00;5,32;5,62;78,76;15,1;;
02/01/20 21:00;3,36;3,61;80,25;15,1;;
02/01/20 22:00;2,35;2,65;82;15,1;;
02/01/20 23:00;1,12;1,15;82,31;15,1;;
03/01/20 00:00;5,95;6,17;66,31;15,1;;
03/01/20 01:00;8,71;9,03;53,11;;;
03/01/20 02:00;6,56;6,72;56,34;;;
03/01/20 03:00;5,37;5,64;56,8;;;
03/01/20 04:00;3,83;3,99;62,43;;;
03/01/20 05:00;3,49;3,71;62,86;;;
03/01/20 06:00;4,83;5,06;57,26;;;
03/01/20 07:00;8,01;8,79;53,17;;;
03/01/20 08:00;9,21;10,7;50,99;;;
03/01/20 09:00;8,01;9,18;55,1;;;
03/01/20 10:00;7,92;10,14;57,96;;;
03/01/20 11:00;6,81;8,27;63,03;;;
03/01/20 12:00;8,48;10,95;63,59;;;
03/01/20 13:00;9,21;11,6;66,18;;;
03/01/20 14:00;5,49;6,27;72,12;;;
03/01/20 15:00;4,13;4,48;73,74;;;
03/01/20 16:00;4,7;6,27;72,03;;;
03/01/20 17:00;11,47;30,33;70,59;;;
03/01/20 18:00;4,68;4,99;77,05;;;
03/01/20 19:00;7,47;8,13;69,41;;;
03/01/20 20:00;13,43;14,59;55,38;;;
03/01/20 21:00;11,04;11,79;57,88;;;
03/01/20 22:00;9,8;10,37;59,58;;;
03/01/20 23:00;6,33;6,54;67,51;;;
04/01/20 00:00;14,77;15,69;44,11;;;
