NetC;Brindisi;;;;
Stat;Torchiarolo-Via Fanin;;;;
Parm;SO2;NO2;NOX;PM10;PM2.5
;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;ug/m3
;;;;;
;;;;;
01/01/20 01:00;1,78;9,90;11,90;;15,28
01/01/20 02:00;1,32;7,35;8,70;18,56;17,43
01/01/20 03:00;1,77;5,86;6,99;;13,73
01/01/20 04:00;1,76;5,46;6,42;24,91;11,41
01/01/20 05:00;1,17;5,51;6,76;;13,08
01/01/20 06:00;1,47;6,25;7,35;20,27;13,87
01/01/20 07:00;2,04;4,94;5,30;;13,15
01/01/20 08:00;1,86;4,67;5,84;17,83;11,41
01/01/20 09:00;1,91;4,97;6,37;;8,85
01/01/20 10:00;2,21;4,01;5,63;15,63;8,78
01/01/20 11:00;3,08;2,09;3,57;;7,32
01/01/20 12:00;3,34;1,81;3,13;12,21;3,95
01/01/20 13:00;2,70;1,91;2,90;;10,74
01/01/20 14:00;4,20;1,65;2,80;12,21;10,36
01/01/20 15:00;4,43;1,23;2,16;;6,68
01/01/20 16:00;4,24;1,20;2,46;15,14;5,63
01/01/20 17:00;4,30;1,85;2,58;;5,30
01/01/20 18:00;3,76;2,95;4,37;11,97;6,47
01/01/20 19:00;3,65;3,30;4,73;;10,15
01/01/20 20:00;3,82;2,60;3,44;15,38;9,35
01/01/20 21:00;3,61;2,29;3,44;;7,23
01/01/20 22:00;3,28;2,05;2,95;15,14;8,59
01/01/20 23:00;3,34;1,98;2,97;;9,69
01/02/20 00:00;2,61;2,16;3,38;11,97;8,76
01/02/20 01:00;;2,16;3,19;;8,29
01/02/20 02:00;1,85;1,62;2,48;15,63;6,20
01/02/20 03:00;2,80;;;;8,14
01/02/20 04:00;2,87;1,91;2,64;19,29;9,53
01/02/20 05:00;3,07;2,25;3,15;;8,66
01/02/20 06:00;2,82;1,76;2,36;19,05;9,27
01/02/20 07:00;2,87;2,40;3,22;;8,35
01/02/20 08:00;3,11;1,56;2,52;16,36;8,27
01/02/20 09:00;2,78;2,49;3,82;;9,81
01/02/20 10:00;2,64;2,26;3,68;17,83;9,78
01/02/20 11:00;2,45;2,29;3,56;;6,85
01/02/20 12:00;2,74;1,44;2,32;21,49;8,22
01/02/20 13:00;2,66;1,76;3,00;;8,03
01/02/20 14:00;3,24;1,41;2,56;15,38;6,17
01/02/20 15:00;3,23;1,70;3,02;;6,99
01/02/20 16:00;2,67;2,28;3,96;14,90;7,86
01/02/20 17:00;2,39;9,21;12,48;;13,11
01/02/20 18:00;1,76;11,82;15,19;14,16;13,34
01/02/20 19:00;1,23;11,97;14,26;;8,76
01/02/20 20:00;1,45;37,95;41,58;18,56;9,53
01/02/20 21:00;1,23;21,70;24,28;;11,54
01/02/20 22:00;1,69;12,25;14,41;17,58;8,84
01/02/20 23:00;1,85;9,45;11,77;;15,40
01/03/20 00:00;2,30;6,42;7,77;9,77;6,29
01/03/20 01:00;1,76;17,23;19,13;;2,89
01/03/20 02:00;1,30;12,50;14,14;10,99;5,33
01/03/20 03:00;1,64;10,92;12,97;;7,06
01/03/20 04:00;1,76;8,89;10,51;14,41;8,28
01/03/20 05:00;1,77;10,51;12,35;;11,87
01/03/20 06:00;1,56;7,61;8,81;13,92;10,85
01/03/20 07:00;1,52;8,44;9,60;;9,07
01/03/20 08:00;1,95;12,77;14,19;11,48;8,05
01/03/20 09:00;1,76;14,64;17,81;;8,68
01/03/20 10:00;1,65;11,35;14,84;7,33;15,57
01/03/20 11:00;1,82;7,95;10,75;;14,30
01/03/20 12:00;1,53;7,25;9,97;13,43;14,50
01/03/20 13:00;1,85;8,23;10,65;;13,96
01/03/20 14:00;2,12;7,67;9,95;16,85;12,74
01/03/20 15:00;2,14;5,96;7,57;;12,75
01/03/20 16:00;2,27;8,17;9,98;19,05;10,73
01/03/20 17:00;2,11;11,27;13,51;;11,83
01/03/20 18:00;2,09;14,41;16,73;18,56;15,06
01/03/20 19:00;1,35;10,81;13,62;;16,79
01/03/20 20:00;0,99;21,98;25,08;17,34;22,08
01/03/20 21:00;2,16;27,85;31,46;;20,56
01/03/20 22:00;1,85;29,02;33,29;21,98;21,18
01/03/20 23:00;0,79;31,99;37,28;;25,25
01/04/20 00:00;1,60;27,83;33,29;27,35;41,05
01/04/20 01:00;;20,75;24,83;;40,69
01/04/20 02:00;1,60;15,96;19,08;31,26;30,43
01/04/20 03:00;2,00;;;;26,01
01/04/20 04:00;2,10;12,42;14,41;35,65;19,83
01/04/20 05:00;2,79;19,61;22,56;;22,91
01/04/20 06:00;2,08;21,73;25,19;24,42;22,69
01/04/20 07:00;2,15;18,04;20,61;;22,15
01/04/20 08:00;2,18;29,25;35,32;27,84;24,33
01/04/20 09:00;2,42;20,11;24,89;;26,14
01/04/20 10:00;2,79;13,84;17,55;28,33;28,06
01/04/20 11:00;2,46;10,57;13,52;;22,37
01/04/20 12:00;2,80;7,66;9,78;27,11;20,10
01/04/20 13:00;0,82;6,23;8,42;;15,35
01/04/20 14:00;1,75;6,07;7,68;20,27;15,74
01/04/20 15:00;3,01;7,66;9,44;;14,87
01/04/20 16:00;2,62;10,14;12,13;11,23;13,98
01/04/20 17:00;2,78;11,94;13,42;;13,46
01/04/20 18:00;2,71;22,84;25,33;18,56;11,51
01/04/20 19:00;2,76;23,23;25,86;;15,24
01/04/20 20:00;2,71;20,41;22,92;17,58;21,15
01/04/20 21:00;2,83;19,88;22,24;;22,95
01/04/20 22:00;3,08;15,58;17,69;20,27;23,57
01/04/20 23:00;2,96;16,07;18,49;;24,28
01/05/20 00:00;3,55;12,52;14,27;28,33;23,86
01/05/20 01:00;3,44;10,21;11,77;;16,76
01/05/20 02:00;3,23;9,36;11,23;18,80;11,61
01/05/20 03:00;3,31;6,56;7,60;;8,85
01/05/20 04:00;3,30;7,04;8,36;16,36;7,13
01/05/20 05:00;3,70;7,67;8,95;;10,44
01/05/20 06:00;4,07;8,04;9,57;21,98;12,64
01/05/20 07:00;4,06;3,12;3,87;;11,00
01/05/20 08:00;4,46;5,01;6,49;11,72;14,13
01/05/20 09:00;5,47;3,72;5,02;;14,53
01/05/20 10:00;5,26;1,85;3,18;15,87;9,37
01/05/20 11:00;5,41;2,34;4,11;;3,88
01/05/20 12:00;6,25;3,04;4,89;8,79;3,21
01/05/20 13:00;6,44;3,51;5,42;;4,91
01/05/20 14:00;3,74;1,61;3,23;5,37;13,53
01/05/20 15:00;3,27;1,24;2,23;;13,74
01/05/20 16:00;2,91;;;10,26;17,28
01/05/20 17:00;5,76;3,72;4,76;;6,52
01/05/20 18:00;4,27;2,66;3,82;16,36;6,52
01/05/20 19:00;3,84;1,25;2,27;;10,78
01/05/20 20:00;3,68;;;11,23;7,41
01/05/20 21:00;3,55;;;;4,89
01/05/20 22:00;3,50;;;8,79;7,88
01/05/20 23:00;4,02;;;;24,30
01/06/20 00:00;4,31;;;11,72;13,21
01/06/20 01:00;;1,08;2,10;;13,86
01/06/20 02:00;3,26;;;10,74;15,99
01/06/20 03:00;2,42;;;;15,95
01/06/20 04:00;2,44;;;12,70;11,00
01/06/20 05:00;2,22;;;;7,47
01/06/20 06:00;2,12;;;12,94;4,85
01/06/20 07:00;2,37;;;;2,64
01/06/20 08:00;2,08;;;10,26;2,97
01/06/20 09:00;2,33;;;;3,16
01/06/20 10:00;1,72;;;14,16;2,45
01/06/20 11:00;2,22;;;;3,59
01/06/20 12:00;2,07;;;7,81;5,21
01/06/20 13:00;1,93;;;;4,95
01/06/20 14:00;2,48;;;9,52;3,97
01/06/20 15:00;2,82;;;;4,08
