NetC;Brindisi;;;;;
Stat;Lendinuso;;;;;
Parm;SO2;NO2;NOX;PM10;;
;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;;
;;;;;;
;;;;;;
01/01/20 01:00;2,03;5,99;7,46;;;
01/01/20 02:00;1,88;6,09;7,85;18,31;;
01/01/20 03:00;1,96;5,80;7,39;;;
01/01/20 04:00;2,93;7,10;8,57;16,85;;
01/01/20 05:00;3,04;5,65;7,07;;;
01/01/20 06:00;2,91;5,73;7,25;18,80;;
01/01/20 07:00;2,53;4,10;5,62;;;
01/01/20 08:00;2,77;4,28;5,82;12,94;;
01/01/20 09:00;3,61;5,47;7,57;;;
01/01/20 10:00;2,35;3,39;4,98;21,73;;
01/01/20 11:00;2,97;2,55;4,33;;;
01/01/20 12:00;3,31;2,88;4,58;11,96;;
01/01/20 13:00;3,70;2,94;4,76;;;
01/01/20 14:00;3,89;2,50;4,37;6,84;;
01/01/20 15:00;2,46;2,24;3,99;;;
01/01/20 16:00;3,61;2,38;3,83;11,47;;
01/01/20 17:00;3,72;2,34;3,61;;;
01/01/20 18:00;3,99;2,34;3,80;13,43;;
01/01/20 19:00;3,64;3,05;4,65;;;
01/01/20 20:00;3,34;2,68;4,22;21,00;;
01/01/20 21:00;3,07;2,50;4,11;;;
01/01/20 22:00;3,09;2,21;3,75;20,51;;
01/01/20 23:00;0,43;2,26;3,84;;;
02/01/20 00:00;0,32;2,30;3,84;17,33;;
02/01/20 01:00;2,64;;;;;
02/01/20 02:00;;2,56;3,94;25,88;;
02/01/20 03:00;3,56;3,54;5,12;;;
02/01/20 04:00;3,75;3,20;4,94;26,37;;
02/01/20 05:00;3,42;3,48;5,15;;;
02/01/20 06:00;3,59;3,28;4,97;20,75;;
02/01/20 07:00;2,59;3,18;4,73;;;
02/01/20 08:00;3,21;3,16;5,03;229,98;;
02/01/20 09:00;3,26;2,89;4,50;;;
02/01/20 10:00;3,15;2,64;4,41;254,40;;
02/01/20 11:00;3,37;2,45;4,34;;;
02/01/20 12:00;3,78;2,86;4,46;219,24;;
02/01/20 13:00;3,76;2,36;4,18;;;
02/01/20 14:00;3,42;2,81;4,71;220,95;;
02/01/20 15:00;3,21;2,92;4,75;;;
02/01/20 16:00;2,92;3,18;4,88;216,80;;
02/01/20 17:00;3,06;3,38;5,02;;;
02/01/20 18:00;2,80;3,58;5,22;330,57;;
02/01/20 19:00;2,74;3,16;5,00;;;
02/01/20 20:00;4,25;3,34;5,08;299,32;;
02/01/20 21:00;3,47;2,83;4,41;;;
02/01/20 22:00;2,44;2,41;3,96;150,15;;
02/01/20 23:00;2,87;1,90;3,59;;;
03/01/20 00:00;2,79;2,95;4,49;174,07;;
03/01/20 01:00;2,51;7,62;9,31;;;
03/01/20 02:00;2,41;7,57;9,41;111,33;;
03/01/20 03:00;2,38;6,49;8,45;;;
03/01/20 04:00;2,55;7,23;9,01;228,27;;
03/01/20 05:00;2,53;4,18;5,93;;;
03/01/20 06:00;2,26;4,29;6,01;261,48;;
03/01/20 07:00;2,14;5,17;6,83;;;
03/01/20 08:00;2,18;6,06;7,74;137,70;;
03/01/20 09:00;2,57;7,37;9,85;;;
03/01/20 10:00;2,43;8,92;12,61;79,83;;
03/01/20 11:00;2,49;9,81;14,14;;;
03/01/20 12:00;3,46;8,94;12,69;46,14;;
03/01/20 13:00;3,63;9,05;12,19;;;
03/01/20 14:00;4,32;8,99;11,73;29,30;;
03/01/20 15:00;3,63;6,93;9,14;;;
03/01/20 16:00;3,16;6,29;7,93;25,39;;
03/01/20 17:00;3,22;8,76;10,69;;;
03/01/20 18:00;2,98;9,32;10,93;18,55;;
03/01/20 19:00;2,87;6,65;8,35;;;
03/01/20 20:00;2,58;10,62;12,49;25,88;;
03/01/20 21:00;2,58;13,42;15,36;;;
03/01/20 22:00;2,28;14,64;16,56;21,97;;
03/01/20 23:00;2,17;11,51;13,89;;;
04/01/20 00:00;2,09;9,31;11,67;22,95;;
04/01/20 01:00;1,80;;;;;
04/01/20 02:00;;8,44;10,38;31,25;;
04/01/20 03:00;2,07;7,56;9,45;;;
04/01/20 04:00;2,26;8,26;10,36;28,56;;
04/01/20 05:00;2,54;7,28;9,26;;;
04/01/20 06:00;2,30;6,58;8,26;29,30;;
04/01/20 07:00;2,22;7,91;9,97;;;
04/01/20 08:00;2,09;13,26;18,63;24,66;;
04/01/20 09:00;2,43;11,14;15,63;;;
04/01/20 10:00;2,71;9,21;12,85;30,52;;
04/01/20 11:00;2,09;8,61;11,83;;;
04/01/20 12:00;2,38;8,17;11,38;27,34;;
04/01/20 13:00;2,81;7,65;10,57;;;
04/01/20 14:00;2,72;7,44;10,02;13,43;;
04/01/20 15:00;2,26;8,46;11,00;;;
04/01/20 16:00;2,94;9,16;11,27;12,21;;
04/01/20 17:00;2,81;9,25;11,00;;;
04/01/20 18:00;2,30;12,20;14,10;18,07;;
04/01/20 19:00;2,21;11,63;13,60;;;
04/01/20 20:00;2,11;11,70;13,91;15,14;;
04/01/20 21:00;2,47;10,42;12,49;;;
04/01/20 22:00;2,03;9,41;11,32;24,90;;
04/01/20 23:00;2,13;8,88;10,92;;;
05/01/20 00:00;2,29;7,03;8,93;29,30;;
05/01/20 01:00;2,41;4,42;6,06;;;
05/01/20 02:00;2,40;4,75;6,64;26,86;;
05/01/20 03:00;2,49;4,85;6,55;;;
05/01/20 04:00;2,18;5,72;7,62;14,65;;
05/01/20 05:00;2,73;7,09;8,89;;;
05/01/20 06:00;2,83;4,00;5,87;12,94;;
05/01/20 07:00;3,29;5,23;7,16;;;
05/01/20 08:00;3,65;4,92;6,91;14,16;;
05/01/20 09:00;4,11;3,97;5,93;;;
05/01/20 10:00;4,91;2,91;4,68;11,47;;
05/01/20 11:00;4,50;2,50;4,55;;;
05/01/20 12:00;4,28;2,67;4,48;6,59;;
05/01/20 13:00;4,13;2,54;4,42;;;
05/01/20 14:00;2,85;1,80;3,70;4,15;;
05/01/20 15:00;2,43;1,24;3,15;;;
05/01/20 16:00;1,92;1,59;3,29;16,11;;
05/01/20 17:00;3,62;3,49;5,68;;;
05/01/20 18:00;3,27;1,62;3,42;17,82;;
05/01/20 19:00;3,40;1,61;3,33;;;
05/01/20 20:00;3,76;1,55;3,42;24,66;;
05/01/20 21:00;3,67;1,59;3,40;;;
05/01/20 22:00;3,66;1,61;3,21;20,51;;
05/01/20 23:00;3,50;1,77;3,56;;;
06/01/20 00:00;3,71;1,80;3,60;25,88;;
06/01/20 01:00;3,54;;;;;
06/01/20 02:00;;1,72;3,62;24,17;;
06/01/20 03:00;2,76;1,34;3,09;;;
06/01/20 04:00;2,83;1,57;3,40;18,80;;
06/01/20 05:00;2,67;1,33;3,13;;;
06/01/20 06:00;2,50;1,50;3,43;20,02;;
06/01/20 07:00;2,33;1,53;3,36;;;
06/01/20 08:00;2,51;1,79;3,46;23,44;;
06/01/20 09:00;2,44;1,35;3,15;;;
06/01/20 10:00;2,32;1,42;3,04;16,11;;
06/01/20 11:00;2,52;1,27;3,15;;;
06/01/20 12:00;2,31;1,49;3,41;17,82;;
06/01/20 13:00;2,13;1,49;3,51;;;
06/01/20 14:00;2,81;1,46;3,17;23,68;;
06/01/20 15:00;2,93;1,78;3,58;;;
06/01/20 16:00;2,78;1,70;3,38;16,36;;
06/01/20 17:00;2,86;1,85;3,49;;;
06/01/20 18:00;3,01;1,73;3,71;9,77;;
06/01/20 19:00;2,61;1,76;3,40;;;
06/01/20 20:00;2,61;1,57;3,35;14,89;;
06/01/20 21:00;2,64;1,54;3,26;;;
06/01/20 22:00;2,50;1,62;3,41;18,07;;
06/01/20 23:00;2,32;1,54;3,32;;;
07/01/20 00:00;2,49;1,51;3,12;15,63;;
07/01/20 01:00;2,73;1,63;3,28;;;
07/01/20 02:00;2,71;1,84;3,52;22,22;;
07/01/20 03:00;3,05;1,71;3,68;;;
07/01/20 04:00;3,13;1,97;3,61;20,75;;
07/01/20 05:00;3,04;1,64;3,33;;;
07/01/20 06:00;2,93;1,74;3,50;14,16;;
07/01/20 07:00;2,66;2,76;4,61;;;
07/01/20 08:00;2,44;2,67;4,77;20,02;;
07/01/20 09:00;2,68;2,75;4,46;;;
07/01/20 10:00;2,28;2,95;5,22;14,16;;
07/01/20 11:00;2,54;2,49;4,43;;;
07/01/20 12:00;2,80;2,46;4,26;12,45;;
07/01/20 13:00;2,49;2,64;4,40;;;
07/01/20 14:00;2,25;2,52;4,40;18,31;;
07/01/20 15:00;2,14;2,78;4,78;;;
07/01/20 16:00;2,05;2,28;4,05;16,11;;
07/01/20 17:00;1,14;2,95;4,64;;;
07/01/20 18:00;2,51;3,28;5,45;11,72;;
07/01/20 19:00;2,64;3,34;5,01;;;
