NetC;;;Brindisi;;;;
Stat;;;Via Crati-Rione Perrino;;;;
Parm;SO2;NO2;NOX;CO;PM10;;
;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3;;
;;;;;;;
;;;;;;;
01/01/20 01:00;1,65;15,83;17,25;0,47;;;
01/01/20 02:00;1,44;14,60;16,06;0,45;21,73;;
01/01/20 03:00;1,58;12,17;13,88;0,44;;;
01/01/20 04:00;1,53;10,71;12,50;0,42;27,35;;
01/01/20 05:00;1,50;10,11;11,51;0,43;;;
01/01/20 06:00;1,34;11,44;12,52;0,42;29,79;;
01/01/20 07:00;1,43;10,13;11,30;0,43;;;
01/01/20 08:00;1,29;10,69;12,41;0,42;21,00;;
01/01/20 09:00;1,77;14,78;18,87;0,40;;;
01/01/20 10:00;1,72;9,64;12,39;0,33;25,64;;
01/01/20 11:00;1,67;12,00;16,33;0,35;;;
01/01/20 12:00;1,67;10,44;13,78;0,38;13,43;;
01/01/20 13:00;1,86;6,69;8,43;0,37;;;
01/01/20 14:00;1,91;5,80;7,66;0,38;13,68;;
01/01/20 15:00;1,80;4,24;5,24;0,38;;;
01/01/20 16:00;1,73;5,51;6,47;0,37;15,14;;
01/01/20 17:00;1,59;11,10;12,68;0,37;;;
01/01/20 18:00;1,67;16,47;19,16;0,42;9,04;;
01/01/20 19:00;1,64;15,82;18,12;0,36;;;
01/01/20 20:00;1,65;8,56;9,50;0,37;8,79;;
01/01/20 21:00;1,56;9,51;10,42;0,38;;;
01/01/20 22:00;1,52;11,22;12,19;0,38;11,97;;
01/01/20 23:00;1,79;17,94;19,52;0,38;;;
01/02/20 00:00;1,74;18,34;20,24;0,37;10,50;;
01/02/20 01:00;;17,31;19,09;0,37;;;
01/02/20 02:00;1,69;;;0,37;14,41;;
01/02/20 03:00;1,69;11,37;12,34;;;;
01/02/20 04:00;1,63;8,93;9,89;0,38;18,07;;
01/02/20 05:00;1,47;12,20;13,24;0,38;;;
01/02/20 06:00;1,70;11,54;12,90;0,38;20,02;;
01/02/20 07:00;1,73;20,40;26,17;0,40;;;
01/02/20 08:00;1,74;21,79;26,76;0,41;13,92;;
01/02/20 09:00;1,65;23,96;30,23;0,43;;;
01/02/20 10:00;1,64;13,82;17,97;0,38;22,95;;
01/02/20 11:00;1,79;11,20;15,42;0,39;;;
01/02/20 12:00;1,75;10,01;14,02;0,40;26,37;;
01/02/20 13:00;2,00;10,45;14,16;0,40;;;
01/02/20 14:00;1,82;10,29;13,43;0,41;25,15;;
01/02/20 15:00;1,82;11,44;14,95;0,42;;;
01/02/20 16:00;1,93;17,74;21,22;0,42;21,98;;
01/02/20 17:00;1,78;32,33;37,56;0,43;;;
01/02/20 18:00;2,01;55,10;69,68;0,45;20,02;;
01/02/20 19:00;2,54;55,50;67,39;0,42;;;
