NetC;Brindisi;;;;;;;
Stat;S.I.S.R.I;;;;;;;
Parm;SO2;NO2;NOX;CO;PM10;BENZENE;;
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3;ug/m3 293K;;
;;;;;;;;
;;;;;;;;
01/01/20 01:00;0,97;18,43;19,65;0,28;;0,35;;
01/01/20 02:00;1,17;17,08;18,76;0,26;11,48;0,32;;
01/01/20 03:00;2,13;18,76;20,86;0,26;;0,29;;
01/01/20 04:00;0,01;17,19;19,17;0,24;14,90;0,28;;
01/01/20 05:00;0,72;15,04;16,64;0,25;;0,24;;
01/01/20 06:00;1,74;15,28;16,45;0,24;20,27;0,27;;
01/01/20 07:00;1,21;16,34;17,74;0,24;;0,23;;
01/01/20 08:00;0,70;15,79;17,68;0,22;22,71;0,23;;
01/01/20 09:00;0,28;12,89;15,49;0,20;;0,22;;
01/01/20 10:00;2,11;4,45;5,68;0,16;24,18;0,16;;
01/01/20 11:00;2,59;4,82;6,50;0,17;;0,09;;
01/01/20 12:00;2,21;2,85;3,88;0,19;13,19;;;
01/01/20 13:00;1,87;3,17;4,17;0,21;;;;
01/01/20 14:00;2,58;9,77;13,32;0,23;7,57;;;
01/01/20 15:00;3,14;6,98;8,90;0,23;;;;
01/01/20 16:00;4,44;5,11;5,92;0,23;4,88;;;
01/01/20 17:00;3,15;6,67;7,28;0,23;;;;
01/01/20 18:00;3,39;9,26;9,66;0,22;21,49;;;
01/01/20 19:00;2,53;10,64;11,06;0,21;;;;
01/01/20 20:00;1,73;8,24;8,88;0,22;18,80;;;
01/01/20 21:00;2,40;5,59;6,04;0,24;;;;
01/01/20 22:00;1,77;4,64;5,12;0,24;14,90;;;
01/01/20 23:00;2,14;2,48;2,93;0,25;;;;
01/02/20 00:00;1,11;3,15;3,53;0,24;8,30;;;
01/02/20 01:00;;1,94;2,43;0,22;;;;
01/02/20 02:00;1,40;;;0,23;13,68;;;
01/02/20 03:00;2,76;8,91;9,43;0,24;;;;
01/02/20 04:00;2,93;10,30;11,03;0,24;16,12;;;
01/02/20 05:00;2,67;6,70;7,25;0,23;;;;
01/02/20 06:00;1,68;11,80;12,39;0,22;18,56;;;
01/02/20 07:00;1,01;11,52;12,23;0,21;;;;
01/02/20 08:00;0,81;9,59;10,50;0,22;17,83;0,17;;
01/02/20 09:00;1,68;4,85;6,17;0,21;;0,16;;
01/02/20 10:00;3,55;5,32;7,26;0,22;16,12;0,16;;
01/02/20 11:00;3,22;7,52;10,63;0,21;;0,18;;
01/02/20 12:00;3,61;5,88;8,35;0,22;13,19;0,17;;
