NetC;;;;Brindisi;;;;
Stat;;;;Terminale Passeggeri;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;0,57;4,31;5,17;0,62;46,97;8,30;0,64;7,40
01/01/20 02:00;1,00;3,62;4,47;0,60;53,90;8,30;0,57;7,40
01/01/20 03:00;0,24;2,95;3,80;0,60;56,48;8,30;0,55;7,40
01/01/20 04:00;0,16;2,51;3,38;0,60;59,18;8,30;0,52;7,40
01/01/20 05:00;1,21;2,42;3,26;0,60;59,89;8,30;0,45;7,40
01/01/20 06:00;0,72;2,82;3,82;0,58;58,03;8,30;0,45;7,40
01/01/20 07:00;0,43;2,40;3,27;0,59;57,23;8,30;0,46;7,40
01/01/20 08:00;0,48;2,91;3,76;0,59;57,02;8,30;0,45;7,40
01/01/20 09:00;1,21;3,73;5,02;0,57;56,77;8,30;0,42;7,40
01/01/20 10:00;1,45;1,69;2,71;0,49;64,44;8,30;0,33;7,40
01/01/20 11:00;1,39;1,78;2,60;0,45;64,84;8,30;0,24;7,40
01/01/20 12:00;1,36;1,51;2,34;0,43;64,46;8,30;0,25;7,40
01/01/20 13:00;1,30;2,62;4,12;0,44;65,33;8,30;0,36;7,40
01/01/20 14:00;0,40;1,32;2,16;0,40;68,20;8,30;0,39;7,40
01/01/20 15:00;1,26;3,08;5,07;0,40;67,84;8,30;0,40;7,40
01/01/20 16:00;1,05;;;0,37;69,25;8,30;0,38;7,40
01/01/20 17:00;1,12;;;0,39;69,13;8,30;0,37;7,40
01/01/20 18:00;1,03;;;0,38;68,85;8,30;0,35;7,40
01/01/20 19:00;0,71;1,51;2,36;0,39;68,11;8,30;0,35;7,40
01/01/20 20:00;0,47;;;0,40;68,55;8,30;0,35;7,40
01/01/20 21:00;0,72;;;0,39;66,49;8,30;0,38;7,40
01/01/20 22:00;0,54;;;0,42;65,79;8,30;0,44;7,40
01/01/20 23:00;0,80;2,37;3,54;0,41;61,98;8,30;0,44;7,40
01/02/20 00:00;0,91;8,12;10,49;0,43;56,35;8,30;0,42;7,40
01/02/20 01:00;;12,46;14,95;0,43;55,87;13,00;0,39;6,70
01/02/20 02:00;0,65;12,09;14,33;;55,05;13,00;0,40;6,70
01/02/20 03:00;0,55;;;0,39;63,68;13,00;;6,70
01/02/20 04:00;0,52;2,26;3,22;0,38;;13,00;0,42;6,70
01/02/20 05:00;0,56;1,35;2,18;0,39;63,40;13,00;0,41;6,70
