NetC;;Brindisi-Lecce;;;;
Stat;;Campi Salentina;;;;
Parm;NO2;NOX;NO;PM10;PM2.5;
;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3;ug/m3;
;;;;;;
;;;;;;
01/01/20 01:00;25,55;40,52;9,77;28,30;;
01/01/20 02:00;30,37;52,99;14,75;28,30;;
01/01/20 03:00;15,82;26,32;6,85;28,30;;
01/01/20 04:00;11,31;17,59;4,09;28,30;;
01/01/20 05:00;10,06;14,63;2,98;28,30;;
01/01/20 06:00;9,17;13,30;2,69;28,30;;
01/01/20 07:00;9,17;13,35;2,72;28,30;;
01/01/20 08:00;9,75;13,81;2,65;28,30;;
01/01/20 09:00;9,98;14,73;3,09;28,30;;
01/01/20 10:00;8,81;13,54;3,08;28,30;;
01/01/20 11:00;9,89;14,66;3,11;28,30;;
01/01/20 12:00;10,01;14,87;3,17;28,30;;
01/01/20 13:00;10,64;16,07;3,55;28,30;;
01/01/20 14:00;10,66;15,30;3,03;28,30;;
01/01/20 15:00;9,37;13,00;2,36;28,30;;
01/01/20 16:00;10,72;14,39;2,39;28,30;;
01/01/20 17:00;13,64;17,86;2,75;28,30;;
01/01/20 18:00;21,14;27,43;4,11;28,30;;
01/01/20 19:00;27,45;35,33;5,14;28,30;;
01/01/20 20:00;32,27;41,87;6,27;28,30;;
01/01/20 21:00;23,08;30,68;4,96;28,30;;
01/01/20 22:00;21,96;27,76;3,78;28,30;;
01/01/20 23:00;19,16;24,75;3,64;28,30;;
02/01/20 00:00;12,69;17,41;3,07;28,30;;
02/01/20 01:00;7,93;11,50;2,32;28,70;;
02/01/20 02:00;;;;28,70;;
02/01/20 03:00;7,15;10,27;2,04;28,70;;
02/01/20 04:00;7,57;10,70;2,03;28,70;;
02/01/20 05:00;8,03;10,82;1,83;28,70;;
02/01/20 06:00;9,55;12,38;1,85;28,70;;
02/01/20 07:00;12,78;16,11;2,18;28,70;;
02/01/20 08:00;14,58;19,22;3,02;28,70;;
02/01/20 09:00;12,80;17,42;3,02;28,70;;
02/01/20 10:00;11,50;15,46;2,58;28,70;;
02/01/20 11:00;11,46;15,53;2,66;28,70;;
02/01/20 12:00;11,08;15,61;2,94;28,70;;
02/01/20 13:00;12,39;17,35;3,23;28,70;;
