Stat;Casamassima;;;;;
Parm;PM10;PM2.5;NOX;NO;NO2;O3
Unit;ug/m3;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3 293K
01/01/20 01:00;25;19;44,35;10,14;28,85;38,73
01/01/20 02:00;25;19;19,87;3,45;14,57;59,00
01/01/20 03:00;25;19;14,15;2,21;10,77;61,16
01/01/20 04:00;25;19;13,21;1,28;11,23;59,64
01/01/20 05:00;25;19;13,21;1,37;11,11;61,39
01/01/20 06:00;25;19;14,13;0,79;12,93;57,62
01/01/20 07:00;25;19;15,73;0,94;14,29;54,63
01/01/20 08:00;25;19;15,03;1,68;12,46;55,62
01/01/20 09:00;25;19;8,99;1,39;6,87;60,61
01/01/20 10:00;25;19;13,20;2,42;9,49;60,94
01/01/20 11:00;25;19;12,43;2,06;9,28;65,17
01/01/20 12:00;25;19;16,58;3,09;11,84;66,98
01/01/20 13:00;25;19;20,76;3,87;14,83;68,10
01/01/20 14:00;25;19;17,38;2,77;13,13;68,71
01/01/20 15:00;25;19;14,01;1,59;11,56;71,49
01/01/20 16:00;25;19;15,78;1,78;13,05;73,68
01/01/20 17:00;25;19;18,28;1,41;16,12;67,91
01/01/20 18:00;25;19;30,70;1,99;27,66;54,91
01/01/20 19:00;25;19;39,13;4,65;31,98;49,51
01/01/20 20:00;25;19;37,80;3,78;32,00;38,50
01/01/20 21:00;25;19;33,41;2,90;28,97;42,68
01/01/20 22:00;25;19;26,89;2,24;23,46;49,43
01/01/20 23:00;25;19;27,18;3,93;21,16;51,26
02/01/20 00:00;25;19;23,62;1,86;20,77;48,87
02/01/20 01:00;24;18;27,59;2,09;24,39;44,06
02/01/20 02:00;24;18;25,83;2,78;21,57;45,30
02/01/20 03:00;24;18;20,10;1,41;17,94;46,26
02/01/20 04:00;24;18;;;;44,40
02/01/20 05:00;24;18;25,01;1,84;22,17;
02/01/20 06:00;24;18;31,09;2,62;27,07;29,42
02/01/20 07:00;24;18;37,48;3,79;31,67;26,07
02/01/20 08:00;24;18;39,32;3,72;33,62;25,99
02/01/20 09:00;24;18;50,34;9,21;36,22;25,99
02/01/20 10:00;24;18;44,94;11,64;27,08;42,03
02/01/20 11:00;24;18;36,20;8,10;23,76;48,35
02/01/20 12:00;24;18;34,60;6,90;24,02;55,02
02/01/20 13:00;24;18;25,44;4,49;18,56;64,08
02/01/20 14:00;24;18;17,10;2,93;12,60;72,75
02/01/20 15:00;24;18;13,59;1,82;10,80;74,89
02/01/20 16:00;24;18;19,22;2,44;15,48;70,19
02/01/20 17:00;24;18;35,51;4,52;28,58;54,77
02/01/20 18:00;24;18;49,26;4,07;43,02;31,14
02/01/20 19:00;24;18;57,75;9,13;43,75;27,59
02/01/20 20:00;24;18;51,13;6,83;40,67;34,79
02/01/20 21:00;24;18;41,48;4,81;34,11;33,33
02/01/20 22:00;24;18;34,77;4,11;28,47;30,11
02/01/20 23:00;24;18;26,81;2,47;23,03;35,80
