NetC;;Brindisi;;;;;
Stat;;Francavilla F.na Via F.Filzi;;;;;
Parm;NO2;NOX;Benzene;;;;
;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;;;;
;;;;;;;
;;;;;;;
01/01/20 01:00;15,14;25,80;2,45;;;;
01/01/20 02:00;14,66;21,74;1,75;;;;
01/01/20 03:00;7,48;12,09;0,97;;;;
01/01/20 04:00;5,82;9,79;0,79;;;;
01/01/20 05:00;5,36;8,43;0,68;;;;
01/01/20 06:00;6,20;9,49;0,64;;;;
01/01/20 07:00;5,34;8,55;0,66;;;;
01/01/20 08:00;4,72;7,98;0,61;;;;
01/01/20 09:00;5,65;9,29;0,59;;;;
01/01/20 10:00;5,76;9,54;0,67;;;;
01/01/20 11:00;6,25;10,62;0,86;;;;
01/01/20 12:00;5,98;10,52;0,97;;;;
01/01/20 13:00;6,69;11,38;1,13;;;;
01/01/20 14:00;9,00;14,79;1,36;;;;
01/01/20 15:00;4,90;8,16;1,34;;;;
01/01/20 16:00;5,49;8,83;1,29;;;;
01/01/20 17:00;9,84;13,68;1,36;;;;
01/01/20 18:00;22,38;29,13;2,17;;;;
01/01/20 19:00;29,74;37,69;3,26;;;;
01/01/20 20:00;23,23;29,77;3,70;;;;
01/01/20 21:00;28,02;36,56;2,95;;;;
01/01/20 22:00;41,89;54,25;3,79;;;;
01/01/20 23:00;34,78;43,82;3,67;;;;
02/01/20 00:00;25,95;32,41;2,86;;;;
02/01/20 01:00;15,48;20,32;2,15;;;;
02/01/20 02:00;;;1,49;;;;
02/01/20 03:00;5,42;8,41;0,98;;;;
02/01/20 04:00;2,55;4,80;0,81;;;;
02/01/20 05:00;4,63;7,66;0,83;;;;
02/01/20 06:00;9,64;14,10;0,69;;;;
02/01/20 07:00;21,63;29,81;0,80;;;;
02/01/20 08:00;23,32;29,33;0,80;;;;
02/01/20 09:00;13,47;18,18;0,84;;;;
02/01/20 10:00;10,46;15,92;0,75;;;;
02/01/20 11:00;6,51;10,80;0,80;;;;
02/01/20 12:00;6,93;11,36;0,82;;;;
02/01/20 13:00;8,45;13,72;1,00;;;;
02/01/20 14:00;8,01;12,80;1,32;;;;
02/01/20 15:00;9,25;13,93;1,53;;;;
