NetC;Taranto;;;;;;;
Stat;Grottaglie;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;;32,3;39,8;;18,11;;;
01/01/20 02:00;;9,6;9,9;;44,83;18;;
01/01/20 03:00;;4,6;4,6;;59,07;;;
01/01/20 04:00;;3,6;3,9;;65,63;33;;
01/01/20 05:00;;3,4;3,4;;65,67;;;
01/01/20 06:00;;4,2;4,6;;60,74;27;;
01/01/20 07:00;;4,4;4,7;;60,36;;;
01/01/20 08:00;;3,6;3,9;;61,81;17;;
01/01/20 09:00;;3,5;3,9;;62,14;;;
01/01/20 10:00;;3,4;4,0;;61,87;9;;
01/01/20 11:00;;2,8;3,4;;65,21;;;
01/01/20 12:00;;2,2;2,6;;69,53;11;;
01/01/20 13:00;;2,0;2,4;;76,45;;;
01/01/20 14:00;;1,6;1,8;;80,59;7;;
01/01/20 15:00;;1,1;1,3;;81,33;;;
01/01/20 16:00;;1,5;1,5;;80,82;7;;
01/01/20 17:00;;2,3;2,4;;77,26;;;
01/01/20 18:00;;3,2;3,4;;74,65;10;;
01/01/20 19:00;;2,7;2,9;;72,99;;;
01/01/20 20:00;;5,3;6,0;;70,23;6;;
01/01/20 21:00;;5,4;5,9;;68,22;;;
01/01/20 22:00;;4,9;5,5;;65,70;8;;
01/01/20 23:00;;5,5;5,9;;64,47;;;
02/01/20 00:00;;4,1;4,4;;64,16;9;;
02/01/20 01:00;;3,3;3,5;;64,08;;;
02/01/20 02:00;;2,2;2,3;;65,16;9;;
02/01/20 03:00;;1,9;2,1;;63,52;;;
02/01/20 04:00;;1,7;1,8;;67,07;11;;
02/01/20 05:00;;2,9;3,1;;58,55;;;
02/01/20 06:00;;5,5;5,9;;49,65;14;;
02/01/20 07:00;;14,5;15,0;;41,71;;;
02/01/20 08:00;;13,8;15,2;;44,39;17;;
02/01/20 09:00;;15,4;18,8;;44,46;;;
02/01/20 10:00;;7,2;8,7;;59,32;12;;
02/01/20 11:00;;4,2;5,3;;67,54;;;
02/01/20 12:00;;3,5;4,3;;69,38;15;;
02/01/20 13:00;;2,9;3,6;;71,23;;;
02/01/20 14:00;;2,8;3,2;;73,04;20;;
02/01/20 15:00;;3,1;3,4;;74,72;;;
02/01/20 16:00;;3,3;3,4;;73,93;11;;
02/01/20 17:00;;5,2;5,5;;68,40;;;
02/01/20 18:00;;5,4;5,8;;64,39;16;;
02/01/20 19:00;;5,4;5,8;;64,64;;;
02/01/20 20:00;;42,0;47,2;;29,35;14;;
02/01/20 21:00;;47,1;56,4;;28,37;;;
02/01/20 22:00;;15,9;16,8;;49,33;11;;
02/01/20 23:00;;27,3;29,1;;35,38;;;
03/01/20 00:00;;6,2;6,6;;61,13;13;;
03/01/20 01:00;;4,5;4,6;;58,68;;;
03/01/20 02:00;;3,7;3,7;;60,45;14;;
03/01/20 03:00;;2,6;2,8;;59,14;;;
03/01/20 04:00;;2,6;2,6;;60,97;15;;
03/01/20 05:00;;5,0;5,1;;59,59;;;
03/01/20 06:00;;6,0;7,2;;59,82;8;;
03/01/20 07:00;;21,6;29,8;;39,00;;;
03/01/20 08:00;;51,9;79,2;;13,80;5;;
03/01/20 09:00;;49,7;73,8;;14,91;;;
03/01/20 10:00;;9,1;11,0;;57,11;12;;
03/01/20 11:00;;6,5;7,7;;63,31;;;
03/01/20 12:00;;6,3;7,4;;68,09;17;;
03/01/20 13:00;;5,3;6,2;;70,72;;;
03/01/20 14:00;;6,8;8,0;;72,35;15;;
03/01/20 15:00;;4,3;4,9;;74,84;;;
03/01/20 16:00;;4,8;5,1;;75,14;13;;
03/01/20 17:00;;9,0;9,4;;68,43;;;
03/01/20 18:00;;14,5;16,3;;64,27;11;;
03/01/20 19:00;;19,5;21,5;;59,38;;;
03/01/20 20:00;;13,0;14,5;;62,97;14;;
03/01/20 21:00;;17,8;19,6;;50,55;;;
03/01/20 22:00;;18,2;19,4;;45,64;14;;
03/01/20 23:00;;18,7;19,9;;45,07;;;
04/01/20 00:00;;16,6;17,6;;48,99;20;;
04/01/20 01:00;;21,4;22,8;;37,35;;;
04/01/20 02:00;;41,2;44,4;;21,77;19;;
04/01/20 03:00;;33,8;36,7;;25,66;;;
04/01/20 04:00;;27,1;29,6;;30,45;23;;
04/01/20 05:00;;25,0;26,2;;27,69;;;
04/01/20 06:00;;24,6;26,8;;40,88;24;;
04/01/20 07:00;;42,5;48,9;;19,22;;;
04/01/20 08:00;;62,1;97,5;;6,77;14;;
04/01/20 09:00;;43,2;57,7;;25,93;;;
04/01/20 10:00;;33,7;44,9;;36,54;23;;
04/01/20 11:00;;28,6;38,5;;41,79;;;
04/01/20 12:00;;15,0;19,2;;63,78;24;;
04/01/20 13:00;;6,3;6,8;;75,84;;;
04/01/20 14:00;;5,7;6,1;;78,08;25;;
04/01/20 15:00;;6,7;7,0;;73,91;;;
04/01/20 16:00;;6,1;6,4;;69,20;16;;
04/01/20 17:00;;8,1;8,6;;62,22;;;
04/01/20 18:00;;15,1;17,2;;56,14;17;;
04/01/20 19:00;;12,0;13,1;;54,16;;;
04/01/20 20:00;;9,7;10,3;;54,03;18;;
04/01/20 21:00;;6,2;6,4;;59,44;;;
04/01/20 22:00;;5,3;5,5;;61,39;14;;
04/01/20 23:00;;4,1;4,3;;64,33;;;
05/01/20 00:00;;4,0;4,1;;62,43;15;;
05/01/20 01:00;;5,5;5,7;;57,10;;;
05/01/20 02:00;;5,7;5,8;;56,49;8;;
05/01/20 03:00;;4,9;5,1;;55,12;;;
05/01/20 04:00;;4,7;4,9;;51,96;8;;
05/01/20 05:00;;5,6;5,8;;53,86;;;
05/01/20 06:00;;7,1;7,3;;51,72;10;;
05/01/20 07:00;;8,2;8,7;;48,00;;;
05/01/20 08:00;;8,3;8,8;;46,65;17;;
05/01/20 09:00;;4,6;5,0;;58,09;;;
05/01/20 10:00;;2,9;3,4;;68,21;11;;
05/01/20 11:00;;2,3;2,9;;67,13;;;
05/01/20 12:00;;2,4;3,0;;56,27;9;;
05/01/20 13:00;;2,4;3,0;;55,39;;;
05/01/20 14:00;;2,6;3,1;;47,95;6;;
05/01/20 15:00;;2,0;2,4;;59,86;;;
05/01/20 16:00;;2,0;2,4;;50,98;4;;
05/01/20 17:00;;1,9;2,2;;54,47;;;
05/01/20 18:00;;1,8;2,2;;53,92;7;;
05/01/20 19:00;;1,7;2,2;;50,85;;;
05/01/20 20:00;;1,6;1,9;;52,76;5;;
