Stat;Liceo Scientifico;;;;;
Parm;PM10;NOX;NO;NO2;CO;BENZENE
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K
01/01/20 01:00;15;17,09;2,91;12,63;1,09;0,50
01/01/20 02:00;15;35,70;7,16;24,72;1,17;0,62
01/01/20 03:00;15;26,00;4,88;18,51;1,06;0,65
01/01/20 04:00;15;27,94;3,47;22,62;1,12;0,63
01/01/20 05:00;15;54,15;9,93;38,92;1,17;0,44
01/01/20 06:00;15;24,25;3,77;18,46;1,04;0,52
01/01/20 07:00;15;13,55;2,42;9,85;1,08;0,42
01/01/20 08:00;15;13,43;2,78;9,14;1,12;0,44
01/01/20 09:00;15;23,88;5,12;16,01;1,09;0,45
01/01/20 10:00;15;13,56;3,21;8,64;1,08;0,47
01/01/20 11:00;15;14,81;3,73;9,10;1,03;0,44
01/01/20 12:00;15;25,70;6,82;15,24;1,08;0,42
01/01/20 13:00;15;30,51;8,20;17,93;1,12;0,56
01/01/20 14:00;15;42,40;11,35;24,86;1,15;0,54
01/01/20 15:00;15;20,91;5,30;12,78;1,03;0,52
01/01/20 16:00;15;13,20;2,81;8,87;1,02;0,32
01/01/20 17:00;15;16,64;3,53;11,23;1,04;0,28
01/01/20 18:00;15;23,62;4,70;16,42;1,05;0,31
01/01/20 19:00;15;30,05;5,98;20,88;1,04;0,36
01/01/20 20:00;15;26,62;6,37;16,85;1,06;0,41
01/01/20 21:00;15;52,35;13,22;32,07;1,04;0,43
01/01/20 22:00;15;32,21;6,74;21,86;1,07;0,41
01/01/20 23:00;15;24,96;4,45;18,14;1,04;0,37
02/01/20 00:00;15;21,75;4,01;15,61;1,11;0,43
02/01/20 01:00;17;19,90;3,85;13,98;1,07;0,44
02/01/20 02:00;17;17,49;3,06;12,79;1,15;0,48
02/01/20 03:00;17;13,82;2,58;9,86;1,15;0,56
02/01/20 04:00;17;12,02;1,76;9,31;1,13;0,59
02/01/20 05:00;17;10,37;1,66;7,82;1,12;0,49
02/01/20 06:00;17;11,22;1,59;8,77;1,21;0,38
02/01/20 07:00;17;24,96;3,84;19,06;1,11;0,38
02/01/20 08:00;17;50,35;8,85;36,78;1,23;0,42
02/01/20 09:00;17;87,84;24,94;49,59;1,28;0,64
02/01/20 10:00;17;171,92;69,81;64,87;1,66;0,83
02/01/20 11:00;17;125,73;47,18;53,53;1,31;1,70
02/01/20 12:00;17;76,75;25,74;37,28;1,19;1,31
02/01/20 13:00;17;104,40;36,22;49,03;1,24;0,94
02/01/20 14:00;17;62,42;17,18;36,10;1,18;0,86
02/01/20 15:00;17;64,90;17,95;37,38;1,17;0,78
02/01/20 16:00;17;49,16;11,32;31,80;1,17;0,65
02/01/20 17:00;17;77,78;19,90;47,26;1,17;0,68
02/01/20 18:00;17;89,41;22,61;54,74;1,29;0,70
02/01/20 19:00;17;38,36;7,72;26,53;1,07;0,78
02/01/20 20:00;17;30,30;7,32;19,01;1,08;0,53
02/01/20 21:00;17;43,78;6,82;33,32;1,08;0,41
02/01/20 22:00;17;53,64;6,82;43,19;1,12;0,57
02/01/20 23:00;17;27,29;4,14;20,93;1,11;0,62
03/01/20 00:00;17;12,24;2,22;8,83;1,06;0,45
03/01/20 01:00;21;;;;1,07;0,43
03/01/20 02:00;21;;;;1,15;0,54
03/01/20 03:00;21;;;;1,09;0,65
03/01/20 04:00;21;;;;1,08;0,50
03/01/20 05:00;21;;;;1,08;0,55
03/01/20 06:00;21;;;;1,05;0,37
03/01/20 07:00;21;;;;1,16;0,36
03/01/20 08:00;21;;;;1,15;0,69
03/01/20 09:00;21;;;;1,19;0,50
03/01/20 10:00;21;;;;1,66;1,36
03/01/20 11:00;21;;;;1,39;2,49
03/01/20 12:00;21;;;;1,18;1,25
03/01/20 13:00;21;;;;1,29;0,96
03/01/20 14:00;21;;;;1,26;1,19
03/01/20 15:00;21;;;;1,17;0,89
03/01/20 16:00;21;;;;1,18;0,74
03/01/20 17:00;21;;;;1,22;0,85
03/01/20 18:00;21;;;;1,20;0,97
03/01/20 19:00;21;173,61;70,14;66,06;1,59;1,31
03/01/20 20:00;21;180,39;76,94;62,42;1,52;2,35
03/01/20 21:00;21;142,36;53,25;60,72;1,51;2,30
03/01/20 22:00;21;76,06;17,64;49,01;1,28;1,58
03/01/20 23:00;21;50,82;9,07;36,92;1,21;1,39
04/01/20 00:00;21;38,42;5,87;29,45;1,18;1,12
04/01/20 01:00;12;21,07;3,88;15,12;1,10;0,69
04/01/20 02:00;12;;;;0,98;0,43
04/01/20 03:00;12;27,66;3,61;22,13;1,05;0,35
04/01/20 04:00;12;25,78;4,57;18,79;1,00;0,34
04/01/20 05:00;12;16,91;3,04;12,25;0,98;0,26
04/01/20 06:00;12;24,20;3,10;19,44;1,01;0,29
04/01/20 07:00;12;19,43;3,45;14,14;1,05;0,40
04/01/20 08:00;12;36,70;6,29;27,07;1,07;0,54
04/01/20 09:00;12;29,31;6,68;19,06;1,07;0,51
04/01/20 10:00;12;36,12;9,04;22,25;1,15;0,69
