NetC;Taranto;;;;;;;
Stat;Massafra-Via Frappietro;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;1,1;16,9;28,8;;;;1,3;
01/01/20 02:00;;6,9;10,6;;;51;0,5;
01/01/20 03:00;;5,8;8,6;;;;0,4;
01/01/20 04:00;;3,4;5,7;;;30;0,4;
01/01/20 05:00;;3,1;4,7;;;;0,3;
01/01/20 06:00;;;;;;16;0,3;
01/01/20 07:00;0,8;4,1;6,0;;;;0,3;
01/01/20 08:00;1,4;3,4;5,1;;;16;0,3;
01/01/20 09:00;1,7;4,1;6,3;;;;0,3;
01/01/20 10:00;2,3;4,4;6,8;;;13;0,3;
01/01/20 11:00;2,2;5,0;8,0;;;;0,4;
01/01/20 12:00;3,2;6,4;10,6;;;11;0,4;
01/01/20 13:00;4,3;7,2;11,6;;;;0,4;
01/01/20 14:00;4,1;8,4;13,0;;;15;0,5;
01/01/20 15:00;4,6;6,4;9,8;;;;0,6;
01/01/20 16:00;4,8;7,5;10,5;;;13;0,6;
01/01/20 17:00;4,1;9,9;13,3;;;;0,6;
01/01/20 18:00;4,4;12,0;16,1;;;11;0,8;
01/01/20 19:00;0,6;12,3;17,0;;;;0,9;
01/01/20 20:00;;14,8;19,9;;;15;0,9;
01/01/20 21:00;;21,7;28,6;;;;1,0;
01/01/20 22:00;;18,4;24,2;;;16;1,0;
01/01/20 23:00;;11,8;16,3;;;;0,8;
02/01/20 00:00;0,2;8,0;11,3;;;17;1,0;
02/01/20 01:00;0,9;9,9;13,7;;;;0,4;
02/01/20 02:00;0,5;11,0;14,1;;;11;0,4;
02/01/20 03:00;0,5;;;;;;0,3;
02/01/20 04:00;;3,7;5,4;;;12;0,2;
02/01/20 05:00;0,2;4,2;6,1;;;;0,3;
02/01/20 06:00;0,4;9,5;12,0;;;12;0,3;
02/01/20 07:00;2,4;25,0;32,4;;;;0,4;
02/01/20 08:00;3,3;29,6;39,0;;;23;0,7;
02/01/20 09:00;3,9;26,1;43,7;;;;0,7;
02/01/20 10:00;4,1;24,5;40,7;;;22;1,0;
02/01/20 11:00;3,7;11,3;17,9;;;;0,8;
02/01/20 12:00;3,9;8,5;13,0;;;16;0,5;
02/01/20 13:00;2,6;8,9;13,3;;;;0,6;
02/01/20 14:00;1,2;9,7;14,0;;;18;0,6;
02/01/20 15:00;1,5;8,1;11,5;;;;0,6;
