NetC;;Brindisi;;;
Stat;;Mesagne;;;
Parm;NO2;NOX;PM10;;
;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3;;
;;;;;
;;;;;
01/01/20 01:00;8,19;9,95;17,20;;
01/01/20 02:00;5,82;6,84;17,20;;
01/01/20 03:00;5,16;5,83;17,20;;
01/01/20 04:00;4,02;4,36;17,20;;
01/01/20 05:00;3,30;3,51;17,20;;
01/01/20 06:00;3,13;3,53;17,20;;
01/01/20 07:00;3,60;3,77;17,20;;
01/01/20 08:00;3,43;3,84;17,20;;
01/01/20 09:00;3,43;3,85;17,20;;
01/01/20 10:00;3,31;3,94;17,20;;
01/01/20 11:00;3,39;4,54;17,20;;
01/01/20 12:00;2,41;3,53;17,20;;
01/01/20 13:00;2,77;3,69;17,20;;
01/01/20 14:00;3,98;6,37;17,20;;
01/01/20 15:00;3,30;4,16;17,20;;
01/01/20 16:00;2,92;3,79;17,20;;
01/01/20 17:00;4,46;5,37;17,20;;
01/01/20 18:00;7,50;8,84;17,20;;
01/01/20 19:00;7,78;9,29;17,20;;
01/01/20 20:00;8,16;9,48;17,20;;
01/01/20 21:00;19,86;22,36;17,20;;
01/01/20 22:00;16,20;18,04;17,20;;
01/01/20 23:00;26,83;31,31;17,20;;
02/01/20 00:00;30,61;36,15;17,20;;
02/01/20 01:00;16,05;18,54;20,90;;
02/01/20 02:00;;;20,90;;
02/01/20 03:00;9,55;10,66;20,90;;
02/01/20 04:00;2,38;2,89;20,90;;
02/01/20 05:00;1,86;2,14;20,90;;
02/01/20 06:00;2,84;3,08;20,90;;
02/01/20 07:00;5,39;5,98;20,90;;
02/01/20 08:00;6,83;7,45;20,90;;
02/01/20 09:00;6,50;7,77;20,90;;
02/01/20 10:00;5,38;6,61;20,90;;
02/01/20 11:00;3,19;3,99;20,90;;
02/01/20 12:00;3,45;4,56;20,90;;
02/01/20 13:00;3,89;5,39;20,90;;
02/01/20 14:00;3,91;5,02;20,90;;
02/01/20 15:00;4,15;5,07;20,90;;
02/01/20 16:00;5,09;6,01;20,90;;
02/01/20 17:00;12,30;13,83;20,90;;
02/01/20 18:00;38,53;43,43;20,90;;
02/01/20 19:00;39,42;47,33;20,90;;
02/01/20 20:00;33,52;39,90;20,90;;
02/01/20 21:00;46,66;66,46;20,90;;
02/01/20 22:00;30,47;37,49;20,90;;
02/01/20 23:00;9,95;11,09;20,90;;
03/01/20 00:00;7,38;8,47;20,90;;
03/01/20 01:00;9,80;10,77;31,60;;
03/01/20 02:00;6,93;8,18;31,60;;
03/01/20 03:00;5,05;5,42;31,60;;
03/01/20 04:00;3,82;4,20;31,60;;
03/01/20 05:00;3,07;3,34;31,60;;
03/01/20 06:00;4,50;5,00;31,60;;
03/01/20 07:00;9,19;10,48;31,60;;
03/01/20 08:00;11,48;13,04;31,60;;
03/01/20 09:00;16,66;20,85;31,60;;
03/01/20 10:00;10,64;14,35;31,60;;
03/01/20 11:00;7,50;10,47;31,60;;
03/01/20 12:00;8,10;11,27;31,60;;
03/01/20 13:00;8,32;11,71;31,60;;
03/01/20 14:00;8,38;11,13;31,60;;
03/01/20 15:00;5,12;6,16;31,60;;
03/01/20 16:00;6,02;6,88;31,60;;
03/01/20 17:00;7,34;8,24;31,60;;
03/01/20 18:00;11,92;13,18;31,60;;
03/01/20 19:00;13,90;16,12;31,60;;
03/01/20 20:00;21,66;24,70;31,60;;
03/01/20 21:00;27,92;32,11;31,60;;
03/01/20 22:00;44,34;56,59;31,60;;
03/01/20 23:00;37,14;46,56;31,60;;
04/01/20 00:00;18,92;21,97;31,60;;
04/01/20 01:00;14,90;16,71;28,60;;
04/01/20 02:00;;;28,60;;
04/01/20 03:00;7,63;8,29;28,60;;
04/01/20 04:00;7,67;8,24;28,60;;
04/01/20 05:00;7,72;8,56;28,60;;
04/01/20 06:00;6,74;7,25;28,60;;
04/01/20 07:00;11,03;12,28;28,60;;
04/01/20 08:00;12,91;14,25;28,60;;
04/01/20 09:00;16,55;20,20;28,60;;
04/01/20 10:00;11,71;15,08;28,60;;
04/01/20 11:00;8,11;10,30;28,60;;
04/01/20 12:00;6,51;8,29;28,60;;
04/01/20 13:00;7,62;9,92;28,60;;
04/01/20 14:00;8,17;10,32;28,60;;
04/01/20 15:00;7,64;9,20;28,60;;
04/01/20 16:00;8,57;10,18;28,60;;
04/01/20 17:00;12,81;14,30;28,60;;
04/01/20 18:00;22,53;24,61;28,60;;
04/01/20 19:00;29,05;33,05;28,60;;
04/01/20 20:00;20,46;23,23;28,60;;
04/01/20 21:00;24,12;27,96;28,60;;
04/01/20 22:00;27,73;32,21;28,60;;
04/01/20 23:00;17,11;19,79;28,60;;
05/01/20 00:00;6,00;7,01;28,60;;
05/01/20 01:00;5,39;6,45;11,90;;
05/01/20 02:00;5,98;6,93;11,90;;
05/01/20 03:00;4,70;5,40;11,90;;
05/01/20 04:00;5,20;5,51;11,90;;
05/01/20 05:00;6,06;6,57;11,90;;
05/01/20 06:00;5,37;5,92;11,90;;
05/01/20 07:00;3,13;3,54;11,90;;
05/01/20 08:00;4,92;5,33;11,90;;
05/01/20 09:00;4,41;5,34;11,90;;
05/01/20 10:00;3,51;4,46;11,90;;
05/01/20 11:00;3,70;4,77;11,90;;
05/01/20 12:00;3,65;4,93;11,90;;
05/01/20 13:00;3,69;5,30;11,90;;
05/01/20 14:00;3,38;4,56;11,90;;
05/01/20 15:00;1,86;2,25;11,90;;
