Stat;EN02;;;;;;;
Parm;PM10;PM2.5;NOX;NO;NO2;CO;O3;
Unit;ug/m3;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;
01/01/20 01:00;27;23;6,88;0,10;6,70;;;
01/01/20 02:00;23;18;4,78;0,10;4,73;;72,89;
01/01/20 03:00;21;16;4,85;0,10;4,77;;72,58;
01/01/20 04:00;20;15;4,00;0,10;4,04;;71,68;
01/01/20 05:00;17;13;4,58;0,10;4,63;;69,96;
01/01/20 06:00;17;13;3,35;0,10;3,42;;69,75;
01/01/20 07:00;18;14;4,07;0,10;4,10;;66,20;
01/01/20 08:00;18;14;5,17;0,10;5,12;;61,37;
01/01/20 09:00;16;13;6,07;0,10;5,75;;61,16;
01/01/20 10:00;16;12;4,63;0,10;4,18;0,66;66,33;
01/01/20 11:00;13;9;8,43;1,17;6,75;;66,15;
01/01/20 12:00;14;10;7,87;1,00;6,44;;69,34;
01/01/20 13:00;15;12;6,31;0,72;5,32;;72,79;
01/01/20 14:00;16;14;7,02;0,81;5,88;;73,05;
01/01/20 15:00;16;13;4,12;0,10;3,78;;78,41;
01/01/20 16:00;17;13;5,02;0,10;4,80;;80,74;
01/01/20 17:00;18;14;4,11;0,10;4,08;;81,60;
01/01/20 18:00;17;12;4,80;0,10;4,80;;80,92;
01/01/20 19:00;17;11;10,47;0,10;10,45;;71,05;
01/01/20 20:00;15;9;7,45;0,10;7,44;;74,66;
01/01/20 21:00;13;7;8,18;0,10;8,00;;75,24;
01/01/20 22:00;13;7;7,80;0,10;7,74;;70,86;
01/01/20 23:00;13;6;11,63;0,10;11,30;;62,80;
02/01/20 00:00;12;6;10,96;0,10;10,52;;;
02/01/20 01:00;13;5;7,39;0,10;7,22;;64,37;
02/01/20 02:00;14;6;5,39;0,10;5,42;;63,47;
02/01/20 03:00;15;6;6,13;0,10;6,16;;57,02;
02/01/20 04:00;17;8;40,64;10,38;24,87;;30,74;
02/01/20 05:00;23;13;19,77;3,75;14,22;;38,19;
02/01/20 06:00;26;17;21,52;3,12;16,95;;35,33;
02/01/20 07:00;27;19;62,90;17,91;35,55;;18,77;
02/01/20 08:00;35;27;80,29;21,88;46,85;;14,25;
02/01/20 09:00;32;25;38,76;9,07;24,97;;32,61;
02/01/20 10:00;26;19;20,64;3,41;15,53;;47,78;
02/01/20 11:00;22;17;24,98;4,77;17,79;;49,15;
02/01/20 12:00;20;15;13,93;2,43;10,32;;60,92;
02/01/20 13:00;17;13;5,99;0,79;4,91;;73,11;
02/01/20 14:00;16;13;3,66;0,10;3,17;;80,21;
02/01/20 15:00;16;14;3,75;0,10;3,34;;80,96;
02/01/20 16:00;17;14;5,94;0,10;5,43;;78,34;
02/01/20 17:00;19;15;11,80;0,58;11,06;;71,56;
02/01/20 18:00;32;29;37,45;3,52;32,17;;54,75;
02/01/20 19:00;36;32;43,02;1,76;40,43;;42,92;
02/01/20 20:00;41;35;39,59;0,72;38,62;;31,35;
02/01/20 21:00;38;30;26,27;0,10;25,80;;27,74;
02/01/20 22:00;36;26;21,12;0,10;20,90;;32,55;
02/01/20 23:00;36;27;12,33;0,10;12,23;;;
03/01/20 00:00;31;22;7,78;0,10;7,61;;49,03;
03/01/20 01:00;30;23;;;;;52,54;
03/01/20 02:00;29;24;6,86;0,10;6,41;;52,43;
03/01/20 03:00;28;22;4,66;0,10;4,68;;54,10;
03/01/20 04:00;25;20;5,16;0,10;5,16;;52,70;
03/01/20 05:00;23;17;5,68;0,10;5,44;;53,14;
03/01/20 06:00;26;22;13,57;1,33;11,75;;49,06;
03/01/20 07:00;27;23;36,82;7,37;25,63;;34,84;
03/01/20 08:00;27;22;55,02;11,71;37,16;;28,33;
03/01/20 09:00;40;35;75,11;18,95;46,18;;21,87;
03/01/20 10:00;39;34;50,26;11,71;32,41;;32,21;
03/01/20 11:00;33;23;;;;;;
03/01/20 12:00;26;22;32,00;5,91;23,05;0,35;59,15;
03/01/20 13:00;24;21;21,50;3,47;16,29;0,33;67,13;
03/01/20 14:00;25;22;21,18;3,00;16,68;0,34;66,20;
03/01/20 15:00;28;24;19,99;2,50;16,26;0,35;64,74;
03/01/20 16:00;28;25;84,80;23,33;49,12;0,34;47,98;
03/01/20 17:00;30;26;56,59;8,22;44,10;0,32;38,65;
03/01/20 18:00;41;35;89,80;12,98;70,01;0,39;15,66;
03/01/20 19:00;45;38;82,81;10,72;66,49;0,50;10,49;
03/01/20 20:00;46;39;46,75;3,38;41,67;0,43;19,01;
03/01/20 21:00;36;30;20,49;0,94;19,15;0,26;39,24;
03/01/20 22:00;32;26;15,89;0,88;14,65;;;
03/01/20 23:00;28;21;14,63;0,92;13,33;0,18;44,32;
04/01/20 00:00;30;24;16,03;1,51;13,83;0,22;45,63;
04/01/20 01:00;32;26;21,28;1,77;18,68;0,26;40,74;
04/01/20 02:00;26;19;24,07;0,92;22,78;0,26;30,17;
04/01/20 03:00;24;16;22,87;0,93;21,56;0,22;32,47;
04/01/20 04:00;27;20;14,08;0,85;12,88;0,20;47,99;
04/01/20 05:00;28;21;16,92;1,10;15,34;0,18;44,77;
04/01/20 06:00;27;20;16,88;0,99;15,47;0,18;43,87;
04/01/20 07:00;40;35;59,06;12,50;40,00;0,28;25,67;
04/01/20 08:00;43;37;65,77;13,81;44,69;0,34;29,59;
04/01/20 09:00;35;28;28,64;3,64;23,18;0,29;53,53;
