Stat;EN03;;;;;;
Parm;PM10;NOX;NO;NO2;CO;;
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;;
01/01/20 01:00;20;17,76;1,96;14,74;0,30;;
01/01/20 02:00;20;20,05;1,85;17,22;0,29;;
01/01/20 03:00;20;16,13;1,42;13,95;0,27;;
01/01/20 04:00;20;12,22;1,27;10,27;0,27;;
01/01/20 05:00;20;7,98;1,09;6,31;0,22;;
01/01/20 06:00;20;11,37;2,34;7,78;0,22;;
01/01/20 07:00;20;8,38;1,11;6,68;0,23;;
01/01/20 08:00;20;10,44;1,40;8,29;0,23;;
01/01/20 09:00;20;10,74;1,34;8,70;0,24;;
01/01/20 10:00;20;13,76;1,96;10,76;0,28;;
01/01/20 11:00;20;15,38;2,64;11,33;0,28;;
01/01/20 12:00;20;15,30;2,79;11,01;0,28;;
01/01/20 13:00;20;18,59;3,44;13,32;0,29;;
01/01/20 14:00;20;20,01;3,69;14,35;0,30;;
01/01/20 15:00;20;19,16;3,90;13,18;0,27;;
01/01/20 16:00;20;9,91;1,29;7,93;0,24;;
01/01/20 17:00;20;14,62;1,19;12,80;0,26;;
01/01/20 18:00;20;26,32;1,84;23,50;;;
01/01/20 19:00;20;39,13;2,92;34,65;0,36;;
01/01/20 20:00;20;45,98;3,63;40,41;0,34;;
01/01/20 21:00;20;34,49;2,61;30,49;0,35;;
01/01/20 22:00;20;30,00;2,41;26,30;0,32;;
01/01/20 23:00;20;22,87;1,97;19,84;0,27;;
02/01/20 00:00;20;24,30;1,73;21,66;0,37;;
02/01/20 01:00;23;23,83;1,84;21,01;0,31;;
02/01/20 02:00;23;16,10;1,79;13,36;0,29;;
02/01/20 03:00;23;10,93;1,02;9,37;0,27;;
02/01/20 04:00;23;8,21;1,01;6,67;0,28;;
02/01/20 05:00;23;10,29;1,12;8,58;0,33;;
02/01/20 06:00;23;25,48;4,90;17,96;0,35;;
02/01/20 07:00;23;32,70;4,83;25,29;0,35;;
02/01/20 08:00;23;43,27;7,52;31,75;0,39;;
02/01/20 09:00;23;68,25;19,21;38,80;0,47;;
02/01/20 10:00;23;51,49;12,55;32,25;0,43;;
02/01/20 11:00;23;47,94;10,97;31,12;0,39;;
02/01/20 12:00;23;48,87;11,15;31,77;0,35;;
02/01/20 13:00;23;36,59;7,42;25,20;0,29;;
02/01/20 14:00;23;34,79;6,91;24,20;0,27;;
02/01/20 15:00;23;32,37;5,66;23,68;0,28;;
02/01/20 16:00;23;45,23;7,66;33,48;0,29;;
02/01/20 17:00;23;66,40;8,96;52,67;;;
02/01/20 18:00;23;85,74;14,96;62,80;0,54;;
02/01/20 19:00;23;93,68;17,51;66,83;0,55;;
02/01/20 20:00;23;70,04;12,53;50,82;0,47;;
02/01/20 21:00;23;54,51;10,83;37,91;0,51;;
02/01/20 22:00;23;33,23;5,86;24,25;0,44;;
02/01/20 23:00;23;25,43;3,81;19,58;0,39;;
03/01/20 00:00;23;19,23;2,06;16,07;0,39;;
03/01/20 01:00;29;10,83;1,18;9,03;0,33;;
03/01/20 02:00;29;10,16;1,16;8,38;0,33;;
03/01/20 03:00;29;8,91;0,98;7,41;0,32;;
03/01/20 04:00;29;8,04;1,01;6,49;0,31;;
03/01/20 05:00;29;10,07;1,05;8,46;0,31;;
03/01/20 06:00;29;18,22;2,86;13,83;0,30;;
03/01/20 07:00;29;30,91;4,63;23,81;0,33;;
03/01/20 08:00;29;106,86;33,53;55,45;0,50;;
03/01/20 09:00;29;110,84;37,22;53,75;0,54;;
03/01/20 10:00;29;72,53;17,87;45,12;0,49;;
03/01/20 11:00;29;64,42;14,62;42,00;0,51;;
03/01/20 12:00;29;52,94;10,95;36,14;0,43;;
03/01/20 13:00;29;45,19;8,58;32,04;0,39;;
03/01/20 14:00;29;49,73;9,94;34,51;0,42;;
03/01/20 15:00;29;53,48;11,28;36,18;0,44;;
03/01/20 16:00;29;157,36;74,70;43,46;;;
03/01/20 17:00;29;151,57;46,83;79,75;0,49;;
03/01/20 18:00;29;267,02;117,94;86,11;1,30;;
03/01/20 19:00;29;111,09;37,83;53,17;0,79;;
03/01/20 20:00;29;129,77;49,94;53,15;0,77;;
03/01/20 21:00;29;94,30;29,95;48,38;0,62;;
03/01/20 22:00;29;71,02;17,80;43,73;0,70;;
