Stat;EN04;;;;;
Parm;PM10;NOX;NO;NO2;CO;
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;
01/01/20 01:00;115,35;36,69;9,75;21,75;1,05;
01/01/20 02:00;112,32;18,33;4,04;12,13;0,98;
01/01/20 03:00;30,58;14,23;3,19;9,33;0,96;
01/01/20 04:00;18,65;12,79;3,13;7,98;0,95;
01/01/20 05:00;18,52;12,29;2,78;8,04;0,95;
01/01/20 06:00;16,41;14,48;2,68;10,37;0,94;
01/01/20 07:00;16,90;17,76;2,84;13,41;0,95;
01/01/20 08:00;17,68;14,33;2,95;9,81;0,97;
01/01/20 09:00;18,89;12,34;2,93;7,85;0,97;
01/01/20 10:00;14,48;12,64;3,17;7,78;0,96;
01/01/20 11:00;21,36;13,91;3,48;8,58;0,98;
01/01/20 12:00;12,42;14,71;3,69;9,05;;
01/01/20 13:00;16,33;17,71;4,23;11,23;1,00;
01/01/20 14:00;21,53;20,33;4,71;13,11;1,00;
01/01/20 15:00;24,38;14,46;3,40;9,24;0,98;
01/01/20 16:00;17,54;12,19;2,96;7,65;0,98;
01/01/20 17:00;16,26;12,13;2,76;7,89;0,98;
01/01/20 18:00;16,12;16,40;2,72;12,22;0,98;
01/01/20 19:00;19,86;19,29;2,72;15,13;1,00;
01/01/20 20:00;16,20;21,49;2,87;17,08;0,98;
01/01/20 21:00;16,87;22,34;3,32;17,25;0,99;
01/01/20 22:00;17,77;19,74;3,39;14,55;0,97;
01/01/20 23:00;14,01;21,24;3,18;16,36;0,97;
02/01/20 00:00;19,84;;;;0,96;
02/01/20 01:00;12,21;19,72;3,14;14,91;0,95;
02/01/20 02:00;10,80;13,05;2,77;8,81;0,97;
02/01/20 03:00;18,82;12,78;2,61;8,80;0,99;
02/01/20 04:00;24,55;12,14;2,72;7,97;1,02;
02/01/20 05:00;23,03;16,18;2,68;12,08;1,05;
02/01/20 06:00;29,47;41,08;6,90;30,50;1,10;
02/01/20 07:00;29,46;27,27;4,80;19,90;1,09;
02/01/20 08:00;29,07;49,62;9,84;34,54;1,13;
02/01/20 09:00;33,17;41,40;8,26;28,74;1,13;
02/01/20 10:00;32,44;30,67;6,69;20,41;1,08;
02/01/20 11:00;28,91;37,60;8,54;24,50;1,09;
02/01/20 12:00;20,73;35,51;8,14;23,03;1,06;
02/01/20 13:00;19,35;30,30;7,41;18,97;1,02;
02/01/20 14:00;10,78;28,68;6,42;18,85;0,99;
02/01/20 15:00;10,74;26,46;5,67;17,77;1,01;
02/01/20 16:00;19,70;34,48;6,58;24,39;1,00;
02/01/20 17:00;13,29;29,90;4,49;23,03;1,02;
02/01/20 18:00;25,98;57,79;9,23;43,65;1,08;
02/01/20 19:00;27,17;50,34;6,49;40,40;1,07;
02/01/20 20:00;30,88;65,33;7,20;54,29;1,16;
02/01/20 21:00;52,61;62,71;8,52;49,65;1,22;
02/01/20 22:00;49,31;48,11;5,41;39,82;1,18;
02/01/20 23:00;38,06;26,04;3,44;20,75;1,11;
03/01/20 00:00;26,02;18,27;3,59;12,80;;
03/01/20 01:00;17,09;17,57;3,08;12,84;1,06;
03/01/20 02:00;24,57;13,47;2,90;9,03;1,05;
03/01/20 03:00;32,88;13,32;3,03;8,67;1,05;
03/01/20 04:00;37,93;13,97;2,90;9,53;1,05;
03/01/20 05:00;27,72;14,94;2,90;10,49;1,05;
03/01/20 06:00;31,49;17,73;3,18;12,86;1,06;
03/01/20 07:00;25,74;34,84;4,45;28,02;1,08;
03/01/20 08:00;27,36;48,11;7,05;37,29;1,10;
03/01/20 09:00;38,65;73,45;15,87;49,11;1,21;
03/01/20 10:00;47,61;41,23;8,64;27,99;1,21;
03/01/20 11:00;37,95;31,28;6,38;21,50;1,18;
03/01/20 12:00;38,25;201,68;121,16;16,74;;
03/01/20 13:00;;;;;0,49;
03/01/20 14:00;24,74;35,47;4,26;28,95;0,50;
03/01/20 15:00;37,43;37,06;4,64;29,95;0,49;
03/01/20 16:00;25,60;35,29;3,64;29,72;0,46;
03/01/20 17:00;21,75;69,47;9,12;55,48;0,50;
03/01/20 18:00;43,72;198,80;63,24;101,83;0,72;
03/01/20 19:00;71,25;227,63;81,61;102,51;0,78;
03/01/20 20:00;71,96;200,49;72,46;89,39;0,90;
03/01/20 21:00;61,41;88,41;16,83;62,60;0,57;
03/01/20 22:00;42,79;;;;0,47;
03/01/20 23:00;35,79;45,88;4,35;39,21;0,41;
04/01/20 00:00;29,71;30,24;2,45;26,49;0,44;
04/01/20 01:00;41,29;33,55;2,72;29,37;0,42;
04/01/20 02:00;41,40;39,83;2,82;35,51;0,44;
04/01/20 03:00;33,39;35,67;2,26;32,20;0,45;
04/01/20 04:00;28,80;29,38;2,13;26,11;0,39;
04/01/20 05:00;35,16;24,89;1,83;22,08;0,38;
04/01/20 06:00;37,90;49,08;4,39;42,35;0,45;
04/01/20 07:00;40,37;40,97;4,34;34,32;0,44;
04/01/20 08:00;51,13;34,28;3,55;28,86;0,50;
04/01/20 09:00;55,36;30,65;3,90;24,67;0,53;
04/01/20 10:00;48,50;35,24;5,12;27,37;0,55;
04/01/20 11:00;33,49;27,80;4,34;21,17;0,49;
04/01/20 12:00;27,85;26,16;3,42;20,92;;
04/01/20 13:00;16,77;25,40;3,30;20,34;0,45;
04/01/20 14:00;21,69;26,14;3,15;21,31;0,45;
04/01/20 15:00;21,44;26,06;2,95;21,54;0,45;
04/01/20 16:00;24,96;25,37;2,54;21,47;0,44;
04/01/20 17:00;24,03;39,15;3,77;33,37;0,46;
04/01/20 18:00;27,03;44,07;5,14;36,19;0,48;
04/01/20 19:00;34,93;39,67;4,27;33,12;0,48;
04/01/20 20:00;36,28;49,35;5,34;41,16;0,53;
04/01/20 21:00;33,33;38,29;4,45;31,48;0,47;
04/01/20 22:00;28,08;27,33;2,83;22,99;0,42;
04/01/20 23:00;16,78;21,94;1,73;19,29;0,42;
05/01/20 00:00;16,78;25,39;2,16;22,08;0,47;
05/01/20 01:00;26,25;22,06;1,76;19,36;0,46;
05/01/20 02:00;30,71;15,98;1,70;13,38;0,43;
05/01/20 03:00;21,63;13,34;1,29;11,37;0,41;
05/01/20 04:00;24,89;13,33;1,12;11,62;0,41;
05/01/20 05:00;19,04;13,25;1,11;11,54;0,41;
05/01/20 06:00;28,11;12,94;1,10;11,25;0,42;
05/01/20 07:00;21,77;12,74;1,14;10,98;0,40;
05/01/20 08:00;16,12;13,76;1,18;11,95;0,41;
05/01/20 09:00;15,81;12,01;1,25;10,10;0,37;
05/01/20 10:00;16,35;13,42;1,44;11,23;0,36;
05/01/20 11:00;13,86;13,42;1,73;10,75;0,35;
05/01/20 12:00;16,04;13,74;1,94;10,79;0,35;
05/01/20 13:00;26,21;12,67;1,85;9,84;0,34;
05/01/20 14:00;22,28;12,55;1,80;9,79;0,34;
05/01/20 15:00;25,48;7,94;1,12;6,22;0,30;
05/01/20 16:00;19,96;7,78;1,06;6,15;0,28;
05/01/20 17:00;18,09;8,39;1,02;6,84;0,28;
05/01/20 18:00;21,17;9,49;1,09;7,81;0,29;
05/01/20 19:00;20,05;10,97;1,13;9,23;0,30;
05/01/20 20:00;14,26;;;;0,30;
05/01/20 21:00;20,08;11,96;1,14;10,21;0,30;
05/01/20 22:00;22,14;10,80;1,08;9,14;0,30;
05/01/20 23:00;20,11;9,50;1,00;7,96;0,30;
06/01/20 00:00;10,55;8,05;0,94;6,61;;
06/01/20 01:00;30,32;7,01;0,88;5,66;0,29;
06/01/20 02:00;32,91;6,35;0,85;5,05;0,29;
06/01/20 03:00;17,38;6,07;0,78;4,87;0,29;
06/01/20 04:00;14,04;5,80;0,78;4,61;0,29;
06/01/20 05:00;19,76;6,10;0,80;4,87;0,30;
06/01/20 06:00;14,73;6,35;0,83;5,07;0,30;
06/01/20 07:00;18,85;8,30;1,22;6,44;0,33;
06/01/20 08:00;19,33;9,62;1,33;7,58;0,32;
06/01/20 09:00;21,61;9,95;1,39;7,82;0,32;
06/01/20 10:00;14,75;11,21;1,55;8,83;0,33;
06/01/20 11:00;18,86;13,90;1,93;10,94;0,34;
06/01/20 12:00;20,96;14,63;2,23;11,20;0,35;
