NetC;Bari-Barletta;;;;
Stat;Molfetta Verdi;;;;
Parm;PM10;NOX;NO;NO2;BENZENE
PtId;14;2,00;3,00;4,00;20,00
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;ug/m3 293K
Field;Aver;Aver;Aver;Aver;Aver
01/01/20 01:00;21;27,96;6,51;17,98;1,14
01/01/20 02:00;21;30,78;5,39;22,52;1,40
01/01/20 03:00;21;26,05;3,68;20,41;1,04
01/01/20 04:00;21;15,51;2,50;11,68;1,28
01/01/20 05:00;21;7,71;1,02;6,14;0,81
01/01/20 06:00;21;9,61;1,60;7,16;0,65
01/01/20 07:00;21;7,68;0,81;6,45;0,58
01/01/20 08:00;21;16,38;2,67;12,28;0,63
01/01/20 09:00;21;14,44;2,46;10,66;0,88
01/01/20 10:00;21;18,68;3,61;13,14;1,03
01/01/20 11:00;21;28,08;6,39;18,29;1,26
01/01/20 12:00;21;35,44;8,17;22,91;1,53
01/01/20 13:00;21;40,49;9,85;25,38;1,96
01/01/20 14:00;21;37,37;9,33;23,07;1,90
01/01/20 15:00;21;10,58;1,73;7,92;0,88
01/01/20 16:00;21;3,25;0,57;2,38;0,50
01/01/20 17:00;21;6,54;1,11;4,83;0,43
01/01/20 18:00;21;8,68;1,29;6,69;0,45
01/01/20 19:00;21;14,98;2,59;11,01;0,57
01/01/20 20:00;21;19,11;3,15;14,28;0,59
01/01/20 21:00;21;32,49;5,57;23,95;0,74
01/01/20 22:00;21;44,69;7,43;33,30;1,53
01/01/20 23:00;21;37,52;5,87;28,52;0,92
02/01/20 00:00;21;23,98;2,80;19,68;0,95
02/01/20 01:00;27;19,07;2,05;15,93;0,88
02/01/20 02:00;27;;;;0,71
02/01/20 03:00;27;;;;0,72
02/01/20 04:00;27;;;;0,84
02/01/20 05:00;27;;;;0,89
02/01/20 06:00;27;;;;0,94
02/01/20 07:00;27;;;;0,98
02/01/20 08:00;27;;;;1,43
02/01/20 09:00;27;;;;2,54
02/01/20 10:00;27;;;;2,87
02/01/20 11:00;27;;;;3,07
02/01/20 12:00;27;;;;3,11
02/01/20 13:00;27;;;;2,05
02/01/20 14:00;27;;;;1,66
02/01/20 15:00;27;;;;0,80
02/01/20 16:00;27;;;;0,88
02/01/20 17:00;27;;;;1,53
02/01/20 18:00;27;;;;2,27
02/01/20 19:00;27;;;;3,31
02/01/20 20:00;27;;;;3,12
02/01/20 21:00;27;;;;2,25
02/01/20 22:00;27;;;;2,04
02/01/20 23:00;27;;;;1,40
03/01/20 00:00;27;;;;1,31
03/01/20 01:00;41;;;;1,06
03/01/20 02:00;41;;;;1,02
03/01/20 03:00;41;;;;0,90
03/01/20 04:00;41;;;;0,87
03/01/20 05:00;41;;;;0,97
03/01/20 06:00;41;;;;1,09
03/01/20 07:00;41;;;;1,31
03/01/20 08:00;41;;;;2,68
03/01/20 09:00;41;;;;4,16
03/01/20 10:00;41;96,03;28,74;51,96;5,22
03/01/20 11:00;41;79,87;22,59;45,24;4,12
03/01/20 12:00;41;80,55;23,50;44,51;3,06
03/01/20 13:00;41;67,97;17,32;41,41;2,96
03/01/20 14:00;41;40,43;7,94;28,26;1,69
03/01/20 15:00;41;45,51;8,34;32,73;1,53
03/01/20 16:00;41;57,92;11,72;39,95;1,54
03/01/20 17:00;41;106,49;30,15;60,26;3,26
03/01/20 18:00;41;273,17;115,89;95,47;4,92
03/01/20 19:00;41;225,02;95,08;79,23;6,26
03/01/20 20:00;41;199,85;79,53;77,90;5,93
03/01/20 21:00;41;144,05;46,29;73,08;6,08
03/01/20 22:00;41;151,57;54,74;67,64;5,27
03/01/20 23:00;41;110,99;32,22;61,59;4,80
04/01/20 00:00;41;83,87;18,60;55,35;1,85
