NetC;;Brindisi;;
Stat;;S.Pancrazio Salentino;;
Parm;NO2;NOX;PM10 ;
;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3;
;;;;
;;;;
01/01/20 01:00;12,78;17,73;;
01/01/20 02:00;12,77;18,80;46,89;
01/01/20 03:00;7,93;11,22;;
01/01/20 04:00;3,93;4,81;24,91;
01/01/20 05:00;3,15;4,19;;
01/01/20 06:00;3,18;4,13;14,65;
01/01/20 07:00;3,33;4,25;;
01/01/20 08:00;3,45;4,28;19,05;
01/01/20 09:00;3,17;3,95;;
01/01/20 10:00;3,43;4,40;11,72;
01/01/20 11:00;4,12;6,03;;
01/01/20 12:00;2,87;4,59;9,52;
01/01/20 13:00;2,87;4,44;;
01/01/20 14:00;3,39;5,37;5,86;
01/01/20 15:00;2,47;3,72;;
01/01/20 16:00;2,68;3,88;7,81;
01/01/20 17:00;4,80;6,92;;
01/01/20 18:00;7,26;10,18;16,85;
01/01/20 19:00;10,13;14,13;;
01/01/20 20:00;7,72;10,24;14,90;
01/01/20 21:00;18,64;24,82;;
01/01/20 22:00;11,40;14,72;23,69;
01/01/20 23:00;15,49;20,31;;
01/02/20 00:00;9,14;11,82;23,69;
01/02/20 01:00;6,91;8,72;;
01/02/20 02:00;;;16,12;
01/02/20 03:00;6,88;8,07;;
01/02/20 04:00;4,84;5,43;17,34;
01/02/20 05:00;5,00;5,59;;
01/02/20 06:00;4,80;5,60;15,63;
01/02/20 07:00;5,93;6,82;;
01/02/20 08:00;6,16;7,67;13,43;
01/02/20 09:00;7,68;9,49;;
01/02/20 10:00;5,20;7,23;15,87;
01/02/20 11:00;3,52;5,13;;
01/02/20 12:00;3,66;5,54;15,63;
01/02/20 13:00;3,67;5,34;;
01/02/20 14:00;4,56;6,94;9,77;
01/02/20 15:00;3,67;5,52;;
01/02/20 16:00;4,39;6,48;6,11;
01/02/20 17:00;8,80;12,20;;
01/02/20 18:00;17,73;22,09;24,42;
01/02/20 19:00;29,44;39,97;;
01/02/20 20:00;26,45;37,05;43,96;
01/02/20 21:00;20,17;28,03;;
01/02/20 22:00;18,96;25,90;45,91;
01/02/20 23:00;20,01;27,14;;
01/03/20 00:00;13,80;18,12;50,79;
01/03/20 01:00;10,18;12,90;;
01/03/20 02:00;8,88;11,24;41,27;
01/03/20 03:00;7,03;8,90;;
01/03/20 04:00;4,14;5,03;21,49;
01/03/20 05:00;4,03;4,89;;
01/03/20 06:00;5,83;7,16;20,51;
01/03/20 07:00;7,97;9,39;;
01/03/20 08:00;6,94;8,65;14,90;
01/03/20 09:00;5,75;7,57;;
01/03/20 10:00;6,82;9,36;16,85;
01/03/20 11:00;7,30;11,21;;
01/03/20 12:00;5,03;6,90;9,77;
01/03/20 13:00;5,50;7,68;;
01/03/20 14:00;5,63;7,06;6,84;
01/03/20 15:00;5,78;7,93;;
01/03/20 16:00;5,64;7,45;16,12;
01/03/20 17:00;6,46;8,36;;
01/03/20 18:00;13,06;15,90;10,99;
01/03/20 19:00;23,96;31,91;;
01/03/20 20:00;25,49;34,69;42,74;
01/03/20 21:00;29,92;42,20;;
01/03/20 22:00;22,76;30,43;49,82;
01/03/20 23:00;18,94;23,77;;
01/04/20 00:00;15,44;18,76;41,76;
01/04/20 01:00;12,11;14,74;;
01/04/20 02:00;;;45,91;
01/04/20 03:00;9,51;10,84;;
01/04/20 04:00;7,57;8,90;27,35;
01/04/20 05:00;6,81;7,96;;
01/04/20 06:00;6,38;7,46;21,49;
01/04/20 07:00;9,29;10,99;;
01/04/20 08:00;14,75;18,28;19,05;
01/04/20 09:00;18,08;25,01;;
01/04/20 10:00;17,52;25,77;22,95;
