NetC;;Brindisi;;;
Stat;;San Pietro Vernotico;;;
Parm;NO2;NOX;PM10 ;;
;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3;;
;;;;;
;;;;;
01/01/20 01:00;13,99;17,42;;;
01/01/20 02:00;12,96;16,23;43,71;;
01/01/20 03:00;6,09;7,44;;;
01/01/20 04:00;4,75;5,67;22,47;;
01/01/20 05:00;4,58;5,51;;;
01/01/20 06:00;4,62;5,51;22,22;;
01/01/20 07:00;4,48;5,47;;;
01/01/20 08:00;4,93;5,98;20,02;;
01/01/20 09:00;5,24;6,66;;;
01/01/20 10:00;4,07;5,17;11,72;;
01/01/20 11:00;3,75;4,82;;;
01/01/20 12:00;2,53;3,55;10,01;;
01/01/20 13:00;2,09;3,03;;;
01/01/20 14:00;2,59;3,45;9,52;;
01/01/20 15:00;2,16;2,74;;;
01/01/20 16:00;1,92;2,68;6,11;;
01/01/20 17:00;3,27;3,79;;;
01/01/20 18:00;5,24;6,08;8,79;;
01/01/20 19:00;8,25;9,13;;;
01/01/20 20:00;12,64;14,11;18,56;;
01/01/20 21:00;7,76;8,99;;;
01/01/20 22:00;4,11;4,71;18,32;;
01/01/20 23:00;3,47;4,16;;;
01/02/20 00:00;2,18;2,71;14,90;;
01/02/20 01:00;2,74;3,37;;;
01/02/20 02:00;;;19,05;;
01/02/20 03:00;2,75;3,40;;;
01/02/20 04:00;2,69;3,31;17,58;;
01/02/20 05:00;3,03;3,54;;;
01/02/20 06:00;3,14;3,53;17,83;;
01/02/20 07:00;3,62;4,15;;;
01/02/20 08:00;4,40;5,02;23,69;;
01/02/20 09:00;3,59;4,37;;;
01/02/20 10:00;2,69;3,51;14,65;;
01/02/20 11:00;2,43;3,44;;;
01/02/20 12:00;3,22;4,23;11,72;;
01/02/20 13:00;3,27;4,40;;;
01/02/20 14:00;3,37;4,85;7,33;;
01/02/20 15:00;2,21;3,06;;;
01/02/20 16:00;3,45;4,37;9,04;;
01/02/20 17:00;8,75;9,76;;;
01/02/20 18:00;24,39;26,43;16,12;;
01/02/20 19:00;28,35;32,14;;;
01/02/20 20:00;47,59;58,07;36,14;;
01/02/20 21:00;18,10;20,59;;;
01/02/20 22:00;18,58;20,30;25,40;;
01/02/20 23:00;25,25;27,99;;;
01/03/20 00:00;19,20;21,31;23,44;;
01/03/20 01:00;11,04;12,84;;;
01/03/20 02:00;8,72;10,16;25,40;;
01/03/20 03:00;6,26;7,20;;;
01/03/20 04:00;5,61;6,57;13,92;;
01/03/20 05:00;5,13;5,87;;;
