Stat;S.SEVERO_via Gentile;;;;;;;;;;;;
Parm;PM10;PM2.5;NOX;NO;NO2;CO;O3;;;;;;
Unit;ug/m3;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;;;;;;
01/01/20 01:00;25;18;17,08;2,58;13,50;0,67;46,16;;;;;;
01/01/20 02:00;25;18;10,22;1,21;8,77;0,65;50,48;;;;;;
01/01/20 03:00;25;18;8,91;1,35;7,27;0,64;50,06;;;;;;
01/01/20 04:00;25;18;6,73;1,30;5,18;0,63;51,05;;;;;;
01/01/20 05:00;25;18;6,81;0,91;5,85;0,60;57,89;;;;;;
01/01/20 06:00;25;18;5,38;0,81;4,58;0,59;59,83;;;;;;
01/01/20 07:00;25;18;5,54;0,82;4,73;0,58;58,73;;;;;;
01/01/20 08:00;25;18;5,89;1,15;4,58;0,58;56,17;;;;;;
01/01/20 09:00;25;18;6,36;1,01;5,25;0,59;54,66;;;;;;
01/01/20 10:00;25;18;7,25;1,38;5,56;0,61;51,47;;;;;;
01/01/20 11:00;25;18;7,87;1,74;5,63;0,61;53,74;;;;;;
01/01/20 12:00;25;18;6,45;1,64;4,39;0,58;60,76;;;;;;
01/01/20 13:00;25;18;5,09;1,42;3,36;0,57;66,68;;;;;;
01/01/20 14:00;25;18;3,62;1,11;2,38;0,56;69,05;;;;;;
01/01/20 15:00;25;18;1,61;0,88;0,73;0,55;71,12;;;;;;
01/01/20 16:00;25;18;1,39;0,66;0,85;0,54;71,43;;;;;;
01/01/20 17:00;25;18;1,76;0,80;1,00;0,54;68,21;;;;;;
01/01/20 18:00;25;18;4,38;1,00;3,29;0,55;63,73;;;;;;
01/01/20 19:00;25;18;3,23;0,91;2,29;0,55;65,11;;;;;;
01/01/20 20:00;25;18;5,69;1,18;4,32;0,56;59,96;;;;;;
01/01/20 21:00;25;18;33,35;5,15;25,77;0,75;35,99;;;;;;
01/01/20 22:00;25;18;14,87;1,91;12,33;0,69;45,59;;;;;;
01/01/20 23:00;25;18;13,16;1,57;11,14;0,68;46,34;;;;;;
02/01/20 00:00;25;18;9,87;1,17;8,50;0,66;49,85;;;;;;
02/01/20 01:00;25;20;8,90;1,08;7,66;0,66;50,15;;;;;;
02/01/20 02:00;25;20;8,64;1,03;7,49;0,66;50,80;;;;;;
02/01/20 03:00;25;20;;;;0,65;51,13;;;;;;
02/01/20 04:00;25;20;;;;0,65;;;;;;;
02/01/20 05:00;25;20;;;;0,66;42,24;;;;;;
02/01/20 06:00;25;20;;;;0,64;46,22;;;;;;
02/01/20 07:00;25;20;;;;0,64;47,44;;;;;;
02/01/20 08:00;25;20;;;;0,65;41,93;;;;;;
02/01/20 09:00;25;20;;;;0,64;42,07;;;;;;
02/01/20 10:00;25;20;;;;0,65;45,27;;;;;;
02/01/20 11:00;25;20;;;;0,65;50,22;;;;;;
02/01/20 12:00;25;20;;;;0,65;55,01;;;;;;
02/01/20 13:00;25;20;;;;0,63;61,91;;;;;;
02/01/20 14:00;25;20;;;;0,64;62,71;;;;;;
02/01/20 15:00;25;20;;;;0,65;63,19;;;;;;
02/01/20 16:00;25;20;;;;0,66;59,15;;;;;;
02/01/20 17:00;25;20;;;;0,67;51,88;;;;;;
02/01/20 18:00;25;20;;;;0,74;39,72;;;;;;
02/01/20 19:00;25;20;;;;0,75;41,45;;;;;;
02/01/20 20:00;25;20;;;;0,72;44,81;;;;;;
02/01/20 21:00;25;20;;;;0,68;48,32;;;;;;
02/01/20 22:00;25;20;;;;0,66;52,15;;;;;;
02/01/20 23:00;25;20;;;;0,66;53,31;;;;;;
03/01/20 00:00;25;20;;;;0,65;39,60;;;;;;
03/01/20 01:00;27;20;;;;0,67;39,93;;;;;;
03/01/20 02:00;27;20;;;;0,68;38,89;;;;;;
03/01/20 03:00;27;20;;;;0,68;39,91;;;;;;
03/01/20 04:00;27;20;;;;0,68;40,82;;;;;;
03/01/20 05:00;27;20;;;;0,67;38,39;;;;;;
03/01/20 06:00;27;20;;;;0,67;49,60;;;;;;
03/01/20 07:00;27;20;;;;0,67;37,75;;;;;;
03/01/20 08:00;27;20;;;;0,69;35,09;;;;;;
03/01/20 09:00;27;20;;;;0,68;37,53;;;;;;
03/01/20 10:00;27;20;;;;0,67;44,51;;;;;;
03/01/20 11:00;27;20;;;;0,67;48,67;;;;;;
03/01/20 12:00;27;20;;;;0,68;57,12;;;;;;
03/01/20 13:00;27;20;;;;0,67;62,37;;;;;;
03/01/20 14:00;27;20;;;;0,66;70,49;;;;;;
03/01/20 15:00;27;20;;;;0,67;76,69;;;;;;
03/01/20 16:00;27;20;;;;0,67;67,32;;;;;;
03/01/20 17:00;27;20;;;;0,66;61,66;;;;;;
03/01/20 18:00;27;20;;;;0,67;54,14;;;;;;
03/01/20 19:00;27;20;;;;0,71;55,05;;;;;;
03/01/20 20:00;27;20;;;;0,84;37,32;;;;;;
03/01/20 21:00;27;20;;;;0,82;39,26;;;;;;
03/01/20 22:00;27;20;;;;0,85;38,39;;;;;;
03/01/20 23:00;27;20;;;;0,78;43,77;;;;;;
04/01/20 00:00;27;20;;;;0,77;46,00;;;;;;
04/01/20 01:00;28;23;;;;0,73;49,62;;;;;;
04/01/20 02:00;28;23;;;;;51,59;;;;;;
04/01/20 03:00;28;23;;;;0,75;49,67;;;;;;
04/01/20 04:00;28;23;22,01;1,05;20,73;0,75;;;;;;;
04/01/20 05:00;28;23;15,86;1,21;14,38;0,71;53,61;;;;;;
04/01/20 06:00;28;23;14,36;1,41;12,58;0,70;51,68;;;;;;
04/01/20 07:00;28;23;16,87;1,26;15,33;0,67;50,83;;;;;;
04/01/20 08:00;28;23;38,87;4,16;32,76;0,74;35,91;;;;;;
04/01/20 09:00;28;23;43,57;5,82;34,89;0,77;31,50;;;;;;
04/01/20 10:00;28;23;57,94;15,37;34,63;0,81;13,52;;;;;;
04/01/20 11:00;28;23;26,10;4,08;20,19;0,85;37,84;;;;;;
04/01/20 12:00;28;23;32,40;5,84;23,76;0,81;40,44;;;;;;
04/01/20 13:00;28;23;16,15;2,55;12,63;0,65;59,27;;;;;;
04/01/20 14:00;28;23;15,34;2,44;12,00;0,64;61,03;;;;;;
04/01/20 15:00;28;23;9,72;1,48;7,88;0,61;65,14;;;;;;
04/01/20 16:00;28;23;7,70;1,17;6,33;0,57;63,66;;;;;;
04/01/20 17:00;28;23;13,56;1,25;12,04;0,60;53,50;;;;;;
04/01/20 18:00;28;23;18,46;1,67;16,26;0,64;48,18;;;;;;
04/01/20 19:00;28;23;24,43;2,46;21,00;0,72;38,23;;;;;;
04/01/20 20:00;28;23;19,09;1,96;16,45;0,68;40,45;;;;;;
04/01/20 21:00;28;23;40,80;7,27;29,93;0,76;25,62;;;;;;
04/01/20 22:00;28;23;36,07;4,68;29,18;0,73;28,08;;;;;;
04/01/20 23:00;28;23;22,84;2,58;19,23;0,67;37,39;;;;;;
05/01/20 00:00;28;23;15,64;1,67;13,47;0,67;40,31;;;;;;
05/01/20 01:00;14;10;12,86;1,39;11,12;0,66;38,60;;;;;;
05/01/20 02:00;14;10;11,17;1,10;9,89;0,66;37,16;;;;;;
05/01/20 03:00;14;10;9,87;1,02;8,73;0,63;42,75;;;;;;
05/01/20 04:00;14;10;9,10;0,98;8,01;0,62;44,62;;;;;;
05/01/20 05:00;14;10;9,00;1,19;7,59;0,63;46,23;;;;;;
05/01/20 06:00;14;10;8,47;1,00;7,35;0,63;47,59;;;;;;
05/01/20 07:00;14;10;7,25;0,92;6,27;0,61;50,11;;;;;;
05/01/20 08:00;14;10;7,51;1,02;6,37;0,60;54,06;;;;;;
05/01/20 09:00;14;10;4,54;0,82;3,73;0,59;62,57;;;;;;
05/01/20 10:00;14;10;3,48;0,96;2,46;0,55;64,74;;;;;;
05/01/20 11:00;14;10;3,03;1,01;1,93;0,57;67,83;;;;;;
05/01/20 12:00;14;10;2,35;0,89;1,44;0,57;68,60;;;;;;
05/01/20 13:00;14;10;2,16;0,95;1,16;0,57;71,60;;;;;;
05/01/20 14:00;14;10;1,63;0,86;0,80;0,55;74,18;;;;;;
