NetC;Taranto;;;;;;;
Stat;Statte V.Sorgenti;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;3,9;10,5;17,0;0,6;;;;
01/01/20 02:00;2,6;6,8;9,3;0,5;;33;;
01/01/20 03:00;1,9;5,1;6,5;0,5;;;;
01/01/20 04:00;1,9;3,4;4,0;0,4;;29;;
01/01/20 05:00;1,5;2,8;3,2;0,4;;;;
01/01/20 06:00;1,5;3,3;4,1;0,4;;15;;
01/01/20 07:00;1,4;4,5;5,9;0,4;;;;
01/01/20 08:00;1,4;3,7;4,4;0,4;;19;;
01/01/20 09:00;1,2;3,8;4,5;0,4;;;;
01/01/20 10:00;1,4;3,9;4,7;0,4;;10;;
01/01/20 11:00;1,5;4,2;5,5;0,4;;;;
01/01/20 12:00;1,4;4,3;5,6;0,4;;16;;
01/01/20 13:00;1,7;4,3;5,5;0,4;;;;
01/01/20 14:00;1,9;4,1;5,2;0,4;;9;;
01/01/20 15:00;1,9;3,2;3,9;0,4;;;;
01/01/20 16:00;2,1;3,2;4,0;0,4;;14;;
01/01/20 17:00;1,8;4,3;5,0;0,4;;;;
01/01/20 18:00;2,3;6,0;6,9;0,4;;8;;
01/01/20 19:00;1,9;6,8;7,8;0,4;;;;
01/01/20 20:00;2,3;6,9;7,9;0,4;;16;;
01/01/20 21:00;2,1;7,9;8,9;0,4;;;;
01/01/20 22:00;1,8;9,0;10,0;0,5;;11;;
01/01/20 23:00;1,6;6,8;7,6;0,4;;;;
02/01/20 00:00;1,2;5,0;5,7;0,4;;6;;
02/01/20 01:00;1,0;8,2;8,8;0,4;;;;
02/01/20 02:00;1,0;5,9;6,3;0,4;;9;;
02/01/20 03:00;;5,3;5,8;0,4;;;;
02/01/20 04:00;0,7;3,5;3,9;0,4;;9;;
02/01/20 05:00;0,5;3,2;3,8;;;;;
02/01/20 06:00;0,5;;;0,4;;13;;
02/01/20 07:00;0,6;6,0;6,6;0,4;;;;
02/01/20 08:00;1,0;12,5;13,7;0,5;;12;;
02/01/20 09:00;1,3;11,8;14,6;0,5;;;;
02/01/20 10:00;1,9;12,4;17,1;0,5;;20;;
02/01/20 11:00;1,3;12,8;17,5;0,5;;;;
02/01/20 12:00;1,1;7,0;9,1;0,5;;21;;
02/01/20 13:00;1,3;5,5;7,0;0,4;;;;
02/01/20 14:00;1,4;5,7;6,9;0,5;;16;;
