NetC;Taranto;;;;;;;
Stat;Talsano;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;1,9;7,2;8,0;;50,35;11;;
01/01/20 02:00;1,9;8,3;8,9;;51,09;11;;
01/01/20 03:00;2,0;8,8;9,3;;50,43;11;;
01/01/20 04:00;4,5;11,5;11,9;;52,41;11;;
01/01/20 05:00;9,0;14,4;14,8;;55,02;11;;
01/01/20 06:00;7,4;12,2;12,8;;52,91;11;;
01/01/20 07:00;4,2;9,6;10,1;;53,38;11;;
01/01/20 08:00;5,0;14,5;15,4;;48,31;11;;
01/01/20 09:00;7,7;11,0;12,6;;53,65;11;;
01/01/20 10:00;11,5;11,6;14,7;;55,52;11;;
01/01/20 11:00;12,7;9,6;12,6;;58,81;11;;
01/01/20 12:00;6,0;4,2;5,6;;67,48;11;;
01/01/20 13:00;3,3;2,3;3,0;;74,61;11;;
01/01/20 14:00;2,7;2,1;2,7;;77,77;11;;
01/01/20 15:00;2,3;1,6;2,1;;79,45;11;;
01/01/20 16:00;2,1;1,8;2,1;;77,65;11;;
01/01/20 17:00;2,1;2,0;2,3;;75,44;11;;
01/01/20 18:00;2,0;4,2;4,6;;71,91;11;;
01/01/20 19:00;2,0;5,6;6,1;;69,14;11;;
01/01/20 20:00;2,0;7,9;8,4;;65,40;11;;
01/01/20 21:00;2,0;8,1;8,6;;65,27;11;;
01/01/20 22:00;2,0;7,6;8,0;;63,94;11;;
01/01/20 23:00;1,9;8,8;9,2;;61,15;11;;
02/01/20 00:00;3,5;11,6;12,2;;54,77;11;;
02/01/20 01:00;;4,5;5,0;;60,41;29;;
02/01/20 02:00;2,4;7,3;7,6;;57,41;29;;
02/01/20 03:00;9,6;25,4;26,3;;;29;;
02/01/20 04:00;6,4;;;;42,74;29;;
02/01/20 05:00;8,5;20,0;20,7;;39,22;29;;
02/01/20 06:00;7,0;26,2;27,1;;32,35;29;;
02/01/20 07:00;6,3;28,9;29,7;;28,43;29;;
02/01/20 08:00;5,6;31,2;33,9;;24,79;29;;
02/01/20 09:00;8,3;35,0;46,7;;22,61;29;;
02/01/20 10:00;9,9;25,3;35,3;;38,63;29;;
02/01/20 11:00;7,2;14,0;18,7;;52,69;29;;
02/01/20 12:00;5,9;7,9;10,1;;62,81;29;;
02/01/20 13:00;4,8;5,1;6,3;;68,67;29;;
02/01/20 14:00;4,2;2,8;3,5;;73,85;29;;
