NetC;Taranto;;;;;;;
Stat;TA V. Archimede;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;3,9;23,6;43,3;;;18;;10
01/01/20 02:00;3,6;21,0;22,1;;;18;;10
01/01/20 03:00;4,0;24,9;25,7;;;18;;10
01/01/20 04:00;3,9;25,6;27,0;;;18;;10
01/01/20 05:00;4,0;40,0;42,4;;;18;;10
01/01/20 06:00;4,1;21,7;22,2;;;18;;10
01/01/20 07:00;4,3;27,4;28,4;;;18;;10
01/01/20 08:00;4,4;28,3;31,3;;;18;;10
01/01/20 09:00;4,3;15,0;16,7;;;18;;10
01/01/20 10:00;4,5;22,9;27,7;;;18;;10
01/01/20 11:00;4,8;25,2;30,7;;;18;;10
01/01/20 12:00;5,2;7,0;7,2;;;18;;10
01/01/20 13:00;5,6;5,3;5,5;;;18;;10
01/01/20 14:00;5,2;5,0;5,0;;;18;;10
01/01/20 15:00;4,9;;;;;18;;10
01/01/20 16:00;4,1;;;;;18;;10
01/01/20 17:00;4,0;5,3;5,4;;;18;;10
01/01/20 18:00;3,9;7,3;7,4;;;18;;10
01/01/20 19:00;3,8;8,9;8,9;;;18;;10
01/01/20 20:00;3,9;11,6;11,9;;;18;;10
01/01/20 21:00;4,0;10,8;11,0;;;18;;10
01/01/20 22:00;3,6;10,3;10,4;;;18;;10
01/01/20 23:00;3,8;12,9;13,2;;;18;;10
02/01/20 00:00;3,8;12,4;12,5;;;18;;10
02/01/20 01:00;;11,2;11,4;;;27;;13
02/01/20 02:00;4,0;13,9;14,1;;;27;;13
02/01/20 03:00;;15,0;15,2;;;27;;13
02/01/20 04:00;3,6;;;;;27;;13
02/01/20 05:00;3,6;26,9;27,5;;;27;;13
02/01/20 06:00;3,8;19,1;19,6;;;27;;13
02/01/20 07:00;3,7;48,0;56,9;;;27;;13
02/01/20 08:00;3,8;41,2;48,3;;;27;;13
02/01/20 09:00;3,9;46,7;63,6;;;27;;13
02/01/20 10:00;3,7;25,9;32,7;;;27;;13
02/01/20 11:00;3,4;16,4;17,9;0,5;;27;;13
02/01/20 12:00;3,8;14,8;16,0;0,5;;27;;13
02/01/20 13:00;4,2;9,3;9,9;0,4;;27;;13
02/01/20 14:00;4,2;8,8;9,3;0,4;;27;;13
02/01/20 15:00;4,2;8,6;8,8;0,4;;27;;13
02/01/20 16:00;4,0;12,6;13,0;0,4;;27;;13
