NetC;Taranto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stat;TA Via Machiavelli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 01:00;1,1;10,2;17,4;0,4;;19;0,8;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 02:00;1,2;19,5;35,0;0,5;;19;1,0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 03:00;1,0;11,2;17,9;0,4;;19;1,3;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 04:00;;;;;;19;2,0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 05:00;1,2;14,4;20,8;0,9;;19;4,3;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 06:00;1,4;6,7;11,9;0,6;;19;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 07:00;1,0;6,5;11,2;0,4;;19;0,7;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/01/20 08:00;1,0;10,4;16,1;0,7;;19;0,9;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
