NetC;Taranto;;;;;;;
Stat;TA CISI Paolo VI;;;;;;;
Parm;SO2;NO2;NOX;CO;O3;PM10;BENZENE;PM2.5
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3 293K;ug/m3;ug/m3 293K;ug/m3
;;;;;;;;
;;;;;;;;
01/01/20 01:00;2,4;13,4;35,3;0,3;;11;0,8;7
01/01/20 02:00;5,0;13,2;35,7;0,3;;11;0,8;7
01/01/20 03:00;2,0;15,4;33,2;0,3;;11;0,8;7
01/01/20 04:00;4,9;12,3;23,8;0,3;;11;0,7;7
01/01/20 05:00;;5,7;7,0;0,3;;11;0,6;7
01/01/20 06:00;2,4;5,9;7,0;0,3;;11;0,5;7
01/01/20 07:00;0,4;17,6;23,0;0,3;;11;0,6;7
01/01/20 08:00;5,5;16,6;24,0;0,3;;11;0,6;7
01/01/20 09:00;1,5;5,2;6,1;0,3;;11;0,6;7
01/01/20 10:00;1,6;15,9;20,4;0,3;;11;0,5;7
01/01/20 11:00;0,9;13,0;18,0;0,3;;11;0,6;7
01/01/20 12:00;1,4;5,4;6,7;0,2;;11;0,5;7
01/01/20 13:00;1,4;3,5;3,9;0,2;;11;0,4;7
01/01/20 14:00;1,0;3,1;3,5;0,2;;11;0,4;7
01/01/20 15:00;0,6;3,4;3,9;0,2;;11;0,3;7
01/01/20 16:00;2,5;3,5;3,8;0,2;;11;0,4;7
01/01/20 17:00;4,3;12,4;16,3;0,2;;11;0,4;7
01/01/20 18:00;1,5;16,7;23,3;0,2;;11;0,4;7
01/01/20 19:00;5,9;16,0;23,7;0,2;;11;0,5;7
01/01/20 20:00;0,2;10,5;14,9;0,2;;11;0,5;7
01/01/20 21:00;1,6;14,3;20,6;0,2;;11;0,5;7
01/01/20 22:00;0,9;16,6;29,0;0,2;;11;0,5;7
01/01/20 23:00;1,6;17,4;27,7;0,2;;11;0,5;7
02/01/20 00:00;1,2;16,8;31,8;0,3;;11;0,5;7
02/01/20 01:00;4,8;17,2;31,3;0,3;;13;0,6;8
02/01/20 02:00;1,0;;;0,2;;13;0,6;8
02/01/20 03:00;0,3;8,3;12,1;;;13;0,5;8
02/01/20 04:00;0,8;13,1;21,5;0,2;;13;0,5;8
02/01/20 05:00;3,1;15,1;27,3;0,3;;13;;8
02/01/20 06:00;5,8;13,6;23,8;0,2;;13;0,6;8
02/01/20 07:00;3,9;10,2;20,6;0,2;;13;0,5;8
02/01/20 08:00;2,4;12,4;25,2;0,3;;13;0,5;8
02/01/20 09:00;3,4;11,9;25,6;0,3;;13;0,6;8
