NetC;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Torchiarolo - Fanin ;;;15.28;;11.90;9.90;;;;1.78
01/01/20 02:00;Torchiarolo - Fanin     ;;18.56;17.43;;8.70;7.35;;;;1.32
01/01/20 03:00;Torchiarolo - Fanin     ;;;13.73;;6.99;5.86;;;;1.77
01/01/20 04:00;Torchiarolo - Fanin     ;;24.91;11.41;;6.42;5.46;;;;1.76
01/01/20 05:00;Torchiarolo - Fanin     ;;;13.08;;6.76;5.51;;;;1.17
01/01/20 06:00;Torchiarolo - Fanin     ;;20.27;13.87;;7.35;6.25;;;;1.47
01/01/20 07:00;Torchiarolo - Fanin     ;;;13.15;;5.30;4.94;;;;2.04
01/01/20 08:00;Torchiarolo - Fanin     ;;17.83;11.41;;5.84;4.67;;;;1.86
01/01/20 09:00;Torchiarolo - Fanin     ;;;8.85;;6.37;4.97;;;;1.91
01/01/20 10:00;Torchiarolo - Fanin     ;;15.63;8.78;;5.63;4.01;;;;2.21
01/01/20 11:00;Torchiarolo - Fanin     ;;;7.32;;3.57;2.09;;;;3.08
01/01/20 12:00;Torchiarolo - Fanin     ;;12.21;3.95;;3.13;1.81;;;;3.34
01/01/20 13:00;Torchiarolo - Fanin     ;;;10.74;;2.90;1.91;;;;2.70
01/01/20 14:00;Torchiarolo - Fanin     ;;12.21;10.36;;2.80;1.65;;;;4.20
01/01/20 15:00;Torchiarolo - Fanin     ;;;6.68;;2.16;1.23;;;;4.43
01/01/20 16:00;Torchiarolo - Fanin     ;;15.14;5.63;;2.46;1.20;;;;4.24
01/01/20 17:00;Torchiarolo - Fanin     ;;;5.30;;2.58;1.85;;;;4.30
01/01/20 18:00;Torchiarolo - Fanin     ;;11.97;6.47;;4.37;2.95;;;;3.76
01/01/20 19:00;Torchiarolo - Fanin     ;;;10.15;;4.73;3.30;;;;3.65
01/01/20 20:00;Torchiarolo - Fanin     ;;15.38;9.35;;3.44;2.60;;;;3.82
