ts;Station;CO;PM10;PM2_5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Torchiarolo-Lendinuso;;;;;7.46;5.99;;;;2.03
01/01/20 02:00;Torchiarolo-Lendinuso;;18.31;;;7.85;6.09;;;;1.88
01/01/20 03:00;Torchiarolo-Lendinuso;;;;;7.39;5.80;;;;1.96
01/01/20 04:00;Torchiarolo-Lendinuso;;16.85;;;8.57;7.10;;;;2.93
01/01/20 05:00;Torchiarolo-Lendinuso;;;;;7.07;5.65;;;;3.04
01/01/20 06:00;Torchiarolo-Lendinuso;;18.80;;;7.25;5.73;;;;2.91
01/01/20 07:00;Torchiarolo-Lendinuso;;;;;5.62;4.10;;;;2.53
01/01/20 08:00;Torchiarolo-Lendinuso;;12.94;;;5.82;4.28;;;;2.77
01/01/20 09:00;Torchiarolo-Lendinuso;;;;;7.57;5.47;;;;3.61
01/01/20 10:00;Torchiarolo-Lendinuso;;21.73;;;4.98;3.39;;;;2.35
01/01/20 11:00;Torchiarolo-Lendinuso;;;;;4.33;2.55;;;;2.97
01/01/20 12:00;Torchiarolo-Lendinuso;;11.96;;;4.58;2.88;;;;3.31
01/01/20 13:00;Torchiarolo-Lendinuso;;;;;4.76;2.94;;;;3.70
01/01/20 14:00;Torchiarolo-Lendinuso;;6.84;;;4.37;2.50;;;;3.89
01/01/20 15:00;Torchiarolo-Lendinuso;;;;;3.99;2.24;;;;2.46
01/01/20 16:00;Torchiarolo-Lendinuso;;11.47;;;3.83;2.38;;;;3.61
01/01/20 17:00;Torchiarolo-Lendinuso;;;;;3.61;2.34;;;;3.72
01/01/20 18:00;Torchiarolo-Lendinuso;;13.43;;;3.80;2.34;;;;3.99
01/01/20 19:00;Torchiarolo-Lendinuso;;;;;4.65;3.05;;;;3.64
01/01/20 20:00;Torchiarolo-Lendinuso;;21.00;;;4.22;2.68;;;;3.34
01/01/20 21:00;Torchiarolo-Lendinuso;;;;;4.11;2.50;;;;3.07
01/01/20 22:00;Torchiarolo-Lendinuso;;20.51;;;3.75;2.21;;;;3.09
01/01/20 23:00;Torchiarolo-Lendinuso;;;;;3.84;2.26;;;;0.43
02/01/20 00:00;Torchiarolo-Lendinuso;;17.33;;;3.84;2.30;;;;0.32
02/01/20 01:00;Torchiarolo-Lendinuso;;;;;;;;;;2.64
02/01/20 02:00;Torchiarolo-Lendinuso;;25.88;;;3.94;2.56;;;;
02/01/20 03:00;Torchiarolo-Lendinuso;;;;;5.12;3.54;;;;3.56
02/01/20 04:00;Torchiarolo-Lendinuso;;26.37;;;4.94;3.20;;;;3.75
02/01/20 05:00;Torchiarolo-Lendinuso;;;;;5.15;3.48;;;;3.42
02/01/20 06:00;Torchiarolo-Lendinuso;;20.75;;;4.97;3.28;;;;3.59
02/01/20 07:00;Torchiarolo-Lendinuso;;;;;4.73;3.18;;;;2.59
02/01/20 08:00;Torchiarolo-Lendinuso;;229.98;;;5.03;3.16;;;;3.21
02/01/20 09:00;Torchiarolo-Lendinuso;;;;;4.50;2.89;;;;3.26
02/01/20 10:00;Torchiarolo-Lendinuso;;254.40;;;4.41;2.64;;;;3.15
02/01/20 11:00;Torchiarolo-Lendinuso;;;;;4.34;2.45;;;;3.37
02/01/20 12:00;Torchiarolo-Lendinuso;;219.24;;;4.46;2.86;;;;3.78
02/01/20 13:00;Torchiarolo-Lendinuso;;;;;4.18;2.36;;;;3.76
02/01/20 14:00;Torchiarolo-Lendinuso;;220.95;;;4.71;2.81;;;;3.42
02/01/20 15:00;Torchiarolo-Lendinuso;;;;;4.75;2.92;;;;3.21
02/01/20 16:00;Torchiarolo-Lendinuso;;216.80;;;4.88;3.18;;;;2.92
02/01/20 17:00;Torchiarolo-Lendinuso;;;;;5.02;3.38;;;;3.06
02/01/20 18:00;Torchiarolo-Lendinuso;;330.57;;;5.22;3.58;;;;2.80
02/01/20 19:00;Torchiarolo-Lendinuso;;;;;5.00;3.16;;;;2.74
02/01/20 20:00;Torchiarolo-Lendinuso;;299.32;;;5.08;3.34;;;;4.25
02/01/20 21:00;Torchiarolo-Lendinuso;;;;;4.41;2.83;;;;3.47
02/01/20 22:00;Torchiarolo-Lendinuso;;150.15;;;3.96;2.41;;;;2.44
02/01/20 23:00;Torchiarolo-Lendinuso;;;;;3.59;1.90;;;;2.87
03/01/20 00:00;Torchiarolo-Lendinuso;;174.07;;;4.49;2.95;;;;2.79
03/01/20 01:00;Torchiarolo-Lendinuso;;;;;9.31;7.62;;;;2.51
03/01/20 02:00;Torchiarolo-Lendinuso;;111.33;;;9.41;7.57;;;;2.41
03/01/20 03:00;Torchiarolo-Lendinuso;;;;;8.45;6.49;;;;2.38
03/01/20 04:00;Torchiarolo-Lendinuso;;228.27;;;9.01;7.23;;;;2.55
03/01/20 05:00;Torchiarolo-Lendinuso;;;;;5.93;4.18;;;;2.53
03/01/20 06:00;Torchiarolo-Lendinuso;;261.48;;;6.01;4.29;;;;2.26
03/01/20 07:00;Torchiarolo-Lendinuso;;;;;6.83;5.17;;;;2.14
03/01/20 08:00;Torchiarolo-Lendinuso;;137.70;;;7.74;6.06;;;;2.18
03/01/20 09:00;Torchiarolo-Lendinuso;;;;;9.85;7.37;;;;2.57
03/01/20 10:00;Torchiarolo-Lendinuso;;79.83;;;12.61;8.92;;;;2.43
03/01/20 11:00;Torchiarolo-Lendinuso;;;;;14.14;9.81;;;;2.49
03/01/20 12:00;Torchiarolo-Lendinuso;;46.14;;;12.69;8.94;;;;3.46
03/01/20 13:00;Torchiarolo-Lendinuso;;;;;12.19;9.05;;;;3.63
03/01/20 14:00;Torchiarolo-Lendinuso;;29.30;;;11.73;8.99;;;;4.32
03/01/20 15:00;Torchiarolo-Lendinuso;;;;;9.14;6.93;;;;3.63
03/01/20 16:00;Torchiarolo-Lendinuso;;25.39;;;7.93;6.29;;;;3.16
03/01/20 17:00;Torchiarolo-Lendinuso;;;;;10.69;8.76;;;;3.22
03/01/20 18:00;Torchiarolo-Lendinuso;;18.55;;;10.93;9.32;;;;2.98
03/01/20 19:00;Torchiarolo-Lendinuso;;;;;8.35;6.65;;;;2.87
03/01/20 20:00;Torchiarolo-Lendinuso;;25.88;;;12.49;10.62;;;;2.58
03/01/20 21:00;Torchiarolo-Lendinuso;;;;;15.36;13.42;;;;2.58
03/01/20 22:00;Torchiarolo-Lendinuso;;21.97;;;16.56;14.64;;;;2.28
03/01/20 23:00;Torchiarolo-Lendinuso;;;;;13.89;11.51;;;;2.17
04/01/20 00:00;Torchiarolo-Lendinuso;;22.95;;;11.67;9.31;;;;2.09
04/01/20 01:00;Torchiarolo-Lendinuso;;;;;;;;;;1.80
04/01/20 02:00;Torchiarolo-Lendinuso;;31.25;;;10.38;8.44;;;;
04/01/20 03:00;Torchiarolo-Lendinuso;;;;;9.45;7.56;;;;2.07
04/01/20 04:00;Torchiarolo-Lendinuso;;28.56;;;10.36;8.26;;;;2.26
04/01/20 05:00;Torchiarolo-Lendinuso;;;;;9.26;7.28;;;;2.54
04/01/20 06:00;Torchiarolo-Lendinuso;;29.30;;;8.26;6.58;;;;2.30
04/01/20 07:00;Torchiarolo-Lendinuso;;;;;9.97;7.91;;;;2.22
04/01/20 08:00;Torchiarolo-Lendinuso;;24.66;;;18.63;13.26;;;;2.09
04/01/20 09:00;Torchiarolo-Lendinuso;;;;;15.63;11.14;;;;2.43
04/01/20 10:00;Torchiarolo-Lendinuso;;30.52;;;12.85;9.21;;;;2.71
04/01/20 11:00;Torchiarolo-Lendinuso;;;;;11.83;8.61;;;;2.09
04/01/20 12:00;Torchiarolo-Lendinuso;;27.34;;;11.38;8.17;;;;2.38
04/01/20 13:00;Torchiarolo-Lendinuso;;;;;10.57;7.65;;;;2.81
04/01/20 14:00;Torchiarolo-Lendinuso;;13.43;;;10.02;7.44;;;;2.72
04/01/20 15:00;Torchiarolo-Lendinuso;;;;;11.00;8.46;;;;2.26
04/01/20 16:00;Torchiarolo-Lendinuso;;12.21;;;11.27;9.16;;;;2.94
04/01/20 17:00;Torchiarolo-Lendinuso;;;;;11.00;9.25;;;;2.81
04/01/20 18:00;Torchiarolo-Lendinuso;;18.07;;;14.10;12.20;;;;2.30
04/01/20 19:00;Torchiarolo-Lendinuso;;;;;13.60;11.63;;;;2.21
04/01/20 20:00;Torchiarolo-Lendinuso;;15.14;;;13.91;11.70;;;;2.11
04/01/20 21:00;Torchiarolo-Lendinuso;;;;;12.49;10.42;;;;2.47
04/01/20 22:00;Torchiarolo-Lendinuso;;24.90;;;11.32;9.41;;;;2.03
04/01/20 23:00;Torchiarolo-Lendinuso;;;;;10.92;8.88;;;;2.13
05/01/20 00:00;Torchiarolo-Lendinuso;;29.30;;;8.93;7.03;;;;2.29
05/01/20 01:00;Torchiarolo-Lendinuso;;;;;6.06;4.42;;;;2.41
05/01/20 02:00;Torchiarolo-Lendinuso;;26.86;;;6.64;4.75;;;;2.40
05/01/20 03:00;Torchiarolo-Lendinuso;;;;;6.55;4.85;;;;2.49
05/01/20 04:00;Torchiarolo-Lendinuso;;14.65;;;7.62;5.72;;;;2.18
05/01/20 05:00;Torchiarolo-Lendinuso;;;;;8.89;7.09;;;;2.73
05/01/20 06:00;Torchiarolo-Lendinuso;;12.94;;;5.87;4.00;;;;2.83
05/01/20 07:00;Torchiarolo-Lendinuso;;;;;7.16;5.23;;;;3.29
05/01/20 08:00;Torchiarolo-Lendinuso;;14.16;;;6.91;4.92;;;;3.65
05/01/20 09:00;Torchiarolo-Lendinuso;;;;;5.93;3.97;;;;4.11
05/01/20 10:00;Torchiarolo-Lendinuso;;11.47;;;4.68;2.91;;;;4.91
05/01/20 11:00;Torchiarolo-Lendinuso;;;;;4.55;2.50;;;;4.50
05/01/20 12:00;Torchiarolo-Lendinuso;;6.59;;;4.48;2.67;;;;4.28
05/01/20 13:00;Torchiarolo-Lendinuso;;;;;4.42;2.54;;;;4.13
05/01/20 14:00;Torchiarolo-Lendinuso;;4.15;;;3.70;1.80;;;;2.85
05/01/20 15:00;Torchiarolo-Lendinuso;;;;;3.15;1.24;;;;2.43
05/01/20 16:00;Torchiarolo-Lendinuso;;16.11;;;3.29;1.59;;;;1.92
05/01/20 17:00;Torchiarolo-Lendinuso;;;;;5.68;3.49;;;;3.62
05/01/20 18:00;Torchiarolo-Lendinuso;;17.82;;;3.42;1.62;;;;3.27
05/01/20 19:00;Torchiarolo-Lendinuso;;;;;3.33;1.61;;;;3.40
05/01/20 20:00;Torchiarolo-Lendinuso;;24.66;;;3.42;1.55;;;;3.76
05/01/20 21:00;Torchiarolo-Lendinuso;;;;;3.40;1.59;;;;3.67
05/01/20 22:00;Torchiarolo-Lendinuso;;20.51;;;3.21;1.61;;;;3.66
05/01/20 23:00;Torchiarolo-Lendinuso;;;;;3.56;1.77;;;;3.50
06/01/20 00:00;Torchiarolo-Lendinuso;;25.88;;;3.60;1.80;;;;3.71
06/01/20 01:00;Torchiarolo-Lendinuso;;;;;;;;;;3.54
06/01/20 02:00;Torchiarolo-Lendinuso;;24.17;;;3.62;1.72;;;;
06/01/20 03:00;Torchiarolo-Lendinuso;;;;;3.09;1.34;;;;2.76
06/01/20 04:00;Torchiarolo-Lendinuso;;18.80;;;3.40;1.57;;;;2.83
06/01/20 05:00;Torchiarolo-Lendinuso;;;;;3.13;1.33;;;;2.67
06/01/20 06:00;Torchiarolo-Lendinuso;;20.02;;;3.43;1.50;;;;2.50
06/01/20 07:00;Torchiarolo-Lendinuso;;;;;3.36;1.53;;;;2.33
06/01/20 08:00;Torchiarolo-Lendinuso;;23.44;;;3.46;1.79;;;;2.51
06/01/20 09:00;Torchiarolo-Lendinuso;;;;;3.15;1.35;;;;2.44
06/01/20 10:00;Torchiarolo-Lendinuso;;16.11;;;3.04;1.42;;;;2.32
06/01/20 11:00;Torchiarolo-Lendinuso;;;;;3.15;1.27;;;;2.52
06/01/20 12:00;Torchiarolo-Lendinuso;;17.82;;;3.41;1.49;;;;2.31
06/01/20 13:00;Torchiarolo-Lendinuso;;;;;3.51;1.49;;;;2.13
06/01/20 14:00;Torchiarolo-Lendinuso;;23.68;;;3.17;1.46;;;;2.81
06/01/20 15:00;Torchiarolo-Lendinuso;;;;;3.58;1.78;;;;2.93
06/01/20 16:00;Torchiarolo-Lendinuso;;16.36;;;3.38;1.70;;;;2.78
06/01/20 17:00;Torchiarolo-Lendinuso;;;;;3.49;1.85;;;;2.86
06/01/20 18:00;Torchiarolo-Lendinuso;;9.77;;;3.71;1.73;;;;3.01
06/01/20 19:00;Torchiarolo-Lendinuso;;;;;3.40;1.76;;;;2.61
06/01/20 20:00;Torchiarolo-Lendinuso;;14.89;;;3.35;1.57;;;;2.61
06/01/20 21:00;Torchiarolo-Lendinuso;;;;;3.26;1.54;;;;2.64
06/01/20 22:00;Torchiarolo-Lendinuso;;18.07;;;3.41;1.62;;;;2.50
06/01/20 23:00;Torchiarolo-Lendinuso;;;;;3.32;1.54;;;;2.32
07/01/20 00:00;Torchiarolo-Lendinuso;;15.63;;;3.12;1.51;;;;2.49
07/01/20 01:00;Torchiarolo-Lendinuso;;;;;3.28;1.63;;;;2.73
07/01/20 02:00;Torchiarolo-Lendinuso;;22.22;;;3.52;1.84;;;;2.71
07/01/20 03:00;Torchiarolo-Lendinuso;;;;;3.68;1.71;;;;3.05
07/01/20 04:00;Torchiarolo-Lendinuso;;20.75;;;3.61;1.97;;;;3.13
07/01/20 05:00;Torchiarolo-Lendinuso;;;;;3.33;1.64;;;;3.04
07/01/20 06:00;Torchiarolo-Lendinuso;;14.16;;;3.50;1.74;;;;2.93
07/01/20 07:00;Torchiarolo-Lendinuso;;;;;4.61;2.76;;;;2.66
07/01/20 08:00;Torchiarolo-Lendinuso;;20.02;;;4.77;2.67;;;;2.44
07/01/20 09:00;Torchiarolo-Lendinuso;;;;;4.46;2.75;;;;2.68
07/01/20 10:00;Torchiarolo-Lendinuso;;14.16;;;5.22;2.95;;;;2.28
07/01/20 11:00;Torchiarolo-Lendinuso;;;;;4.43;2.49;;;;2.54
07/01/20 12:00;Torchiarolo-Lendinuso;;12.45;;;4.26;2.46;;;;2.80
07/01/20 13:00;Torchiarolo-Lendinuso;;;;;4.40;2.64;;;;2.49
07/01/20 14:00;Torchiarolo-Lendinuso;;18.31;;;4.40;2.52;;;;2.25
07/01/20 15:00;Torchiarolo-Lendinuso;;;;;4.78;2.78;;;;2.14
07/01/20 16:00;Torchiarolo-Lendinuso;;16.11;;;4.05;2.28;;;;2.05
07/01/20 17:00;Torchiarolo-Lendinuso;;;;;4.64;2.95;;;;1.14
07/01/20 18:00;Torchiarolo-Lendinuso;;11.72;;;5.45;3.28;;;;2.51
07/01/20 19:00;Torchiarolo-Lendinuso;;;;;5.01;3.34;;;;2.64
07/01/20 20:00;Torchiarolo-Lendinuso;;11.47;;;4.62;3.08;;;;2.53
07/01/20 21:00;Torchiarolo-Lendinuso;;;;;5.10;3.10;;;;2.34
07/01/20 22:00;Torchiarolo-Lendinuso;;11.23;;;5.36;3.48;;;;2.80
07/01/20 23:00;Torchiarolo-Lendinuso;;;;;5.07;3.00;;;;2.83
08/01/20 00:00;Torchiarolo-Lendinuso;;5.86;;;4.87;3.06;;;;3.02
08/01/20 01:00;Torchiarolo-Lendinuso;;;;;;;;;;3.19
08/01/20 02:00;Torchiarolo-Lendinuso;;11.96;;;5.05;3.29;;;;
08/01/20 03:00;Torchiarolo-Lendinuso;;;;;5.56;3.76;;;;1.47
08/01/20 04:00;Torchiarolo-Lendinuso;;7.32;;;6.12;4.25;;;;2.11
08/01/20 05:00;Torchiarolo-Lendinuso;;;;;4.67;2.96;;;;2.62
08/01/20 06:00;Torchiarolo-Lendinuso;;9.77;;;5.87;4.11;;;;2.57
08/01/20 07:00;Torchiarolo-Lendinuso;;;;;5.06;3.26;;;;2.43
08/01/20 08:00;Torchiarolo-Lendinuso;;11.23;;;6.48;4.03;;;;2.56
08/01/20 09:00;Torchiarolo-Lendinuso;;;;;4.62;2.68;;;;2.41
08/01/20 10:00;Torchiarolo-Lendinuso;;18.55;;;4.77;2.61;;;;3.65
08/01/20 11:00;Torchiarolo-Lendinuso;;;;;4.86;2.69;;;;3.39
08/01/20 12:00;Torchiarolo-Lendinuso;;18.80;;;5.73;3.16;;;;3.47
08/01/20 13:00;Torchiarolo-Lendinuso;;;;;5.49;3.05;;;;3.98
08/01/20 14:00;Torchiarolo-Lendinuso;;17.82;;;5.37;3.33;;;;3.90
08/01/20 15:00;Torchiarolo-Lendinuso;;;;;6.23;4.09;;;;3.96
08/01/20 16:00;Torchiarolo-Lendinuso;;17.82;;;7.90;5.69;;;;4.39
08/01/20 17:00;Torchiarolo-Lendinuso;;;;;9.23;6.99;;;;3.49
08/01/20 18:00;Torchiarolo-Lendinuso;;23.19;;;5.88;4.05;;;;3.67
08/01/20 19:00;Torchiarolo-Lendinuso;;;;;5.60;3.61;;;;3.48
08/01/20 20:00;Torchiarolo-Lendinuso;;15.38;;;4.84;2.99;;;;2.77
08/01/20 21:00;Torchiarolo-Lendinuso;;;;;4.95;3.05;;;;2.84
08/01/20 22:00;Torchiarolo-Lendinuso;;23.93;;;9.78;7.82;;;;2.35
08/01/20 23:00;Torchiarolo-Lendinuso;;;;;15.61;13.14;;;;1.87
09/01/20 00:00;Torchiarolo-Lendinuso;;16.60;;;13.16;10.63;;;;2.13
09/01/20 01:00;Torchiarolo-Lendinuso;;;;;12.08;9.66;;;;2.03
